onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.735	1.789	Visual_Lure	1	left	0.435	12.524	11.17
13.276	1.789	Visual_Lure	1	left	0.423	15.065	13.699
15.867	1.789	Visual_Different	1	left	0.517	17.656	16.384
18.308	1.789	Visual_Same	1	right	0.927	20.097	19.235
20.899	1.789	Visual_Lure	1	left	0.823	22.688	21.722
28.338	1.789	Auditory_Lure	0	right	1.364	30.127	29.702
30.929	1.789	Auditory_Lure	1	left	1.285	32.718	32.214
33.269	1.789	Auditory_Same	1	right	1.23	35.058	34.499
35.71	1.789	Auditory_Lure	1	left	0.955	37.499	36.665
38.351	1.789	Auditory_Different	1	left	1.681	40.14	40.032
45.84	1.789	Visual_Lure	1	left	1.644	47.629	47.484
48.231	1.788	Visual_Different	1	left	1.637	50.019	49.868
50.922	1.789	Visual_Lure	0	right	1.216	52.711	52.138
53.363	1.788	Visual_Same	0	left	1.438	55.151	54.801
55.736	1.789	Visual_Same	1	right	1.231	57.525	56.967
58.277	1.789	Visual_Different	1	left	1.577	60.066	59.854
65.85	1.789	Auditory_Different	1	left	1.546	67.639	67.396
68.424	1.789	Auditory_Same	1	right	1.036	70.213	69.46
70.715	1.788	Auditory_Different	1	left	1.35	72.503	72.065
73.256	1.788	Auditory_Lure	1	left	1.48	75.044	74.736
75.847	1.788	Auditory_Lure	1	left	1.368	77.635	77.215
78.22	1.789	Auditory_Same	1	right	0.883	80.009	79.103
85.793	1.789	Visual_Same	1	right	0.826	87.582	86.619
88.384	1.789	Visual_Lure	1	left	0.849	90.173	89.233
90.724	1.789	Visual_Same	1	right	0.772	92.513	91.496
93.399	1.789	Visual_Different	1	left	0.622	95.188	94.021
95.789	1.789	Visual_Different	1	left	1.31	97.578	97.099
98.23	1.789	Visual_Lure	1	left	0.959	100.019	99.189
105.936	1.789	Auditory_Same	0	left	0.86	107.725	106.796
108.377	1.789	Auditory_Lure	0	right	0.97	110.166	109.347
110.717	1.789	Auditory_Same	1	right	0.904	112.506	111.621
113.308	1.789	Auditory_Different	1	left	1.172	115.097	114.48
115.849	1.772	Auditory_Different	1	left	1.083	117.621	116.932
118.374	1.788	Auditory_Lure	0	right	1.233	120.162	119.607
125.896	1.789	Visual_Lure	1	left	0.764	127.685	126.66
128.236	1.772	Visual_Different	1	left	1.349	130.008	129.585
130.911	1.789	Visual_Same	0	left	1.538	132.7	132.449
133.302	1.788	Visual_Different	1	left	1.004	135.09	134.306
135.742	1.789	Visual_Different	1	left	0.918	137.531	136.66
138.383	1.789	Visual_Same	1	right	1.192	140.172	139.575
140.824	1.772	Visual_Same	1	right	1.056	142.596	141.88
148.346	1.789	Auditory_Lure	0	right	1.402	150.135	149.748
150.787	1.772	Auditory_Lure	1	left	1.033	152.559	151.82
153.211	1.789	Auditory_Same	1	right	0.797	155	154.008
155.902	1.789	Auditory_Different	1	left	1.005	157.691	156.907
158.343	1.789	Auditory_Different	1	left	0.869	160.132	159.212
160.683	1.789	Auditory_Lure	1	left	1.25	162.472	161.933
168.239	1.789	Visual_Same	1	right	0.736	170.028	168.975
170.83	1.789	Visual_Different	1	left	0.523	172.619	171.353
173.371	1.789	Visual_Same	1	right	0.713	175.16	174.084
175.695	1.788	Visual_Lure	1	left	0.932	177.483	176.627
178.386	1.789	Visual_Lure	1	left	0.733	180.175	179.119
180.726	1.789	Visual_Different	1	left	0.882	182.515	181.608
183.318	1.788	Visual_Different	1	left	0.71	185.106	184.028
190.84	1.789	Auditory_Same	1	right	1.128	192.629	191.968
193.281	1.788	Auditory_Same	1	right	0.763	195.069	194.044
195.872	1.788	Auditory_Lure	1	left	0.694	197.66	196.566
198.245	1.789	Auditory_Different	1	left	0.854	200.034	199.099
200.786	1.789	Auditory_Same	1	right	0.985	202.575	201.771
208.443	1.788	Visual_Different	1	left	0.819	210.231	209.262
210.783	1.789	Visual_Same	1	right	0.8	212.572	211.583
213.307	1.789	Visual_Different	1	left	0.809	215.096	214.116
215.698	1.788	Visual_Lure	1	left	0.821	217.486	216.519
218.289	1.788	Visual_Lure	1	left	0.701	220.077	218.99
220.83	1.788	Visual_Same	1	right	0.715	222.618	221.545
228.235	1.789	Auditory_Different	1	left	0.969	230.024	229.204
230.926	1.789	Auditory_Same	1	right	0.882	232.715	231.808
233.317	1.789	Auditory_Lure	1	left	1.033	235.106	234.35
235.858	1.788	Auditory_Same	1	right	0.744	237.646	236.602
238.232	1.788	Auditory_Same	1	right	0.763	240.02	238.995
240.672	1.789	Auditory_Lure	1	left	1.036	242.461	241.708
243.364	1.788	Auditory_Lure	1	left	0.689	245.152	244.053
250.786	1.788	Visual_Different	1	left	0.607	252.574	251.393
253.427	1.789	Visual_Lure	1	left	0.707	255.216	254.134
255.717	1.789	Visual_Different	1	left	0.616	257.506	256.333
