"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.943	"Visual_Same"	0	NA	NA	1.788	12.731	NA
13.233	"Visual_Lure"	0	NA	NA	1.789	15.022	NA
15.874	"Visual_Same"	1	"right"	1.635	1.789	17.663	17.509
18.348	"Visual_Different"	1	"left"	1.148	1.739	20.087	19.496
20.739	"Visual_Different"	0	NA	NA	1.788	22.527	NA
23.33	"Visual_Lure"	1	"left"	1.044	1.788	25.118	24.374
30.752	"Auditory_Lure"	0	NA	NA	1.772	32.524	NA
33.326	"Auditory_Lure"	0	"right"	1.22	1.789	35.115	34.546
35.917	"Auditory_Same"	0	"left"	1.03	1.789	37.706	36.947
38.258	"Auditory_Lure"	0	"right"	1.291	1.788	40.046	39.549
40.849	"Auditory_Different"	0	NA	NA	1.788	42.637	NA
48.338	"Visual_Same"	1	"right"	1.141	1.788	50.126	49.479
50.929	"Visual_Different"	0	NA	NA	1.788	52.717	NA
53.269	"Visual_Same"	1	"right"	1.051	1.789	55.058	54.32
55.71	"Visual_Lure"	0	NA	NA	1.788	57.498	NA
58.301	"Visual_Lure"	1	"left"	0.91	1.772	60.073	59.211
60.725	"Visual_Different"	1	"left"	0.942	1.788	62.513	61.667
63.165	"Visual_Different"	1	"left"	0.756	1.789	64.954	63.921
70.788	"Auditory_Lure"	1	"left"	1.329	1.789	72.577	72.117
73.429	"Auditory_Lure"	1	"left"	1.327	1.789	75.218	74.756
75.719	"Auditory_Different"	1	"left"	1.249	1.789	77.508	76.968
78.31	"Auditory_Same"	1	"right"	0.976	1.789	80.099	79.286
80.835	"Auditory_Lure"	0	"right"	1.585	1.788	82.623	82.42
88.39	"Visual_Lure"	1	"left"	0.651	1.789	90.179	89.041
90.931	"Visual_Lure"	1	"left"	0.743	1.789	92.72	91.674
93.322	"Visual_Same"	1	"right"	0.854	1.789	95.111	94.176
95.746	"Visual_Lure"	1	"left"	0.632	1.788	97.534	96.378
