onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
7.85499999999999	2.507	recently_learned_faces_baseline	1	right	1.47	recently_learned_faces_baseline	10.34	9.32499999999999
11.398	2.508	recently_learned_faces_baseline	1	right	0.925	recently_learned_faces_baseline	13.879	12.323
14.926	2.507	famous_faces_baseline	1	left	0.738	famous_faces_baseline	17.417	15.664
18.219	2.507	famous_faces_baseline	1	right	0.839	famous_faces_baseline	20.704	19.058
21.763	2.507	famous_faces_false_combination	1	right	1.652	famous_faces	24.242	23.415
25.29	2.508	famous_faces_correct_combination	1	left	1.18	famous_faces	27.781	26.47
28.684	2.507	recently_learned_faces_false_combination	1	right	1.083	recently_learned_faces	31.169	29.767
32.228	2.507	recently_learned_faces_false_combination	1	right	1.311	recently_learned_faces	34.707	33.539
35.805	2.507	famous_faces_false_combination	1	right	0.961	famous_faces	38.296	36.766
39.349	2.507	famous_faces_baseline	1	left	0.991	famous_faces_baseline	41.834	40.34
42.692	2.508	recently_learned_faces_baseline	1	left	0.796	recently_learned_faces_baseline	45.171	43.488
46.32	2.507	famous_faces_false_combination	1	right	1.206	famous_faces	48.81	47.526
49.713	2.508	famous_faces_baseline	1	right	1.185	famous_faces_baseline	52.198	50.898
55.297	2.507	famous_faces_baseline	1	right	0.91	famous_faces_baseline	57.788	56.207
58.74	2.508	recently_learned_faces_correct_combination	1	left	1.882	recently_learned_faces	61.226	60.622
62.334	2.508	recently_learned_faces_false_combination	1	right	1.222	recently_learned_faces	64.815	63.556
65.862	2.524	famous_faces_correct_combination	0	right	0.895	famous_faces	68.354	66.757
69.406	2.507	famous_faces_false_combination	1	right	1.336	famous_faces	71.892	70.742
72.699	2.507	recently_learned_faces_false_combination	1	right	1.783	recently_learned_faces	75.179	74.482
76.276	2.508	famous_faces_false_combination	1	right	1.147	famous_faces	78.768	77.423
79.87	2.508	recently_learned_faces_false_combination	1	right	1.132	recently_learned_faces	82.357	81.002
83.314	2.507	recently_learned_faces_false_combination	1	right	1.282	recently_learned_faces	85.795	84.596
86.691	2.507	famous_faces_baseline	1	right	0.941	famous_faces_baseline	89.182	87.632
90.134	2.508	famous_faces_baseline	1	right	0.8	famous_faces_baseline	92.62	90.934
