onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.356	0.1	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	10.44	NA
11.342	2.508	recently_learned_faces_baseline	0	left	2.073	recently_learned_faces_baseline	13.828	13.415
14.886	2.507	famous_faces_baseline	0	right	1.01	famous_faces_baseline	17.367	15.896
18.263	2.507	famous_faces_baseline	1	right	1.16	famous_faces_baseline	20.754	19.423
21.706	2.508	famous_faces_false_combination	0	NA	NA	famous_faces	24.192	NA
25.3	2.508	famous_faces_correct_combination	1	left	1.174	famous_faces	27.781	26.474
28.677	2.508	recently_learned_faces_false_combination	0	left	1.5	recently_learned_faces	31.169	30.177
32.372	2.507	recently_learned_faces_false_combination	1	right	1.43	recently_learned_faces	34.858	33.802
35.715	2.508	famous_faces_false_combination	0	NA	NA	famous_faces	38.195	NA
39.292	2.508	famous_faces_baseline	0	right	1.029	famous_faces_baseline	41.784	40.321
42.836	2.508	recently_learned_faces_baseline	1	left	1.059	recently_learned_faces_baseline	45.322	43.895
46.13	2.507	famous_faces_false_combination	0	NA	NA	famous_faces	48.609	NA
49.757	2.508	famous_faces_baseline	1	right	1.235	famous_faces_baseline	52.248	50.992
55.407	2.508	famous_faces_baseline	1	right	1.504	famous_faces_baseline	57.889	56.911
58.935	2.507	recently_learned_faces_correct_combination	1	left	1.383	recently_learned_faces	61.427	60.318
62.328	2.508	recently_learned_faces_false_combination	1	right	1.362	recently_learned_faces	64.815	63.69
65.722	2.507	famous_faces_correct_combination	0	NA	NA	famous_faces	68.203	NA
69.249	2.507	famous_faces_false_combination	0	left	0.791	famous_faces	71.741	70.04
72.692	2.508	recently_learned_faces_false_combination	0	NA	NA	recently_learned_faces	75.179	NA
76.287	2.507	famous_faces_false_combination	1	right	1.535	famous_faces	78.768	77.822
79.713	2.508	recently_learned_faces_false_combination	1	right	1.423	recently_learned_faces	82.206	81.136
83.358	2.507	recently_learned_faces_false_combination	1	right	1.087	recently_learned_faces	85.845	84.445
86.801	2.508	famous_faces_baseline	1	right	1.817	famous_faces_baseline	89.283	88.618
90.178	2.508	famous_faces_baseline	1	right	1.819	famous_faces_baseline	92.67	91.997
93.622	2.507	famous_faces_false_combination	1	right	1.832	famous_faces	96.108	95.454
97.266	2.507	recently_learned_faces_false_combination	0	left	1.485	recently_learned_faces	99.747	98.751
102.95	2.507	recently_learned_faces_correct_combination	1	left	1.04	recently_learned_faces	105.438	103.99
106.343	2.508	famous_faces_correct_combination	1	left	1.868	famous_faces	108.826	108.211
109.72	2.507	recently_learned_faces_correct_combination	1	left	0.765	recently_learned_faces	112.214	110.485
113.264	2.507	recently_learned_faces_false_combination	1	right	1.63	recently_learned_faces	115.752	114.894
116.858	2.508	recently_learned_faces_correct_combination	1	left	1.074	recently_learned_faces	119.341	117.932
120.385	2.508	famous_faces_correct_combination	1	left	1.818	famous_faces	122.879	122.203
123.678	2.508	famous_faces_correct_combination	1	left	1.05	famous_faces	126.166	124.728
127.222	2.508	recently_learned_faces_correct_combination	1	left	0.975	recently_learned_faces	129.704	128.197
130.8	2.507	famous_faces_baseline	1	left	1.151	famous_faces_baseline	133.293	131.951
134.243	2.508	recently_learned_faces_baseline	1	right	0.981	recently_learned_faces_baseline	136.731	135.224
137.687	2.508	famous_faces_baseline	1	left	1.756	famous_faces_baseline	140.169	139.443
141.264	2.508	famous_faces_correct_combination	1	left	1.196	famous_faces	143.758	142.46
144.808	2.508	recently_learned_faces_correct_combination	1	left	1.162	recently_learned_faces	147.296	145.97
150.408	2.508	famous_faces_baseline	1	right	0.933	famous_faces_baseline	152.888	151.341
153.785	2.508	famous_faces_correct_combination	1	left	1.301	famous_faces	156.275	155.086
157.429	2.508	famous_faces_baseline	1	right	0.986	famous_faces_baseline	159.914	158.415
160.723	2.507	recently_learned_faces_correct_combination	1	left	0.777	recently_learned_faces	163.201	161.5
164.3	2.508	recently_learned_faces_baseline	1	left	0.642	recently_learned_faces_baseline	166.79	164.942
167.894	2.508	recently_learned_faces_correct_combination	1	left	0.733	recently_learned_faces	170.379	168.627
