"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
229.297	"famous_faces_baseline"	1	"right"	0.695	2.508	"famous_faces_baseline"	231.78	229.992
232.674	"recently_learned_faces_baseline"	1	"left"	1.062	2.524	"recently_learned_faces_baseline"	235.167	233.736
236.318	"recently_learned_faces_baseline"	1	"right"	0.877	2.508	"recently_learned_faces_baseline"	238.806	237.195
239.762	"recently_learned_faces_false_combination"	1	"right"	1.602	2.507	"recently_learned_faces"	242.244	241.364
245.295	"recently_learned_faces_baseline"	1	"right"	0.969	2.507	"recently_learned_faces_baseline"	247.784	246.264
248.939	"famous_faces_correct_combination"	1	"left"	0.978	2.508	"famous_faces"	251.423	249.917
252.383	"famous_faces_correct_combination"	1	"left"	0.771	2.507	"famous_faces"	254.861	253.154
255.709	"famous_faces_baseline"	1	"right"	0.799	2.508	"famous_faces_baseline"	258.198	256.508
259.303	"recently_learned_faces_correct_combination"	0	"right"	1.396	2.508	"recently_learned_faces"	261.787	260.699
262.847	"recently_learned_faces_correct_combination"	1	"left"	1.286	2.508	"recently_learned_faces"	265.326	264.133
266.374	"famous_faces_correct_combination"	1	"left"	0.921	2.508	"famous_faces"	268.864	267.295
269.668	"famous_faces_false_combination"	1	"right"	1.255	2.507	"famous_faces"	272.151	270.923
273.195	"famous_faces_correct_combination"	1	"left"	0.93	2.524	"famous_faces"	275.689	274.125
276.739	"famous_faces_baseline"	1	"left"	1.129	2.507	"famous_faces_baseline"	279.228	277.868
280.333	"recently_learned_faces_correct_combination"	1	"left"	0.795	2.507	"recently_learned_faces"	282.817	281.128
283.626	"famous_faces_false_combination"	1	"right"	0.924	2.507	"famous_faces"	286.104	284.55
287.203	"recently_learned_faces_correct_combination"	0	"right"	1.993	2.508	"recently_learned_faces"	289.693	289.196
292.853	"recently_learned_faces_correct_combination"	1	"left"	0.94	2.508	"recently_learned_faces"	295.334	293.793
296.381	"famous_faces_false_combination"	1	"right"	1.088	2.507	"famous_faces"	298.873	297.469
299.925	"famous_faces_false_combination"	1	"right"	0.983	2.507	"famous_faces"	302.411	300.908
303.218	"recently_learned_faces_baseline"	1	"right"	0.877	2.507	"recently_learned_faces_baseline"	305.698	304.095
306.745	"famous_faces_correct_combination"	1	"left"	0.98	2.507	"famous_faces"	309.236	307.725
310.339	"recently_learned_faces_baseline"	1	"left"	1.224	2.507	"recently_learned_faces_baseline"	312.825	311.563
313.883	"famous_faces_correct_combination"	1	"left"	1.379	2.507	"famous_faces"	316.363	315.262
317.26	"recently_learned_faces_correct_combination"	1	"left"	0.849	2.507	"recently_learned_faces"	319.751	318.109
320.653	"recently_learned_faces_false_combination"	1	"right"	0.969	2.508	"recently_learned_faces"	323.139	321.622
324.197	"recently_learned_faces_false_combination"	1	"right"	1.092	2.508	"recently_learned_faces"	326.677	325.289
327.825	"recently_learned_faces_correct_combination"	1	"left"	1.062	2.507	"recently_learned_faces"	330.316	328.887
331.118	"recently_learned_faces_baseline"	1	"right"	1.076	2.507	"recently_learned_faces_baseline"	333.603	332.194
334.762	"famous_faces_correct_combination"	1	"left"	1.045	2.507	"famous_faces"	337.242	335.807
340.345	"recently_learned_faces_baseline"	1	"left"	0.931	2.508	"recently_learned_faces_baseline"	342.833	341.276
343.889	"recently_learned_faces_baseline"	1	"right"	0.842	2.508	"recently_learned_faces_baseline"	346.372	344.731
347.216	"famous_faces_false_combination"	1	"right"	1.06	2.507	"famous_faces"	349.709	348.276
350.76	"recently_learned_faces_correct_combination"	1	"left"	0.804	2.507	"recently_learned_faces"	353.247	351.564
354.404	"famous_faces_false_combination"	1	"right"	1.145	2.507	"famous_faces"	356.886	355.549
357.68	"recently_learned_faces_baseline"	1	"right"	1.188	2.508	"recently_learned_faces_baseline"	360.173	358.868
361.325	"recently_learned_faces_baseline"	1	"left"	0.988	2.507	"recently_learned_faces_baseline"	363.812	362.313
364.768	"recently_learned_faces_false_combination"	1	"right"	0.984	2.508	"recently_learned_faces"	367.25	365.752
368.346	"famous_faces_false_combination"	1	"right"	0.968	2.507	"famous_faces"	370.839	369.314
371.689	"famous_faces_correct_combination"	1	"left"	1.058	2.507	"famous_faces"	374.176	372.747
375.132	"famous_faces_false_combination"	1	"right"	1.08	2.508	"famous_faces"	377.614	376.212
378.66	"recently_learned_faces_baseline"	1	"right"	0.925	2.507	"recently_learned_faces_baseline"	381.152	379.585
382.254	"recently_learned_faces_false_combination"	0	"left"	1.926	2.507	"recently_learned_faces"	384.741	384.18
387.737	"recently_learned_faces_baseline"	1	"left"	0.868	2.524	"recently_learned_faces_baseline"	390.231	388.605
391.281	"famous_faces_false_combination"	1	"right"	0.939	2.507	"famous_faces"	393.769	392.22
394.875	"famous_faces_correct_combination"	1	"left"	0.901	2.507	"famous_faces"	397.358	395.776
398.402	"recently_learned_faces_baseline"	1	"right"	0.874	2.507	"recently_learned_faces_baseline"	400.896	399.276
401.795	"recently_learned_faces_correct_combination"	1	"left"	1.436	2.508	"recently_learned_faces"	404.284	403.231
405.339	"famous_faces_correct_combination"	0	"right"	0.722	2.508	"famous_faces"	407.823	406.061
408.716	"recently_learned_faces_false_combination"	1	"right"	1.166	2.524	"recently_learned_faces"	411.21	409.882
412.16	"famous_faces_correct_combination"	1	"left"	0.877	2.507	"famous_faces"	414.648	413.037
415.854	"famous_faces_false_combination"	1	"right"	1.059	2.507	"famous_faces"	418.337	416.913
419.231	"famous_faces_baseline"	1	"right"	1.18	2.524	"famous_faces_baseline"	421.725	420.411
422.624	"famous_faces_correct_combination"	1	"left"	0.894	2.508	"famous_faces"	425.113	423.518
426.319	"famous_faces_baseline"	1	"right"	0.923	2.507	"famous_faces_baseline"	428.802	427.242
429.745	"famous_faces_baseline"	1	"left"	1.069	2.525	"famous_faces_baseline"	432.24	430.814
435.346	"recently_learned_faces_baseline"	1	"left"	0.835	2.507	"recently_learned_faces_baseline"	437.831	436.181
438.94	"recently_learned_faces_false_combination"	0	"left"	0.81	2.507	"recently_learned_faces"	441.42	439.75
442.216	"recently_learned_faces_correct_combination"	1	"left"	1.216	2.508	"recently_learned_faces"	444.707	443.432
445.86	"recently_learned_faces_baseline"	1	"left"	1.176	2.508	"recently_learned_faces_baseline"	448.346	447.036
449.254	"recently_learned_faces_false_combination"	1	"right"	1.799	2.507	"recently_learned_faces"	451.733	451.053
452.881	"recently_learned_faces_baseline"	1	"left"	0.926	2.508	"recently_learned_faces_baseline"	455.372	453.807
456.275	"recently_learned_faces_baseline"	1	"left"	1.012	2.507	"recently_learned_faces_baseline"	458.76	457.287
459.819	"famous_faces_baseline"	1	"left"	0.865	2.507	"famous_faces_baseline"	462.299	460.684
463.195	"famous_faces_correct_combination"	1	"left"	0.829	2.508	"famous_faces"	465.686	464.024
466.639	"famous_faces_baseline"	1	"right"	0.807	2.507	"famous_faces_baseline"	469.124	467.446
470.333	"famous_faces_false_combination"	1	"right"	1.169	2.508	"famous_faces"	472.813	471.502
473.71	"famous_faces_false_combination"	1	"right"	0.854	2.508	"famous_faces"	476.201	474.564
477.254	"recently_learned_faces_baseline"	1	"left"	0.775	2.507	"recently_learned_faces_baseline"	479.74	478.029
