onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.836	1.788	Visual_Same	1	right	1.316	12.624	12.152
13.276	1.789	Visual_Lure	1	left	0.961	15.065	14.237
15.867	1.789	Visual_Different	0	NA	NA	17.656	NA
18.408	1.789	Visual_Lure	1	left	0.816	20.197	19.224
20.699	1.788	Visual_Lure	1	left	0.563	22.487	21.262
23.323	1.789	Visual_Different	1	left	1.533	25.112	24.856
25.663	1.789	Visual_Different	0	NA	NA	27.452	NA
33.286	1.789	Auditory_Different	1	left	1.396	35.075	34.682
35.827	1.789	Auditory_Different	1	left	1.031	37.616	36.858
38.368	1.789	Auditory_Same	1	right	1.145	40.157	39.513
40.709	1.788	Auditory_Lure	0	right	1.414	42.497	42.123
43.4	1.789	Auditory_Different	1	left	0.703	45.189	44.103
50.839	1.789	Visual_Same	1	right	0.769	52.628	51.608
53.43	1.789	Visual_Same	1	right	0.953	55.219	54.383
55.77	1.789	Visual_Different	1	left	0.785	57.559	56.555
58.361	1.789	Visual_Lure	1	left	1.202	60.15	59.563
60.735	1.789	Visual_Lure	1	left	0.87	62.524	61.605
63.376	1.789	Visual_Same	0	NA	NA	65.165	NA
70.749	1.788	Auditory_Different	1	left	1.041	72.537	71.79
73.373	1.789	Auditory_Same	1	right	0.951	75.162	74.324
75.914	1.789	Auditory_Different	1	left	1.039	77.703	76.953
78.254	1.789	Auditory_Lure	1	left	1.369	80.043	79.623
80.795	1.789	Auditory_Lure	1	left	1.391	82.584	82.186
83.336	1.789	Auditory_Same	1	right	0.68	85.125	84.016
90.742	1.788	Visual_Different	1	left	1.095	92.53	91.837
93.333	1.789	Visual_Same	1	right	0.663	95.122	93.996
95.924	1.789	Visual_Lure	1	left	0.794	97.713	96.718
98.197	1.789	Visual_Same	1	right	0.647	99.986	98.844
100.789	1.788	Visual_Same	1	right	0.457	102.577	101.246
103.229	1.789	Visual_Lure	1	left	0.799	105.018	104.028
105.82	1.789	Visual_Lure	0	right	0.894	107.609	106.714
113.343	1.789	Auditory_Same	1	right	0.896	115.132	114.239
115.784	1.788	Auditory_Same	1	right	0.721	117.572	116.505
118.425	1.788	Auditory_Different	1	left	0.512	120.213	118.937
120.698	1.789	Auditory_Same	1	right	0.866	122.487	121.564
123.239	1.789	Auditory_Lure	1	left	0.675	125.028	123.914
130.795	1.789	Visual_Different	1	left	0.799	132.584	131.594
133.236	1.788	Visual_Lure	1	left	0.863	135.024	134.099
135.91	1.789	Visual_Different	1	left	0.725	137.699	136.635
138.351	1.789	Visual_Same	1	right	0.495	140.14	138.846
140.792	1.788	Visual_Same	1	right	0.855	142.58	141.647
143.232	1.789	Visual_Lure	0	right	1.046	145.021	144.278
145.824	1.772	Visual_Lure	1	left	0.997	147.596	146.821
153.346	1.789	Auditory_Lure	1	left	0.829	155.135	154.175
155.737	1.772	Auditory_Lure	1	left	1.405	157.509	157.142
158.361	1.789	Auditory_Different	1	left	1.369	160.15	159.73
160.902	1.789	Auditory_Same	1	right	0.602	162.691	161.504
163.293	1.788	Auditory_Lure	1	left	0.748	165.081	164.041
170.949	1.789	Visual_Same	1	right	0.73	172.738	171.679
173.222	1.789	Visual_Same	1	right	0.59	175.011	173.812
175.813	1.789	Visual_Different	1	left	0.53	177.602	176.343
178.254	1.789	Visual_Same	1	right	1.019	180.043	179.273
180.845	1.789	Visual_Lure	1	left	0.659	182.634	181.504
188.284	1.789	Auditory_Different	1	left	0.653	190.073	188.937
