onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.269	0.2	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	10.44	NA
11.389	2.507	recently_learned_faces_baseline	1	right	1.335	recently_learned_faces_baseline	13.878	12.724
14.732	2.507	famous_faces_baseline	1	left	0.971	famous_faces_baseline	17.215	15.703
18.326	2.507	famous_faces_baseline	1	right	0.971	famous_faces_baseline	20.804	19.297
21.753	2.507	famous_faces_false_combination	1	right	1.825	famous_faces	24.242	23.578
25.347	2.507	famous_faces_correct_combination	1	left	1.367	famous_faces	27.831	26.714
28.673	2.508	recently_learned_faces_false_combination	1	right	1.184	recently_learned_faces	31.168	29.857
32.217	2.508	recently_learned_faces_false_combination	1	right	1.055	recently_learned_faces	34.706	33.272
35.862	2.507	famous_faces_false_combination	1	right	1.44	famous_faces	38.345	37.302
39.255	2.507	famous_faces_baseline	0	right	1.283	famous_faces_baseline	41.733	40.538
42.682	2.507	recently_learned_faces_baseline	0	right	1.059	recently_learned_faces_baseline	45.171	43.741
46.125	2.508	famous_faces_false_combination	1	right	1.917	famous_faces	48.609	48.042
49.719	2.508	famous_faces_baseline	1	right	1.436	famous_faces_baseline	52.198	51.155
55.453	2.508	famous_faces_baseline	1	right	1.05	famous_faces_baseline	57.939	56.503
58.797	2.507	recently_learned_faces_correct_combination	1	left	1.426	recently_learned_faces	61.276	60.223
62.324	2.507	recently_learned_faces_false_combination	1	right	0.887	recently_learned_faces	64.815	63.211
65.717	2.508	famous_faces_correct_combination	1	left	1.484	famous_faces	68.203	67.201
69.361	2.508	famous_faces_false_combination	1	right	1.063	famous_faces	71.842	70.424
72.788	2.508	recently_learned_faces_false_combination	0	left	1.396	recently_learned_faces	75.28	74.184
76.182	2.507	famous_faces_false_combination	1	right	1.142	famous_faces	78.668	77.324
79.726	2.507	recently_learned_faces_false_combination	1	right	0.941	recently_learned_faces	82.206	80.667
83.303	2.507	recently_learned_faces_false_combination	1	right	1.029	recently_learned_faces	85.795	84.332
86.847	2.507	famous_faces_baseline	1	right	1.008	famous_faces_baseline	89.333	87.855
