onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.949	1.789	Visual_Lure	0	NA	NA	12.738	NA
13.273	1.789	Visual_Lure	1	left	1.144	15.062	14.417
15.814	1.789	Visual_Same	1	right	1.125	17.603	16.939
18.589	1.554	Visual_Lure	1	left	0.905	20.143	19.494
20.695	1.789	Visual_Different	0	NA	NA	22.484	NA
28.251	1.789	Auditory_Different	0	NA	NA	30.04	NA
30.825	1.789	Auditory_Different	0	NA	NA	32.614	NA
33.366	1.789	Auditory_Same	0	left	1.116	35.155	34.482
35.757	1.788	Auditory_Lure	0	right	1.524	37.545	37.281
38.398	1.789	Auditory_Different	1	left	1.202	40.187	39.6
45.887	1.789	Visual_Different	1	left	1.229	47.676	47.116
48.227	1.789	Visual_Lure	1	left	0.895	50.016	49.122
50.818	1.789	Visual_Different	1	left	0.864	52.607	51.682
53.409	1.789	Visual_Same	1	right	0.887	55.198	54.296
55.75	1.772	Visual_Same	1	right	0.892	57.522	56.642
58.374	1.789	Visual_Lure	1	left	1.183	60.163	59.557
60.815	1.788	Visual_Lure	1	left	0.661	62.603	61.476
68.287	1.789	Auditory_Same	1	right	1.138	70.076	69.425
70.728	1.788	Auditory_Same	1	right	1.004	72.516	71.732
73.319	1.788	Auditory_Different	1	left	0.631	75.107	73.95
75.91	1.789	Auditory_Same	1	right	0.946	77.699	76.856
78.35	1.772	Auditory_Lure	1	left	1.225	80.122	79.575
85.739	1.789	Visual_Same	1	right	1.079	87.528	86.818
88.33	1.789	Visual_Lure	1	left	0.715	90.119	89.045
90.771	1.789	Visual_Same	1	right	0.928	92.56	91.699
93.412	1.789	Visual_Different	1	left	1.736	95.201	95.148
95.786	1.788	Visual_Different	1	left	1.526	97.574	97.312
98.327	1.788	Visual_Lure	1	left	1.741	100.115	100.068
105.799	1.789	Auditory_Same	1	right	0.892	107.588	106.691
108.223	1.789	Auditory_Different	1	left	0.816	110.012	109.039
110.814	1.789	Auditory_Same	1	right	1.183	112.603	111.997
113.405	1.789	Auditory_Lure	0	NA	NA	115.194	NA
115.846	1.788	Auditory_Lure	1	left	1.559	117.634	117.405
118.286	1.789	Auditory_Different	1	left	1.168	120.075	119.454
120.71	1.789	Auditory_Different	0	NA	NA	122.499	NA
128.283	1.788	Visual_Different	1	left	1.014	130.071	129.297
130.723	1.789	Visual_Different	1	left	1.156	132.512	131.879
133.314	1.789	Visual_Lure	1	left	1.126	135.103	134.44
135.705	1.789	Visual_Different	1	left	1.278	137.494	136.983
138.246	1.788	Visual_Same	1	right	1.086	140.034	139.332
145.735	1.788	Auditory_Lure	0	right	1.11	147.523	146.845
148.376	1.789	Auditory_Same	1	right	0.816	150.165	149.192
150.917	1.789	Auditory_Lure	1	left	0.857	152.706	151.774
153.358	1.788	Auditory_Different	1	left	0.854	155.146	154.212
155.781	1.789	Auditory_Different	1	left	1.321	157.57	157.102
158.372	1.789	Auditory_Same	1	right	1.042	160.161	159.414
160.663	1.788	Auditory_Same	1	right	0.926	162.451	161.589
168.436	1.789	Visual_Same	1	right	0.715	170.225	169.151
170.876	1.789	Visual_Same	1	right	0.831	172.665	171.707
173.267	1.789	Visual_Different	1	left	0.956	175.056	174.223
175.858	1.789	Visual_Lure	1	left	0.998	177.647	176.856
178.382	1.789	Visual_Lure	1	left	0.819	180.171	179.201
180.773	1.788	Visual_Same	1	right	0.823	182.561	181.596
188.295	1.789	Auditory_Lure	1	left	0.736	190.084	189.031
190.92	1.788	Auditory_Different	1	left	1.299	192.708	192.219
193.26	1.789	Auditory_Lure	1	left	1.5	195.049	194.76
195.801	1.788	Auditory_Same	1	right	0.84	197.589	196.641
198.191	1.789	Auditory_Same	1	right	0.705	199.98	198.896
200.832	1.789	Auditory_Different	1	left	1.659	202.621	202.491
208.238	1.789	Visual_Lure	1	left	0.905	210.027	209.143
210.829	1.789	Visual_Lure	1	left	0.82	212.618	211.649
213.37	1.789	Visual_Different	1	left	1.016	215.159	214.386
215.744	1.788	Visual_Same	1	right	0.901	217.532	216.645
218.184	1.789	Visual_Lure	1	left	1.149	219.973	219.333
225.79	1.789	Auditory_Different	1	left	0.946	227.579	226.736
228.331	1.789	Auditory_Same	1	right	0.853	230.12	229.184
230.722	1.772	Auditory_Different	1	left	0.989	232.494	231.711
233.346	1.789	Auditory_Lure	1	left	1.207	235.135	234.553
235.887	1.789	Auditory_Lure	1	left	1.154	237.676	237.041
238.227	1.789	Auditory_Same	1	right	0.943	240.016	239.17
245.934	1.788	Visual_Same	1	right	0.75	247.722	246.684
248.374	1.789	Visual_Lure	1	left	1.128	250.163	249.502
250.915	1.789	Visual_Different	1	left	0.747	252.704	251.662
253.255	1.789	Visual_Lure	1	left	1.084	255.044	254.339
255.679	1.789	Visual_Lure	1	left	0.685	257.468	256.364
258.27	1.789	Visual_Different	1	left	0.718	260.059	258.988
260.861	1.789	Visual_Different	1	left	1.449	262.65	262.31
268.434	1.789	Auditory_Different	1	left	0.837	270.223	269.271
270.825	1.788	Auditory_Different	1	left	1.184	272.613	272.009
273.365	1.789	Auditory_Lure	1	left	1.092	275.154	274.457
275.706	1.788	Auditory_Different	1	left	1.441	277.494	277.147
278.23	1.789	Auditory_Same	1	right	1.388	280.019	279.618
285.836	1.789	Visual_Different	1	left	0.95	287.625	286.786
288.277	1.788	Visual_Same	1	right	0.895	290.065	289.172
290.868	1.788	Visual_Lure	1	left	0.934	292.656	291.802
293.191	1.789	Visual_Same	1	right	0.848	294.98	294.039
295.732	1.789	Visual_Same	1	right	0.669	297.521	296.401
298.323	1.789	Visual_Lure	1	left	0.764	300.112	299.087
300.764	1.788	Visual_Lure	1	left	1.147	302.552	301.911
308.387	1.788	Auditory_Same	1	right	1.109	310.175	309.496
310.927	1.789	Auditory_Same	1	right	0.647	312.716	311.574
313.218	1.788	Auditory_Lure	1	left	0.874	315.006	314.092
315.792	1.789	Auditory_Different	1	left	1.132	317.581	316.924
318.333	1.789	Auditory_Same	1	right	0.795	320.122	319.128
325.738	1.789	Visual_Lure	1	left	0.954	327.527	326.692
328.43	1.788	Visual_Lure	1	left	0.76	330.218	329.19
330.753	1.789	Visual_Same	1	right	0.804	332.542	331.557
333.394	1.789	Visual_Different	1	left	0.774	335.183	334.168
335.785	1.789	Visual_Different	1	left	0.783	337.574	336.568
338.175	1.789	Visual_Lure	0	right	0.901	339.964	339.076
345.781	1.789	Auditory_Different	1	left	1.013	347.57	346.794
348.423	1.788	Auditory_Same	1	right	0.781	350.211	349.204
350.713	1.788	Auditory_Lure	1	left	0.733	352.501	351.446
353.304	1.788	Auditory_Same	1	right	0.825	355.092	354.129
355.828	1.789	Auditory_Same	1	right	1.049	357.617	356.877
358.369	1.789	Auditory_Lure	1	left	1.007	360.158	359.376
360.709	1.789	Auditory_Lure	1	left	0.999	362.498	361.708
368.382	1.789	Visual_Different	1	left	1.156	370.171	369.538
370.923	1.789	Visual_Same	1	right	0.896	372.712	371.819
373.213	1.789	Visual_Different	1	left	0.748	375.002	373.961
375.854	1.789	Visual_Lure	1	left	1.024	377.643	376.878
378.278	1.789	Visual_Lure	0	right	0.851	380.067	379.129
