onset	trial_type
14.834	Contingent
18.228	Contingent
21.772	Contingent
28.793	Contingent
32.387	Contingent
35.68	Contingent
42.751	Contingent
58.849	Contingent
72.807	Contingent
76.401	Contingent
83.222	Contingent
90.36	Contingent
93.736	Contingent
97.18	Contingent
102.797	Contingent
106.441	Contingent
123.742	Contingent
127.387	Contingent
130.813	Contingent
137.65	Contingent
141.345	Contingent
150.405	Contingent
157.326	Contingent
178.171	Contingent
185.159	Contingent
188.836	Contingent
197.947	Contingent
229.357	Contingent
232.65	Contingent
236.244	Contingent
239.838	Contingent
252.275	Contingent
262.69	Contingent
266.234	Contingent
273.322	Contingent
287.33	Contingent
303.261	Contingent
313.842	Contingent
320.763	Contingent
324.207	Contingent
327.851	Contingent
331.244	Contingent
343.731	Contingent
350.769	Contingent
354.413	Contingent
357.69	Contingent
361.234	Contingent
364.828	Contingent
368.371	Contingent
371.748	Contingent
382.33	Contingent
391.24	Contingent
398.261	Contingent
408.692	Contingent
415.763	Contingent
419.206	Contingent
435.288	Contingent
445.869	Contingent
452.89	Contingent
459.777	Contingent
477.179	Contingent
482.896	Contingent
486.273	Contingent
489.917	Contingent
507.319	Contingent
510.712	Contingent
514.256	Contingent
521.227	Contingent
524.771	Contingent
25.349	NonContingent
39.207	NonContingent
49.688	NonContingent
62.226	NonContingent
65.77	NonContingent
79.678	NonContingent
86.816	NonContingent
113.378	NonContingent
116.805	NonContingent
120.198	NonContingent
134.257	NonContingent
144.688	NonContingent
153.932	NonContingent
160.769	NonContingent
164.213	NonContingent
167.907	NonContingent
171.284	NonContingent
174.728	NonContingent
181.815	NonContingent
192.18	NonContingent
201.39	NonContingent
204.834	NonContingent
208.261	NonContingent
211.705	NonContingent
215.248	NonContingent
218.692	NonContingent
222.336	NonContingent
225.763	NonContingent
245.455	NonContingent
248.832	NonContingent
255.719	NonContingent
259.363	NonContingent
269.778	NonContingent
276.865	NonContingent
280.242	NonContingent
283.686	NonContingent
292.846	NonContingent
296.44	NonContingent
299.884	NonContingent
306.704	NonContingent
310.399	NonContingent
317.169	NonContingent
334.771	NonContingent
340.338	NonContingent
347.376	NonContingent
375.142	NonContingent
378.736	NonContingent
387.946	NonContingent
394.817	NonContingent
401.855	NonContingent
405.398	NonContingent
412.319	NonContingent
422.85	NonContingent
426.244	NonContingent
429.671	NonContingent
438.932	NonContingent
442.225	NonContingent
449.296	NonContingent
456.183	NonContingent
463.321	NonContingent
466.698	NonContingent
470.342	NonContingent
473.736	NonContingent
493.21	NonContingent
496.804	NonContingent
500.198	NonContingent
503.875	NonContingent
517.85	NonContingent
530.388	NonContingent
