onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.254	0.451	Contingent	NA	NA	10.691	NA
11.441	2.808	Contingent	NA	NA	14.231	NA
14.834	2.809	Contingent	left	1.071	17.621	15.905
18.228	2.808	Contingent	left	1.642	21.011	19.87
21.772	2.791	Contingent	left	2.159	24.551	23.931
25.349	2.808	NonContingent	left	1.189	28.142	26.538
28.793	2.808	Contingent	left	1.278	31.582	30.071
32.387	2.808	Contingent	left	1.449	35.173	33.836
35.68	2.808	Contingent	left	0.79	38.462	36.47
39.207	2.808	NonContingent	right	0.995	42.002	40.202
42.751	2.808	Contingent	left	1.015	45.543	43.766
46.144	2.809	NonContingent	NA	NA	48.933	NA
49.688	2.809	NonContingent	right	1.885	52.473	51.573
55.405	2.809	NonContingent	NA	NA	58.189	NA
58.849	2.792	Contingent	left	0.949	61.629	59.798
62.226	2.808	NonContingent	right	1.519	65.019	63.745
65.77	2.808	NonContingent	right	1.839	68.559	67.609
69.414	2.808	Contingent	NA	NA	72.2	NA
72.807	2.809	Contingent	left	0.748	75.59	73.555
76.401	2.792	Contingent	left	0.845	79.181	77.246
79.678	2.808	NonContingent	right	1.562	82.47	81.24
83.222	2.808	Contingent	left	1.613	86.01	84.835
86.816	2.808	NonContingent	right	1.359	89.601	88.175
90.36	2.808	Contingent	left	1.441	93.141	91.801
93.736	2.809	Contingent	left	0.807	96.531	94.543
97.18	2.808	Contingent	left	1.582	99.971	98.762
102.797	2.808	Contingent	left	0.909	105.587	103.706
106.441	2.808	Contingent	left	0.802	109.228	107.243
109.734	2.808	NonContingent	NA	NA	112.517	NA
113.378	2.792	NonContingent	right	1.658	116.158	115.036
116.805	2.808	NonContingent	right	1.336	119.598	118.141
120.198	2.809	NonContingent	right	2.285	122.988	122.483
123.742	2.809	Contingent	left	0.648	126.528	124.39
127.387	2.808	Contingent	left	2.136	130.169	129.523
130.813	2.809	Contingent	left	0.752	133.609	131.565
134.257	2.808	NonContingent	right	1.012	137.049	135.269
137.65	2.809	Contingent	right	1.143	140.439	138.793
141.345	2.808	Contingent	left	1.441	144.13	142.786
144.688	2.808	NonContingent	right	1.37	147.469	146.058
150.405	2.809	Contingent	left	0.777	153.187	151.182
153.932	2.809	NonContingent	left	1.46	156.727	155.392
157.326	2.808	Contingent	left	1.413	160.117	158.739
160.769	2.809	NonContingent	right	2.109	163.557	162.878
164.213	2.808	NonContingent	right	1.281	166.997	165.494
167.907	2.792	NonContingent	right	1.381	170.688	169.288
171.284	2.808	NonContingent	right	1.217	174.078	172.501
174.728	2.808	NonContingent	left	1.609	177.518	176.337
178.171	2.809	Contingent	left	0.697	180.958	178.868
181.815	2.809	NonContingent	right	1.172	184.599	182.987
185.159	2.791	Contingent	left	0.744	187.938	185.903
188.836	2.809	Contingent	left	1.317	191.629	190.153
192.18	2.808	NonContingent	left	1.348	194.968	193.528
197.947	2.808	Contingent	left	1.963	200.736	199.91
201.39	2.809	NonContingent	right	1.355	204.176	202.745
204.834	2.808	NonContingent	right	1.113	207.616	205.947
208.261	2.808	NonContingent	right	1.146	211.056	209.407
211.705	2.808	NonContingent	right	1.157	214.496	212.862
