onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
7.95899999999999	2.809	Contingent	right	2.397	10.741	10.356
11.386	2.809	Contingent	right	2.716	14.181	14.102
14.83	2.808	Contingent	left	1.62	17.621	16.45
18.223	2.809	Contingent	left	1.231	21.011	19.454
21.767	2.809	Contingent	left	1.276	24.551	23.043
25.311	2.792	NonContingent	right	0.928	28.092	26.239
28.889	2.808	Contingent	left	0.963	31.683	29.852
32.182	2.808	Contingent	right	1.465	34.972	33.647
35.726	2.808	Contingent	right	0.868	38.512	36.594
39.32	2.808	NonContingent	left	0.992	42.103	40.312
42.763	2.792	Contingent	left	0.929	45.543	43.692
46.291	2.808	NonContingent	right	1.729	49.084	48.02
49.684	2.808	NonContingent	right	1.119	52.473	50.803
55.451	2.809	NonContingent	right	1.169	58.239	56.62
58.744	2.809	Contingent	left	1.702	61.528	60.446
62.338	2.792	NonContingent	right	1.031	65.119	63.369
65.765	2.809	NonContingent	left	1.757	68.559	67.522
69.359	2.809	Contingent	right	1.601	72.15	70.96
72.903	2.809	Contingent	left	1.039	75.69	73.942
76.347	2.808	Contingent	left	1.541	79.13	77.888
79.724	2.808	NonContingent	left	1.324	82.519	81.048
83.167	2.809	Contingent	right	1.514	85.959	84.681
86.761	2.809	NonContingent	right	1.698	89.55	88.459
90.205	2.808	Contingent	right	1.244	92.99	91.449
93.649	2.791	Contingent	left	1.048	96.43	94.697
97.326	2.809	Contingent	right	1.178	100.121	98.504
102.742	2.809	Contingent	left	1.391	105.537	104.133
106.387	2.808	Contingent	left	0.976	109.178	107.363
109.78	2.808	NonContingent	left	1.289	112.567	111.069
113.424	2.809	NonContingent	left	2.536	116.208	115.96
116.818	2.791	NonContingent	right	1.365	119.598	118.183
120.245	2.808	NonContingent	left	1.165	123.038	121.41
123.789	2.808	Contingent	left	0.944	126.579	124.733
127.383	2.808	Contingent	right	1.276	130.17	128.659
130.676	2.808	Contingent	left	1.093	133.459	131.769
134.32	2.792	NonContingent	right	0.986	137.1	135.306
137.847	2.809	Contingent	left	1.252	140.64	139.099
141.291	2.808	Contingent	left	1.191	144.08	142.482
144.634	2.809	NonContingent	right	1.82	147.419	146.454
150.351	2.809	Contingent	left	1.129	153.137	151.48
153.745	2.808	NonContingent	right	1.022	156.527	154.767
157.272	2.808	Contingent	right	1.121	160.067	158.393
160.916	2.809	NonContingent	right	1.126	163.708	162.042
164.36	2.808	NonContingent	left	0.961	167.148	165.321
167.803	2.809	NonContingent	right	1.029	170.588	168.832
171.197	2.791	NonContingent	right	1.166	173.978	172.363
174.824	2.809	NonContingent	right	0.906	177.619	175.73
178.368	2.809	Contingent	left	0.785	181.159	179.153
181.712	2.808	NonContingent	right	1.078	184.498	182.79
185.306	2.808	Contingent	left	1.072	188.089	186.378
