onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.23	0.083	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	10.289	NA
11.4	2.507	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	13.878	NA
14.726	2.508	famous_faces_baseline	0	NA	NA	famous_faces_baseline	17.215	NA
18.421	2.507	famous_faces_baseline	0	left	1.771	famous_faces_baseline	20.904	20.192
21.797	2.524	famous_faces_false_combination	0	left	1.662	famous_faces	24.292	23.459
25.341	2.508	famous_faces_correct_combination	0	right	1.415	famous_faces	27.831	26.756
28.684	2.508	recently_learned_faces_false_combination	0	left	2.436	recently_learned_faces	31.168	31.12
32.278	2.508	recently_learned_faces_false_combination	0	NA	NA	recently_learned_faces	34.757	NA
35.705	2.508	famous_faces_false_combination	0	left	1.324	famous_faces	38.195	37.029
39.35	2.507	famous_faces_baseline	1	left	1.45	famous_faces_baseline	41.834	40.8
42.743	2.507	recently_learned_faces_baseline	1	left	1.037	recently_learned_faces_baseline	45.222	43.78
46.12	2.507	famous_faces_false_combination	0	left	1.522	famous_faces	48.61	47.642
49.814	2.508	famous_faces_baseline	0	NA	NA	famous_faces_baseline	52.299	NA
55.448	2.507	famous_faces_baseline	1	right	1.123	famous_faces_baseline	57.939	56.571
58.791	2.507	recently_learned_faces_correct_combination	0	right	1.931	recently_learned_faces	61.276	60.722
62.234	2.508	recently_learned_faces_false_combination	0	left	1.699	recently_learned_faces	64.714	63.933
65.862	2.507	famous_faces_correct_combination	1	left	1.367	famous_faces	68.353	67.229
69.305	2.508	famous_faces_false_combination	0	left	1.568	famous_faces	71.791	70.873
72.899	2.508	recently_learned_faces_false_combination	0	left	1.308	recently_learned_faces	75.38	74.207
76.176	2.507	famous_faces_false_combination	1	right	1.8	famous_faces	78.667	77.976
79.82	2.508	recently_learned_faces_false_combination	1	right	1.313	recently_learned_faces	82.306	81.133
83.264	2.507	recently_learned_faces_false_combination	0	left	1.326	recently_learned_faces	85.744	84.59
86.691	2.507	famous_faces_baseline	0	left	2.186	famous_faces_baseline	89.182	88.877
90.234	2.508	famous_faces_baseline	1	right	1.333	famous_faces_baseline	92.721	91.567
93.678	2.507	famous_faces_false_combination	1	right	2.067	famous_faces	96.159	95.745
97.305	2.508	recently_learned_faces_false_combination	0	left	1.46	recently_learned_faces	99.798	98.765
102.956	2.507	recently_learned_faces_correct_combination	1	left	1.868	recently_learned_faces	105.437	104.824
106.332	2.508	famous_faces_correct_combination	1	left	1.566	famous_faces	108.825	107.898
109.726	2.507	recently_learned_faces_correct_combination	1	left	1.688	recently_learned_faces	112.213	111.414
113.27	2.507	recently_learned_faces_false_combination	1	right	2.31	recently_learned_faces	115.751	115.58
116.847	2.524	recently_learned_faces_correct_combination	1	left	1.444	recently_learned_faces	119.34	118.291
120.24	2.508	famous_faces_correct_combination	1	left	1.546	famous_faces	122.727	121.786
123.684	2.507	famous_faces_correct_combination	1	left	1.161	famous_faces	126.165	124.845
127.311	2.525	recently_learned_faces_correct_combination	0	right	2.27	recently_learned_faces	129.804	129.581
130.755	2.508	famous_faces_baseline	1	left	1.974	famous_faces_baseline	133.242	132.729
134.349	2.508	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	136.831	NA
