onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
259.403	2.508	recently_learned_faces_correct_combination	1	left	2.14	recently_learned_faces	261.889	261.543
262.696	2.508	recently_learned_faces_correct_combination	1	left	2.331	recently_learned_faces	265.176	265.027
266.274	2.507	famous_faces_correct_combination	1	left	1.241	famous_faces	268.765	267.515
269.868	2.507	famous_faces_false_combination	1	right	1.835	famous_faces	272.354	271.703
273.311	2.508	famous_faces_correct_combination	1	left	1.439	famous_faces	275.792	274.75
276.688	2.508	famous_faces_baseline	1	left	1.272	famous_faces_baseline	279.179	277.96
280.132	2.507	recently_learned_faces_correct_combination	1	left	1.202	recently_learned_faces	282.617	281.334
283.826	2.508	famous_faces_false_combination	1	right	1.252	famous_faces	286.306	285.078
287.153	2.507	recently_learned_faces_correct_combination	0	right	1.345	recently_learned_faces	289.643	288.498
292.903	2.508	recently_learned_faces_correct_combination	1	left	1.588	recently_learned_faces	295.385	294.491
296.33	2.508	famous_faces_false_combination	1	right	1.532	famous_faces	298.823	297.862
299.774	2.507	famous_faces_false_combination	1	right	1.415	famous_faces	302.261	301.189
303.218	2.507	recently_learned_faces_baseline	1	right	1.499	recently_learned_faces_baseline	305.699	304.717
306.895	2.508	famous_faces_correct_combination	1	left	1.026	famous_faces	309.388	307.921
310.289	2.507	recently_learned_faces_baseline	1	left	1.331	recently_learned_faces_baseline	312.776	311.62
313.732	2.508	famous_faces_correct_combination	1	left	0.99	famous_faces	316.214	314.722
317.31	2.507	recently_learned_faces_correct_combination	1	left	1.32	recently_learned_faces	319.803	318.63
320.854	2.507	recently_learned_faces_false_combination	1	right	1.754	recently_learned_faces	323.341	322.608
324.147	2.507	recently_learned_faces_false_combination	0	NA	NA	recently_learned_faces	326.628	NA
327.724	2.508	recently_learned_faces_correct_combination	0	NA	NA	recently_learned_faces	330.217	NA
331.168	2.507	recently_learned_faces_baseline	1	right	2.083	recently_learned_faces_baseline	333.655	333.251
334.812	2.507	famous_faces_correct_combination	1	left	1.319	famous_faces	337.294	336.131
340.245	2.507	recently_learned_faces_baseline	1	left	1.128	recently_learned_faces_baseline	342.734	341.373
343.789	2.507	recently_learned_faces_baseline	1	right	1.604	recently_learned_faces_baseline	346.272	345.393
347.333	2.507	famous_faces_false_combination	1	right	1.831	famous_faces	349.811	349.164
350.91	2.508	recently_learned_faces_correct_combination	1	left	1.435	recently_learned_faces	353.4	352.345
354.354	2.507	famous_faces_false_combination	1	right	1.228	famous_faces	356.838	355.582
357.731	2.524	recently_learned_faces_baseline	1	right	1.485	recently_learned_faces_baseline	360.225	359.216
361.174	2.508	recently_learned_faces_baseline	1	left	1.382	recently_learned_faces_baseline	363.663	362.556
364.818	2.508	recently_learned_faces_false_combination	1	right	1.464	recently_learned_faces	367.302	366.282
