"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.323	"recently_learned_faces_baseline"	0	NA	NA	0.017	"recently_learned_faces_baseline"	10.323	NA
11.443	"recently_learned_faces_baseline"	1	"right"	1.444	2.507	"recently_learned_faces_baseline"	13.928	12.887
14.836	"famous_faces_baseline"	0	"right"	1.35	2.508	"famous_faces_baseline"	17.316	16.186
18.263	"famous_faces_baseline"	0	"left"	2.281	2.508	"famous_faces_baseline"	20.754	20.544
21.857	"famous_faces_false_combination"	1	"right"	1.733	2.508	"famous_faces"	24.343	23.59
25.301	"famous_faces_correct_combination"	1	"left"	0.841	2.507	"famous_faces"	27.781	26.142
28.878	"recently_learned_faces_false_combination"	1	"right"	1.107	2.508	"recently_learned_faces"	31.37	29.985
32.172	"recently_learned_faces_false_combination"	1	"right"	0.869	2.507	"recently_learned_faces"	34.657	33.041
35.715	"famous_faces_false_combination"	1	"right"	1.018	2.508	"famous_faces"	38.195	36.733
39.293	"famous_faces_baseline"	0	"right"	0.912	2.507	"famous_faces_baseline"	41.784	40.205
42.636	"recently_learned_faces_baseline"	1	"left"	0.801	2.508	"recently_learned_faces_baseline"	45.121	43.437
46.33	"famous_faces_false_combination"	1	"right"	0.943	2.508	"famous_faces"	48.81	47.273
49.757	"famous_faces_baseline"	1	"right"	1.142	2.508	"famous_faces_baseline"	52.248	50.899
55.357	"famous_faces_baseline"	1	"right"	1.263	2.508	"famous_faces_baseline"	57.839	56.62
58.935	"recently_learned_faces_correct_combination"	1	"left"	1.206	2.507	"recently_learned_faces"	61.428	60.141
62.378	"recently_learned_faces_false_combination"	1	"right"	0.67	2.508	"recently_learned_faces"	64.866	63.048
65.722	"famous_faces_correct_combination"	1	"left"	0.847	2.507	"famous_faces"	68.203	66.569
69.249	"famous_faces_false_combination"	1	"right"	0.68	2.507	"famous_faces"	71.741	69.929
72.893	"recently_learned_faces_false_combination"	1	"right"	1.035	2.508	"recently_learned_faces"	75.38	73.928
76.287	"famous_faces_false_combination"	1	"right"	1.189	2.507	"famous_faces"	78.768	77.476
79.713	"recently_learned_faces_false_combination"	1	"right"	0.875	2.508	"recently_learned_faces"	82.206	80.588
83.308	"recently_learned_faces_false_combination"	1	"right"	0.796	2.507	"recently_learned_faces"	85.795	84.104
86.651	"famous_faces_baseline"	1	"right"	1.299	2.507	"famous_faces_baseline"	89.132	87.95
90.228	"famous_faces_baseline"	0	"left"	1.233	2.508	"famous_faces_baseline"	92.721	91.461
93.622	"famous_faces_false_combination"	1	"right"	0.878	2.507	"famous_faces"	96.109	94.5
97.316	"recently_learned_faces_false_combination"	1	"right"	0.968	2.507	"recently_learned_faces"	99.798	98.284
102.749	"recently_learned_faces_correct_combination"	1	"left"	1.75	2.507	"recently_learned_faces"	105.237	104.499
106.393	"famous_faces_correct_combination"	1	"left"	0.922	2.508	"famous_faces"	108.876	107.315
109.82	"recently_learned_faces_correct_combination"	1	"left"	0.681	2.507	"recently_learned_faces"	112.314	110.501
113.264	"recently_learned_faces_false_combination"	1	"right"	0.931	2.507	"recently_learned_faces"	115.752	114.195
116.908	"recently_learned_faces_correct_combination"	1	"left"	0.679	2.507	"recently_learned_faces"	119.391	117.587
120.285	"famous_faces_correct_combination"	1	"left"	0.708	2.524	"famous_faces"	122.779	120.993
123.828	"famous_faces_correct_combination"	1	"left"	0.879	2.508	"famous_faces"	126.318	124.707
127.222	"recently_learned_faces_correct_combination"	1	"left"	0.695	2.507	"recently_learned_faces"	129.705	127.917
130.649	"famous_faces_baseline"	0	"right"	0.669	2.507	"famous_faces_baseline"	133.143	131.318
