onset	trial_type
14.941	Contingent
18.367	Contingent
21.761	Contingent
28.849	Contingent
32.242	Contingent
35.669	Contingent
42.807	Contingent
58.888	Contingent
69.319	Contingent
72.897	Contingent
76.34	Contingent
83.227	Contingent
90.148	Contingent
93.692	Contingent
97.336	Contingent
102.752	Contingent
106.346	Contingent
123.798	Contingent
127.376	Contingent
130.719	Contingent
137.707	Contingent
141.351	Contingent
150.294	Contingent
157.332	Contingent
178.278	Contingent
185.298	Contingent
188.842	Contingent
197.802	Contingent
229.363	Contingent
232.706	Contingent
236.234	Contingent
239.778	Contingent
252.231	Contingent
262.746	Contingent
266.29	Contingent
273.328	Contingent
287.236	Contingent
303.417	Contingent
313.882	Contingent
320.819	Contingent
324.213	Contingent
327.639	Contingent
331.183	Contingent
343.888	Contingent
350.809	Contingent
354.202	Contingent
357.796	Contingent
361.19	Contingent
364.834	Contingent
368.361	Contingent
371.704	Contingent
382.119	Contingent
391.329	Contingent
398.217	Contingent
408.681	Contingent
415.769	Contingent
419.213	Contingent
435.394	Contingent
445.909	Contingent
452.896	Contingent
459.817	Contingent
477.169	Contingent
482.936	Contingent
486.329	Contingent
489.873	Contingent
507.325	Contingent
510.668	Contingent
514.346	Contingent
521.133	Contingent
524.827	Contingent
25.305	NonContingent
39.363	NonContingent
46.2	NonContingent
49.627	NonContingent
55.294	NonContingent
62.432	NonContingent
65.725	NonContingent
79.684	NonContingent
86.771	NonContingent
109.79	NonContingent
113.367	NonContingent
116.911	NonContingent
120.355	NonContingent
134.163	NonContingent
144.728	NonContingent
153.888	NonContingent
160.725	NonContingent
164.403	NonContingent
167.746	NonContingent
171.34	NonContingent
174.683	NonContingent
181.855	NonContingent
192.236	NonContingent
201.346	NonContingent
204.924	NonContingent
208.217	NonContingent
211.861	NonContingent
215.305	NonContingent
218.698	NonContingent
222.326	NonContingent
225.719	NonContingent
245.344	NonContingent
248.788	NonContingent
255.876	NonContingent
259.403	NonContingent
269.884	NonContingent
276.654	NonContingent
280.198	NonContingent
283.792	NonContingent
292.752	NonContingent
296.279	NonContingent
299.823	NonContingent
306.861	NonContingent
310.204	NonContingent
317.275	NonContingent
334.777	NonContingent
340.444	NonContingent
347.281	NonContingent
375.348	NonContingent
378.692	NonContingent
387.786	NonContingent
394.923	NonContingent
401.861	NonContingent
405.388	NonContingent
412.325	NonContingent
422.639	NonContingent
426.334	NonContingent
429.777	NonContingent
438.737	NonContingent
442.265	NonContingent
449.302	NonContingent
456.24	NonContingent
463.16	NonContingent
466.754	NonContingent
470.298	NonContingent
473.641	NonContingent
493.267	NonContingent
496.694	NonContingent
500.288	NonContingent
503.731	NonContingent
517.74	NonContingent
530.444	NonContingent
