onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.507	0.201	Contingent	NA	NA	10.691	NA
11.243	2.808	Contingent	right	2.004	14.03	13.247
14.837	2.808	Contingent	NA	NA	17.621	NA
18.431	2.808	Contingent	right	2.026	21.212	20.457
21.757	2.809	Contingent	NA	NA	24.551	NA
25.301	2.809	NonContingent	left	0.259	28.092	25.56
28.695	2.808	Contingent	left	2.214	31.482	30.909
32.389	2.808	Contingent	NA	NA	35.173	NA
35.732	2.792	Contingent	right	0.295	38.512	36.027
39.31	2.808	NonContingent	right	1.478	42.103	40.788
42.703	2.809	Contingent	NA	NA	45.492	NA
46.347	2.809	NonContingent	NA	NA	49.133	NA
49.641	2.791	NonContingent	right	1.291	52.422	50.932
55.458	2.808	NonContingent	left	2.728	58.239	58.186
58.885	2.808	Contingent	left	1.985	61.679	60.87
62.228	2.808	NonContingent	NA	NA	65.018	NA
65.772	2.808	NonContingent	left	2.134	68.558	67.906
69.316	2.808	Contingent	NA	NA	72.099	NA
72.759	2.792	Contingent	left	1.419	75.539	74.178
76.387	2.808	Contingent	left	1.496	79.18	77.883
79.83	2.809	NonContingent	NA	NA	82.62	NA
83.174	2.808	Contingent	left	1.815	85.959	84.989
86.768	2.808	NonContingent	NA	NA	89.55	NA
90.144	2.809	Contingent	left	1.722	92.94	91.866
93.738	2.809	Contingent	NA	NA	96.531	NA
97.333	2.808	Contingent	NA	NA	100.122	NA
102.799	2.808	Contingent	NA	NA	105.587	NA
106.343	2.808	Contingent	left	1.287	109.128	107.63
109.937	2.808	NonContingent	left	1.82	112.719	111.757
113.213	2.808	NonContingent	left	2.355	116.008	115.568
116.857	2.809	NonContingent	right	2.607	119.649	119.464
120.251	2.808	NonContingent	right	2.633	123.038	122.884
123.845	2.808	Contingent	left	1.211	126.629	125.056
127.288	2.792	Contingent	NA	NA	130.069	NA
130.866	2.808	Contingent	left	1.328	133.66	132.194
134.159	2.808	NonContingent	left	2.136	136.949	136.295
137.703	2.808	Contingent	NA	NA	140.489	NA
141.347	2.808	Contingent	NA	NA	144.13	NA
144.79	2.792	NonContingent	NA	NA	147.57	NA
150.39	2.809	Contingent	left	1.109	153.186	151.499
153.934	2.809	NonContingent	left	1.903	156.726	155.837
157.328	2.808	Contingent	NA	NA	160.116	NA
160.721	2.809	NonContingent	left	2.133	163.506	162.854
164.265	2.792	NonContingent	NA	NA	167.046	NA
167.792	2.809	NonContingent	left	1.907	170.587	169.699
171.386	2.809	NonContingent	NA	NA	174.178	NA
174.73	2.808	NonContingent	left	0.251	177.517	174.981
178.324	2.808	Contingent	left	2.158	181.108	180.482
181.667	2.792	NonContingent	NA	NA	184.447	NA
185.294	2.809	Contingent	left	1.491	188.088	186.785
188.688	2.808	Contingent	left	2.572	191.477	191.26
192.131	2.809	NonContingent	NA	NA	194.917	NA
197.899	2.808	Contingent	NA	NA	200.685	NA
201.442	2.809	NonContingent	left	1.942	204.225	203.384
204.719	2.808	NonContingent	left	2.294	207.514	207.013
208.263	2.808	NonContingent	NA	NA	211.054	NA
211.807	2.808	NonContingent	NA	NA	214.595	NA
215.2	2.808	NonContingent	left	2.514	217.985	217.714
218.894	2.809	NonContingent	left	1.93	221.676	220.824
222.321	2.809	NonContingent	right	1.893	225.116	224.214
225.765	2.808	NonContingent	right	1.854	228.556	227.619
229.209	2.808	Contingent	NA	NA	231.996	NA
232.803	2.808	Contingent	left	1.091	235.587	233.894
236.246	2.792	Contingent	left	1.93	239.027	238.176
239.673	2.808	Contingent	left	1.36	242.467	241.033
245.39	2.808	NonContingent	left	2.052	248.183	247.442
248.834	2.808	NonContingent	left	1.6	251.623	250.434
252.277	2.809	Contingent	left	2.17	255.063	254.447
255.721	2.808	NonContingent	NA	NA	258.503	NA
259.398	2.809	NonContingent	NA	NA	262.194	NA
262.842	2.808	Contingent	right	2.063	265.634	264.905
266.235	2.809	Contingent	left	1.852	269.023	268.087
269.779	2.809	NonContingent	NA	NA	272.564	NA
273.173	2.791	Contingent	left	1.529	275.954	274.702
276.85	2.809	NonContingent	right	1.916	279.645	278.766
280.244	2.808	NonContingent	left	1.559	283.035	281.803
283.788	2.808	NonContingent	left	1.7	286.576	285.488
287.131	2.808	Contingent	left	2.367	289.915	289.498
292.948	2.809	NonContingent	right	1.718	295.732	294.666
296.241	2.792	NonContingent	NA	NA	299.021	NA
299.819	2.808	NonContingent	NA	NA	302.612	NA
303.363	2.808	Contingent	right	1.983	306.153	305.346
306.756	2.808	NonContingent	right	2.215	309.542	308.971
310.35	2.808	NonContingent	left	1.427	313.133	311.777
313.877	2.809	Contingent	right	1.923	316.673	315.8
317.221	2.808	NonContingent	left	0.964	320.012	318.185
320.664	2.809	Contingent	NA	NA	323.452	NA
324.258	2.809	Contingent	left	2.411	327.043	326.669
327.852	2.809	Contingent	left	1.406	330.634	329.258
331.279	2.808	Contingent	NA	NA	334.074	NA
334.723	2.808	NonContingent	right	1.99	337.514	336.713
340.339	2.809	NonContingent	right	2.455	343.131	342.794
343.783	2.808	Contingent	left	1.15	346.571	344.933
347.427	2.809	NonContingent	left	1.602	350.212	349.029
350.72	2.792	Contingent	right	2.045	353.501	352.765
354.348	2.808	Contingent	right	2.096	357.142	356.444
357.892	2.808	Contingent	left	1.415	360.682	359.307
361.235	2.808	Contingent	left	0.979	364.021	362.214
364.829	2.808	Contingent	left	1.472	367.612	366.301
368.156	2.808	Contingent	right	2.026	370.951	370.182
371.75	2.808	Contingent	left	1.205	374.542	372.955
375.193	2.809	NonContingent	left	1.163	377.982	376.356
378.737	2.808	NonContingent	right	1.604	381.523	380.341
382.281	2.808	Contingent	right	1.957	385.064	384.238
387.898	2.808	NonContingent	left	1.267	390.679	389.165
391.274	2.809	Contingent	right	2.714	394.068	393.988
394.718	2.808	NonContingent	right	1.521	397.508	396.239
398.412	2.809	Contingent	left	1.538	401.199	399.95
401.806	2.808	NonContingent	left	1.801	404.589	403.607
405.35	2.791	NonContingent	left	1.378	408.13	406.728
408.777	2.808	Contingent	left	1.559	411.57	410.336
412.22	2.808	NonContingent	left	1.636	415.01	413.856
415.664	2.808	Contingent	left	1.16	418.45	416.824
419.358	2.808	Contingent	left	2.083	422.141	421.441
422.802	2.791	NonContingent	right	2.158	425.581	424.96
426.329	2.808	NonContingent	left	1.478	429.121	427.807
429.672	2.808	NonContingent	left	2.087	432.46	431.759
435.389	2.808	Contingent	NA	NA	438.178	NA
438.783	2.808	NonContingent	left	1.892	441.567	440.675
442.326	2.809	NonContingent	left	1.486	445.108	443.812
445.904	2.808	Contingent	left	2.102	448.699	448.006
449.197	2.808	NonContingent	right	2.602	451.988	451.799
452.841	2.808	Contingent	left	1.742	455.629	454.583
456.285	2.808	NonContingent	left	1.585	459.069	457.87
459.879	2.808	Contingent	left	1.632	462.66	461.511
463.205	2.809	NonContingent	left	2.731	465.999	465.936
466.649	2.808	NonContingent	right	1.881	469.439	468.53
470.243	2.808	NonContingent	left	1.662	473.03	471.905
