"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.847	"Visual_Different"	0	NA	NA	1.789	12.636	NA
13.237	"Visual_Different"	0	"right"	0.942	1.789	15.026	14.179
15.912	"Visual_Lure"	1	"left"	0.66	1.789	17.701	16.572
18.353	"Visual_Different"	0	"right"	0.796	1.788	20.141	19.149
20.743	"Visual_Same"	0	"left"	0.496	1.789	22.532	21.239
28.449	"Auditory_Different"	1	"left"	0.957	1.789	30.238	29.406
30.873	"Auditory_Different"	1	"left"	0.928	1.789	32.662	31.801
33.264	"Auditory_Lure"	0	"right"	1.341	1.789	35.053	34.605
35.704	"Auditory_Same"	1	"right"	1.03	1.789	37.493	36.734
38.296	"Auditory_Same"	1	"right"	0.973	1.788	40.084	39.269
40.887	"Auditory_Different"	1	"left"	0.958	1.788	42.675	41.845
48.242	"Visual_Same"	1	"right"	0.949	1.789	50.031	49.191
50.883	"Visual_Lure"	0	"right"	0.716	1.789	52.672	51.599
53.424	"Visual_Same"	1	"right"	0.671	1.789	55.213	54.095
55.748	"Visual_Different"	1	"left"	0.614	1.788	57.536	56.362
58.289	"Visual_Different"	1	"left"	0.787	1.788	60.077	59.076
60.729	"Visual_Lure"	1	"left"	0.821	1.789	62.518	61.55
68.285	"Auditory_Lure"	0	NA	NA	1.789	70.074	NA
70.876	"Auditory_Same"	1	"right"	1.106	1.789	72.665	71.982
73.317	"Auditory_Lure"	1	"left"	0.965	1.789	75.106	74.282
75.707	"Auditory_Different"	1	"left"	0.853	1.789	77.496	76.56
78.248	"Auditory_Different"	1	"left"	0.803	1.789	80.037	79.051
80.873	"Auditory_Same"	1	"right"	0.766	1.789	82.662	81.639
83.263	"Auditory_Same"	1	"right"	0.862	1.789	85.052	84.125
90.936	"Visual_Different"	1	"left"	0.715	1.789	92.725	91.651
93.226	"Visual_Different"	1	"left"	0.633	1.789	95.015	93.859
95.868	"Visual_Same"	1	"right"	0.731	1.788	97.656	96.599
98.308	"Visual_Lure"	1	"left"	1.107	1.789	100.097	99.415
100.899	"Visual_Different"	1	"left"	0.839	1.789	102.688	101.738
108.238	"Auditory_Lure"	1	"left"	0.796	1.789	110.027	109.034
110.879	"Auditory_Different"	1	"left"	0.754	1.789	112.668	111.633
113.27	"Auditory_Same"	1	"right"	0.925	1.788	115.058	114.195
115.811	"Auditory_Different"	1	"left"	0.572	1.788	117.599	116.383
118.184	"Auditory_Different"	1	"left"	1.156	1.789	119.973	119.34
120.826	"Auditory_Same"	0	"left"	1.026	1.788	122.614	121.852
123.366	"Auditory_Same"	0	"left"	1.377	1.789	125.155	124.743
130.789	"Visual_Same"	1	"right"	1.746	1.788	132.577	132.535
133.33	"Visual_Lure"	0	"right"	0.876	1.788	135.118	134.206
135.72	"Visual_Different"	1	"left"	0.578	1.789	137.509	136.298
138.361	"Visual_Lure"	1	"left"	0.762	1.772	140.133	139.123
140.685	"Visual_Lure"	1	"left"	1.676	1.789	142.474	142.361
143.276	"Visual_Different"	0	"right"	1.126	1.789	145.065	144.402
145.867	"Visual_Different"	1	"left"	0.845	1.789	147.656	146.712
153.239	"Auditory_Same"	1	"right"	0.915	1.789	155.028	154.154
155.93	"Auditory_Lure"	1	"left"	1.033	1.789	157.719	156.963
158.371	"Auditory_Different"	1	"left"	0.959	1.789	160.16	159.33
160.745	"Auditory_Lure"	1	"left"	1.094	1.788	162.533	161.839
163.286	"Auditory_Lure"	1	"left"	1.265	1.788	165.074	164.551
165.827	"Auditory_Different"	1	"left"	1.176	1.788	167.615	167.003
168.368	"Auditory_Different"	1	"left"	1.091	1.788	170.156	169.459
175.89	"Visual_Lure"	1	"left"	0.827	1.789	177.679	176.717
178.281	"Visual_Different"	1	"left"	0.566	1.788	180.069	178.847
180.922	"Visual_Same"	1	"right"	0.874	1.788	182.71	181.796
183.245	"Visual_Different"	1	"left"	0.553	1.789	185.034	183.798
185.686	"Visual_Different"	1	"left"	0.68	1.789	187.475	186.366
188.327	"Visual_Same"	1	"right"	0.977	1.789	190.116	189.304
190.768	"Visual_Same"	1	"right"	0.805	1.789	192.557	191.573
198.29	"Auditory_Different"	1	"left"	1.372	1.789	200.079	199.662
200.731	"Auditory_Different"	0	NA	NA	1.789	202.52	NA
203.322	"Auditory_Same"	0	"left"	1.424	1.789	205.111	204.746
205.746	"Auditory_Lure"	1	"left"	1.034	1.789	207.535	206.78
208.337	"Auditory_Different"	1	"left"	1.468	1.789	210.126	209.805
215.943	"Visual_Lure"	1	"left"	0.999	1.789	217.732	216.942
218.283	"Visual_Different"	1	"left"	0.56	1.772	220.055	218.843
220.808	"Visual_Lure"	0	"right"	0.622	1.788	222.596	221.43
223.198	"Visual_Same"	1	"right"	1.344	1.789	224.987	224.542
225.839	"Visual_Same"	1	"right"	1.373	1.789	227.628	227.212
228.23	"Visual_Different"	1	"left"	0.704	1.788	230.018	228.934
235.736	"Auditory_Different"	1	"left"	0.894	1.788	237.524	236.63
238.327	"Auditory_Different"	0	"right"	0.896	1.788	240.115	239.223
240.918	"Auditory_Lure"	1	"left"	0.123	1.788	242.706	241.041
243.308	"Auditory_Different"	0	"right"	1.782	1.789	245.097	245.09
245.682	"Auditory_Same"	0	"left"	1.038	1.789	247.471	246.72
