onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.433	0.016	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	10.433	NA
11.285	2.524	recently_learned_faces_baseline	1	right	1.893	recently_learned_faces_baseline	13.778	13.178
14.729	2.507	famous_faces_baseline	0	NA	NA	famous_faces_baseline	17.216	NA
18.423	2.507	famous_faces_baseline	1	right	0.978	famous_faces_baseline	20.905	19.401
21.85	2.507	famous_faces_false_combination	1	right	1.369	famous_faces	24.343	23.219
25.193	2.508	famous_faces_correct_combination	1	left	1.151	famous_faces	27.68	26.344
28.737	2.508	recently_learned_faces_false_combination	0	left	2.325	recently_learned_faces	31.218	31.062
32.314	2.508	recently_learned_faces_false_combination	1	right	1.245	recently_learned_faces	34.807	33.559
35.758	2.508	famous_faces_false_combination	1	right	1.061	famous_faces	38.245	36.819
39.352	2.508	famous_faces_baseline	1	left	1.192	famous_faces_baseline	41.834	40.544
42.679	2.507	recently_learned_faces_baseline	1	left	0.878	recently_learned_faces_baseline	45.171	43.557
46.323	2.507	famous_faces_false_combination	1	right	0.945	famous_faces	48.81	47.268
49.716	2.508	famous_faces_baseline	1	right	1.44	famous_faces_baseline	52.198	51.156
55.3	2.507	famous_faces_baseline	0	left	1.342	famous_faces_baseline	57.788	56.642
58.743	2.508	recently_learned_faces_correct_combination	0	NA	NA	recently_learned_faces	61.226	NA
62.421	2.524	recently_learned_faces_false_combination	1	right	1.874	recently_learned_faces	64.915	64.295
65.814	2.508	famous_faces_correct_combination	1	left	1.19	famous_faces	68.303	67.004
69.358	2.508	famous_faces_false_combination	1	right	1.338	famous_faces	71.842	70.696
72.735	2.524	recently_learned_faces_false_combination	0	left	1.764	recently_learned_faces	75.229	74.499
76.379	2.508	famous_faces_false_combination	1	right	1.369	famous_faces	78.868	77.748
79.823	2.507	recently_learned_faces_false_combination	1	right	1.351	recently_learned_faces	82.306	81.174
83.25	2.524	recently_learned_faces_false_combination	0	left	1.678	recently_learned_faces	85.744	84.928
86.643	2.508	famous_faces_baseline	1	right	2.137	famous_faces_baseline	89.132	88.78
90.287	2.508	famous_faces_baseline	1	right	1.26	famous_faces_baseline	92.771	91.547
93.731	2.507	famous_faces_false_combination	1	right	1.092	famous_faces	96.209	94.823
97.108	2.507	recently_learned_faces_false_combination	0	left	2.368	recently_learned_faces	99.597	99.476
102.808	2.507	recently_learned_faces_correct_combination	0	NA	NA	recently_learned_faces	105.287	NA
106.235	2.507	famous_faces_correct_combination	1	left	0.96	famous_faces	108.725	107.195
109.879	2.507	recently_learned_faces_correct_combination	1	left	1.11	recently_learned_faces	112.364	110.989
113.423	2.507	recently_learned_faces_false_combination	1	right	1.542	recently_learned_faces	115.902	114.965
116.8	2.507	recently_learned_faces_correct_combination	1	left	1.872	recently_learned_faces	119.29	118.672
120.193	2.508	famous_faces_correct_combination	1	left	1.021	famous_faces	122.678	121.214
123.737	2.507	famous_faces_correct_combination	1	left	0.957	famous_faces	126.216	124.694
127.264	2.508	recently_learned_faces_correct_combination	1	left	1.913	recently_learned_faces	129.755	129.177
130.858	2.508	famous_faces_baseline	1	left	1.192	famous_faces_baseline	133.344	132.05
134.302	2.507	recently_learned_faces_baseline	1	right	1.17	recently_learned_faces_baseline	136.782	135.472
137.829	2.507	famous_faces_baseline	1	left	0.849	famous_faces_baseline	140.32	138.678
141.172	2.508	famous_faces_correct_combination	1	left	0.911	famous_faces	143.657	142.083
144.766	2.508	recently_learned_faces_correct_combination	0	right	2.072	recently_learned_faces	147.246	146.838
150.4	2.507	famous_faces_baseline	1	right	1.527	famous_faces_baseline	152.887	151.927
153.843	2.508	famous_faces_correct_combination	1	left	0.989	famous_faces	156.325	154.832
157.421	2.507	famous_faces_baseline	1	right	0.955	famous_faces_baseline	159.914	158.376
160.764	2.508	recently_learned_faces_correct_combination	1	left	1.369	recently_learned_faces	163.251	162.133
164.208	2.507	recently_learned_faces_baseline	1	left	1.045	recently_learned_faces_baseline	166.689	165.253
167.785	2.524	recently_learned_faces_correct_combination	1	left	0.907	recently_learned_faces	170.278	168.692
171.178	2.508	recently_learned_faces_correct_combination	1	left	1.13	recently_learned_faces	173.666	172.308
174.722	2.508	recently_learned_faces_correct_combination	1	left	1.132	recently_learned_faces	177.204	175.854
178.3	2.524	famous_faces_false_combination	1	right	1.021	famous_faces	180.793	179.321
181.844	2.507	recently_learned_faces_baseline	1	left	0.82	recently_learned_faces_baseline	184.331	182.664
185.287	2.508	famous_faces_false_combination	1	right	1.035	famous_faces	187.769	186.322
188.614	2.507	famous_faces_false_combination	1	right	1.022	famous_faces	191.106	189.636
192.208	2.507	famous_faces_baseline	1	right	1.186	famous_faces_baseline	194.695	193.394
197.741	2.507	recently_learned_faces_false_combination	0	left	1.798	recently_learned_faces	200.235	199.539
201.435	2.508	famous_faces_false_combination	1	right	1.84	famous_faces	203.924	203.275
204.879	2.507	recently_learned_faces_correct_combination	1	left	1.426	recently_learned_faces	207.362	206.305
208.306	2.507	famous_faces_false_combination	1	right	0.961	famous_faces	210.8	209.267
211.749	2.508	famous_faces_baseline	1	left	0.756	famous_faces_baseline	214.238	212.505
215.193	2.507	recently_learned_faces_false_combination	0	left	1.853	recently_learned_faces	217.676	217.046
218.871	2.507	recently_learned_faces_false_combination	1	right	1.819	recently_learned_faces	221.365	220.69
222.264	2.508	famous_faces_correct_combination	1	left	0.885	famous_faces	224.753	223.149
225.708	2.507	recently_learned_faces_baseline	1	right	0.92	recently_learned_faces_baseline	228.191	226.628
229.302	2.507	famous_faces_baseline	1	right	1.039	famous_faces_baseline	231.78	230.341
232.829	2.507	recently_learned_faces_baseline	1	left	0.903	recently_learned_faces_baseline	235.318	233.732
236.122	2.507	recently_learned_faces_baseline	1	right	1.138	recently_learned_faces_baseline	238.605	237.26
239.699	2.508	recently_learned_faces_false_combination	0	left	1.865	recently_learned_faces	242.194	241.564
245.299	2.508	recently_learned_faces_baseline	1	right	1.128	recently_learned_faces_baseline	247.783	246.427
248.944	2.507	famous_faces_correct_combination	1	left	0.902	famous_faces	251.422	249.846
252.32	2.508	famous_faces_correct_combination	1	left	0.77	famous_faces	254.81	253.09
255.714	2.507	famous_faces_baseline	1	right	0.823	famous_faces_baseline	258.198	256.537
259.358	2.507	recently_learned_faces_correct_combination	1	left	1.299	recently_learned_faces	261.837	260.657
