"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.938	"Visual_Lure"	0	"right"	0.896	1.788	12.726	11.834
13.378	"Visual_Different"	1	"left"	0.51	1.789	15.167	13.888
15.819	"Visual_Same"	1	"right"	0.792	1.789	17.608	16.611
18.41	"Visual_Different"	1	"left"	0.516	1.588	19.998	18.926
20.751	"Visual_Different"	1	"left"	0.69	1.772	22.523	21.441
23.375	"Visual_Same"	1	"right"	1.044	1.789	25.164	24.419
25.715	"Visual_Same"	1	"right"	0.731	1.789	27.504	26.446
33.388	"Auditory_Same"	1	"right"	1.228	1.789	35.177	34.616
35.779	"Auditory_Different"	1	"left"	0.769	1.789	37.568	36.548
38.42	"Auditory_Same"	1	"right"	0.763	1.789	40.209	39.183
40.71	"Auditory_Lure"	1	"left"	0.839	1.789	42.499	41.549
43.302	"Auditory_Lure"	1	"left"	1.05	1.771	45.073	44.352
45.876	"Auditory_Different"	1	"left"	0.879	1.789	47.665	46.755
48.317	"Auditory_Different"	1	"left"	0.92	1.788	50.105	49.237
55.739	"Visual_Different"	1	"left"	1.054	1.788	57.527	56.793
58.38	"Visual_Same"	1	"right"	1.738	1.789	60.169	60.118
60.971	"Visual_Different"	1	"left"	0.876	1.638	62.609	61.847
63.211	"Visual_Lure"	1	"left"	1.046	1.789	65	64.257
65.886	"Visual_Lure"	1	"left"	1.474	1.789	67.675	67.36
68.276	"Visual_Same"	1	"right"	0.909	1.789	70.065	69.185
75.749	"Auditory_Lure"	1	"left"	0.865	1.788	77.537	76.614
78.323	"Auditory_Different"	1	"left"	0.762	1.789	80.112	79.085
80.764	"Auditory_Same"	1	"right"	0.833	1.788	82.552	81.597
83.305	"Auditory_Different"	1	"left"	0.797	1.788	85.093	84.102
85.846	"Auditory_Different"	1	"left"	0.787	1.789	87.635	86.633
88.236	"Auditory_Same"	1	"right"	1.075	1.789	90.025	89.311
90.66	"Auditory_Same"	1	"right"	1.111	1.789	92.449	91.771
98.4	"Visual_Different"	1	"left"	0.731	1.789	100.189	99.131
100.774	"Visual_Different"	1	"left"	0.541	1.789	102.563	101.315
103.365	"Visual_Lure"	0	"right"	0.734	1.789	105.154	104.099
105.906	"Visual_Different"	1	"left"	0.636	1.789	107.695	106.542
108.296	"Visual_Same"	1	"right"	0.886	1.789	110.085	109.182
115.936	"Auditory_Different"	1	"left"	0.943	1.789	117.725	116.879
118.276	"Auditory_Different"	1	"left"	0.788	1.789	120.065	119.064
120.717	"Auditory_Lure"	0	"right"	1.16	1.789	122.506	121.877
123.308	"Auditory_Same"	1	"right"	1.248	1.789	125.097	124.556
125.849	"Auditory_Same"	1	"right"	1.041	1.789	127.638	126.89
128.373	"Auditory_Different"	1	"left"	0.969	1.789	130.162	129.342
135.795	"Visual_Same"	0	"left"	1.38	1.789	137.584	137.175
138.236	"Visual_Same"	1	"right"	0.881	1.789	140.025	139.117
140.811	"Visual_Different"	1	"left"	0.749	1.788	142.599	141.56
143.402	"Visual_Same"	1	"right"	0.865	1.788	145.19	144.267
145.742	"Visual_Lure"	1	"left"	0.905	1.789	147.531	146.647
153.248	"Auditory_Lure"	1	"left"	0.782	1.789	155.037	154.03
155.889	"Auditory_Lure"	1	"left"	1.147	1.772	157.661	157.036
158.413	"Auditory_Different"	1	"left"	1.357	1.789	160.202	159.77
160.804	"Auditory_Same"	1	"right"	0.951	1.788	162.592	161.755
163.244	"Auditory_Lure"	1	"left"	0.83	1.789	165.033	164.074
170.734	"Visual_Lure"	1	"left"	1.307	1.788	172.522	172.041
173.375	"Visual_Lure"	1	"left"	0.848	1.788	175.163	174.223
175.916	"Visual_Same"	1	"right"	0.777	1.788	177.704	176.693
178.356	"Visual_Different"	1	"left"	0.778	1.789	180.145	179.134
180.797	"Visual_Different"	1	"left"	0.833	1.789	182.586	181.63
183.221	"Visual_Lure"	0	"right"	0.686	1.789	185.01	183.907
190.944	"Auditory_Different"	1	"left"	1.25	1.789	192.733	192.194
193.234	"Auditory_Different"	1	"left"	1.113	1.789	195.023	194.347
195.759	"Auditory_Lure"	1	"left"	0.993	1.788	197.547	196.752
198.3	"Auditory_Different"	1	"left"	0.849	1.788	200.088	199.149
200.84	"Auditory_Same"	1	"right"	0.928	1.789	202.629	201.768
