"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.328	"recently_learned_faces_baseline"	0	NA	NA	0.033	"recently_learned_faces_baseline"	10.34	NA
11.297	"recently_learned_faces_baseline"	0	"left"	1.457	2.508	"recently_learned_faces_baseline"	13.778	12.754
14.875	"famous_faces_baseline"	0	NA	NA	2.507	"famous_faces_baseline"	17.367	NA
18.419	"famous_faces_baseline"	0	NA	NA	2.507	"famous_faces_baseline"	20.905	NA
21.712	"famous_faces_false_combination"	1	"right"	2.129	2.508	"famous_faces"	24.192	23.841
25.34	"famous_faces_correct_combination"	0	"right"	1.032	2.507	"famous_faces"	27.831	26.372
28.683	"recently_learned_faces_false_combination"	0	"left"	2.201	2.507	"recently_learned_faces"	31.168	30.884
32.227	"recently_learned_faces_false_combination"	0	"left"	1.074	2.507	"recently_learned_faces"	34.706	33.301
35.754	"famous_faces_false_combination"	0	"left"	1.706	2.508	"famous_faces"	38.245	37.46
39.348	"famous_faces_baseline"	1	"left"	1.258	2.508	"famous_faces_baseline"	41.834	40.606
42.742	"recently_learned_faces_baseline"	1	"left"	0.71	2.507	"recently_learned_faces_baseline"	45.222	43.452
46.118	"famous_faces_false_combination"	1	"right"	1.559	2.508	"famous_faces"	48.61	47.677
49.763	"famous_faces_baseline"	0	"left"	2.35	2.507	"famous_faces_baseline"	52.249	52.113
55.296	"famous_faces_baseline"	1	"right"	1.538	2.507	"famous_faces_baseline"	57.788	56.834
58.94	"recently_learned_faces_correct_combination"	0	NA	NA	2.508	"recently_learned_faces"	61.427	NA
62.233	"recently_learned_faces_false_combination"	1	"right"	1.187	2.508	"recently_learned_faces"	64.714	63.42
65.861	"famous_faces_correct_combination"	1	"left"	1.153	2.507	"famous_faces"	68.353	67.014
69.305	"famous_faces_false_combination"	1	"right"	1.039	2.507	"famous_faces"	71.791	70.344
72.899	"recently_learned_faces_false_combination"	0	"left"	1.651	2.507	"recently_learned_faces"	75.38	74.55
76.225	"famous_faces_false_combination"	0	"left"	1.683	2.508	"famous_faces"	78.717	77.908
79.769	"recently_learned_faces_false_combination"	1	"right"	2.141	2.508	"recently_learned_faces"	82.256	81.91
83.313	"recently_learned_faces_false_combination"	1	"right"	1.841	2.508	"recently_learned_faces"	85.795	85.154
86.64	"famous_faces_baseline"	1	"right"	1.342	2.507	"famous_faces_baseline"	89.132	87.982
90.284	"famous_faces_baseline"	0	"left"	1.161	2.508	"famous_faces_baseline"	92.771	91.445
93.728	"famous_faces_false_combination"	1	"right"	1.247	2.507	"famous_faces"	96.209	94.975
97.305	"recently_learned_faces_false_combination"	1	"right"	0.896	2.508	"recently_learned_faces"	99.798	98.201
102.805	"recently_learned_faces_correct_combination"	0	"right"	1.299	2.507	"recently_learned_faces"	105.288	104.104
106.432	"famous_faces_correct_combination"	1	"left"	1.481	2.525	"famous_faces"	108.927	107.913
109.726	"recently_learned_faces_correct_combination"	1	"left"	1.914	2.507	"recently_learned_faces"	112.214	111.64
113.32	"recently_learned_faces_false_combination"	1	"right"	1.781	2.507	"recently_learned_faces"	115.803	115.101
116.864	"recently_learned_faces_correct_combination"	0	"right"	1.317	2.507	"recently_learned_faces"	119.342	118.181
120.24	"famous_faces_correct_combination"	1	"left"	1.93	2.508	"famous_faces"	122.729	122.17
123.684	"famous_faces_correct_combination"	1	"left"	0.934	2.508	"famous_faces"	126.167	124.618
127.261	"recently_learned_faces_correct_combination"	1	"left"	2.251	2.525	"recently_learned_faces"	129.756	129.512
130.805	"famous_faces_baseline"	1	"left"	1.281	2.508	"famous_faces_baseline"	133.295	132.086
134.349	"recently_learned_faces_baseline"	1	"right"	1.008	2.508	"recently_learned_faces_baseline"	136.833	135.357
137.793	"famous_faces_baseline"	1	"left"	1.331	2.507	"famous_faces_baseline"	140.271	139.124
141.32	"famous_faces_correct_combination"	1	"left"	0.99	2.508	"famous_faces"	143.809	142.31
144.664	"recently_learned_faces_correct_combination"	1	"left"	1.364	2.507	"recently_learned_faces"	147.146	146.028
150.347	"famous_faces_baseline"	1	"right"	1.136	2.508	"famous_faces_baseline"	152.838	151.483
153.791	"famous_faces_correct_combination"	1	"left"	1.051	2.507	"famous_faces"	156.276	154.842
157.385	"famous_faces_baseline"	1	"right"	1.133	2.507	"famous_faces_baseline"	159.865	158.518
160.712	"recently_learned_faces_correct_combination"	1	"left"	1.129	2.507	"recently_learned_faces"	163.202	161.841
164.406	"recently_learned_faces_baseline"	1	"left"	1.006	2.508	"recently_learned_faces_baseline"	166.891	165.412
167.699	"recently_learned_faces_correct_combination"	1	"left"	0.738	2.508	"recently_learned_faces"	170.178	168.437
171.377	"recently_learned_faces_correct_combination"	1	"left"	1.184	2.507	"recently_learned_faces"	173.867	172.561
174.821	"recently_learned_faces_correct_combination"	1	"left"	1.168	2.507	"recently_learned_faces"	177.305	175.989
178.264	"famous_faces_false_combination"	0	"left"	0.827	2.508	"famous_faces"	180.743	179.091
181.691	"recently_learned_faces_baseline"	1	"left"	0.875	2.508	"recently_learned_faces_baseline"	184.181	182.566
185.135	"famous_faces_false_combination"	1	"right"	1.135	2.507	"famous_faces"	187.619	186.27
188.779	"famous_faces_false_combination"	1	"right"	1.16	2.507	"famous_faces"	191.258	189.939
192.156	"famous_faces_baseline"	1	"right"	1.246	2.507	"famous_faces_baseline"	194.645	193.402
197.806	"recently_learned_faces_false_combination"	1	"right"	1.166	2.507	"recently_learned_faces"	200.286	198.972
201.383	"famous_faces_false_combination"	1	"right"	1.074	2.508	"famous_faces"	203.875	202.457
204.927	"recently_learned_faces_correct_combination"	1	"left"	1.034	2.508	"recently_learned_faces"	207.413	205.961
208.321	"famous_faces_false_combination"	1	"right"	1.19	2.507	"famous_faces"	210.801	209.511
211.698	"famous_faces_baseline"	1	"left"	1.217	2.507	"famous_faces_baseline"	214.189	212.915
215.242	"recently_learned_faces_false_combination"	1	"right"	1.607	2.507	"recently_learned_faces"	217.727	216.849
218.836	"recently_learned_faces_false_combination"	1	"right"	1.182	2.507	"recently_learned_faces"	221.316	220.018
222.162	"famous_faces_correct_combination"	1	"left"	1.043	2.508	"famous_faces"	224.653	223.205
225.857	"recently_learned_faces_baseline"	1	"right"	1.186	2.507	"recently_learned_faces_baseline"	228.342	227.043
229.25	"famous_faces_baseline"	1	"right"	0.842	2.508	"famous_faces_baseline"	231.73	230.092
232.627	"recently_learned_faces_baseline"	1	"left"	1.015	2.507	"recently_learned_faces_baseline"	235.118	233.642
236.171	"recently_learned_faces_baseline"	1	"right"	0.836	2.507	"recently_learned_faces_baseline"	238.656	237.007
239.815	"recently_learned_faces_false_combination"	1	"right"	0.76	2.508	"recently_learned_faces"	242.295	240.575
245.449	"recently_learned_faces_baseline"	1	"right"	1.174	2.507	"recently_learned_faces_baseline"	247.937	246.623
248.742	"famous_faces_correct_combination"	1	"left"	0.875	2.507	"famous_faces"	251.224	249.617
252.269	"famous_faces_correct_combination"	1	"left"	0.832	2.524	"famous_faces"	254.762	253.101
255.863	"famous_faces_baseline"	1	"right"	1.029	2.508	"famous_faces_baseline"	258.351	256.892
259.307	"recently_learned_faces_correct_combination"	1	"left"	0.922	2.507	"recently_learned_faces"	261.789	260.229
262.734	"recently_learned_faces_correct_combination"	1	"left"	1.029	2.524	"recently_learned_faces"	265.227	263.763
266.328	"famous_faces_correct_combination"	1	"left"	0.714	2.507	"famous_faces"	268.816	267.042
269.771	"famous_faces_false_combination"	1	"right"	1.627	2.508	"famous_faces"	272.254	271.398
273.349	"famous_faces_correct_combination"	1	"left"	0.635	2.524	"famous_faces"	275.843	273.984
276.642	"famous_faces_baseline"	1	"left"	1.122	2.508	"famous_faces_baseline"	279.13	277.764
280.336	"recently_learned_faces_correct_combination"	1	"left"	1.678	2.508	"recently_learned_faces"	282.819	282.014
283.713	"famous_faces_false_combination"	1	"right"	0.949	2.524	"famous_faces"	286.207	284.662
287.107	"recently_learned_faces_correct_combination"	1	"left"	0.904	2.507	"recently_learned_faces"	289.595	288.011
292.757	"recently_learned_faces_correct_combination"	1	"left"	0.757	2.508	"recently_learned_faces"	295.235	293.514
296.284	"famous_faces_false_combination"	1	"right"	1.004	2.508	"famous_faces"	298.773	297.288
299.878	"famous_faces_false_combination"	1	"right"	1.032	2.508	"famous_faces"	302.362	300.91
303.322	"recently_learned_faces_baseline"	1	"right"	1.344	2.507	"recently_learned_faces_baseline"	305.8	304.666
306.899	"famous_faces_correct_combination"	1	"left"	0.877	2.508	"famous_faces"	309.389	307.776
310.293	"recently_learned_faces_baseline"	1	"left"	0.763	2.507	"recently_learned_faces_baseline"	312.777	311.056
313.837	"famous_faces_correct_combination"	1	"left"	0.62	2.507	"famous_faces"	316.316	314.457
317.214	"recently_learned_faces_correct_combination"	1	"left"	0.723	2.507	"recently_learned_faces"	319.703	317.937
320.858	"recently_learned_faces_false_combination"	1	"right"	0.955	2.507	"recently_learned_faces"	323.342	321.813
324.151	"recently_learned_faces_false_combination"	0	"left"	1.296	2.508	"recently_learned_faces"	326.629	325.447
327.678	"recently_learned_faces_correct_combination"	1	"left"	0.648	2.508	"recently_learned_faces"	330.167	328.326
331.272	"recently_learned_faces_baseline"	1	"right"	1.319	2.508	"recently_learned_faces_baseline"	333.756	332.591
334.599	"famous_faces_correct_combination"	1	"left"	1.674	2.524	"famous_faces"	337.093	336.273
340.299	"recently_learned_faces_baseline"	1	"left"	0.807	2.508	"recently_learned_faces_baseline"	342.784	341.106
343.743	"recently_learned_faces_baseline"	1	"right"	1.12	2.508	"recently_learned_faces_baseline"	346.222	344.863
347.32	"famous_faces_false_combination"	1	"right"	1.676	2.508	"famous_faces"	349.811	348.996
350.864	"recently_learned_faces_correct_combination"	1	"left"	0.919	2.508	"recently_learned_faces"	353.35	351.783
354.408	"famous_faces_false_combination"	1	"right"	1.175	2.508	"famous_faces"	356.888	355.583
357.785	"recently_learned_faces_baseline"	1	"right"	1.365	2.508	"recently_learned_faces_baseline"	360.276	359.15
