"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.305	"Contingent"	NA	NA	0.301	10.59	NA
11.391	"Contingent"	"left"	0.682	2.809	14.181	12.073
14.735	"Contingent"	"left"	1.34	2.808	17.52	16.075
18.329	"Contingent"	"left"	0.848	2.808	21.111	19.177
21.923	"Contingent"	"right"	1.02	2.791	24.702	22.943
25.199	"NonContingent"	"right"	1.101	2.809	27.991	26.3
28.894	"Contingent"	"right"	1.022	2.808	31.682	29.916
32.337	"Contingent"	"right"	1.432	2.809	35.122	33.769
35.731	"Contingent"	"right"	0.933	2.791	38.511	36.664
39.258	"NonContingent"	"left"	1.108	2.808	42.052	40.366
42.651	"Contingent"	"right"	0.849	2.809	45.442	43.5
46.195	"NonContingent"	"left"	1.327	2.809	48.982	47.522
49.739	"NonContingent"	"right"	1.631	2.809	52.523	51.37
55.356	"NonContingent"	"right"	1.048	2.808	58.14	56.404
58.9	"Contingent"	"left"	1.903	2.792	61.681	60.803
62.427	"NonContingent"	"right"	1.574	2.809	65.221	64.001
65.77	"NonContingent"	"right"	1.225	2.809	68.56	66.995
69.214	"Contingent"	"right"	1.388	2.808	72	70.602
72.808	"Contingent"	"right"	0.986	2.808	75.591	73.794
76.352	"Contingent"	"left"	1.165	2.792	79.132	77.517
79.679	"NonContingent"	"left"	1.636	2.808	82.471	81.315
83.223	"Contingent"	"left"	1.532	2.808	86.011	84.755
86.867	"NonContingent"	"right"	1.406	2.808	89.652	88.273
90.16	"Contingent"	"right"	1.998	2.792	92.941	92.158
93.838	"Contingent"	"right"	0.926	2.808	96.632	94.764
97.181	"Contingent"	"right"	1.74	2.808	99.971	98.921
102.747	"Contingent"	"left"	1.245	2.809	105.538	103.992
106.291	"Contingent"	"left"	0.868	2.809	109.078	107.159
109.835	"NonContingent"	"right"	1.301	2.809	112.619	111.136
113.379	"NonContingent"	"right"	2.265	2.792	116.16	115.644
116.906	"NonContingent"	"left"	1.419	2.809	119.7	118.325
120.2	"NonContingent"	"right"	1.712	2.808	122.989	121.912
123.844	"Contingent"	"right"	0.931	2.808	126.63	124.775
127.237	"Contingent"	"right"	1.702	2.792	130.019	128.939
130.764	"Contingent"	"left"	0.876	2.809	133.56	131.64
134.359	"NonContingent"	"right"	1.347	2.808	137.151	135.706
137.702	"Contingent"	"left"	1.595	2.808	140.49	139.297
141.346	"Contingent"	"left"	0.978	2.809	144.131	142.324
144.79	"NonContingent"	"right"	1.123	2.808	147.571	145.913
150.306	"Contingent"	"left"	0.903	2.792	153.087	151.209
153.934	"NonContingent"	"right"	1.001	2.808	156.728	154.935
157.327	"Contingent"	"right"	1.28	2.809	160.118	158.607
160.721	"NonContingent"	"right"	1.271	2.808	163.508	161.992
164.365	"NonContingent"	"right"	1.565	2.808	167.149	165.93
167.808	"NonContingent"	"right"	1.099	2.792	170.589	168.907
171.336	"NonContingent"	"left"	1.704	2.808	174.13	173.04
174.88	"NonContingent"	"right"	1.466	2.808	177.67	176.346
178.223	"Contingent"	"right"	0.822	2.808	181.009	179.045
181.666	"NonContingent"	"right"	1.405	2.809	184.449	183.071
185.311	"Contingent"	"left"	0.825	2.791	188.09	186.136
188.838	"Contingent"	"right"	1.311	2.808	191.63	190.149
192.181	"NonContingent"	"right"	1.13	2.809	194.969	193.311
197.948	"Contingent"	"right"	1.656	2.809	200.737	199.604
201.342	"NonContingent"	"right"	1.096	2.808	204.127	202.438
204.786	"NonContingent"	"right"	1.315	2.791	207.567	206.101
208.363	"NonContingent"	"left"	1.728	2.808	211.158	210.091
211.706	"NonContingent"	"left"	1.621	2.809	214.497	213.327
215.35	"NonContingent"	"left"	1.846	2.809	218.138	217.196
218.694	"NonContingent"	"right"	1.31	2.808	221.477	220.004
222.388	"NonContingent"	"right"	1.944	2.792	225.168	224.332
225.765	"NonContingent"	"left"	1.131	2.808	228.558	226.896
229.208	"Contingent"	"left"	1.169	2.809	231.998	230.377
232.752	"Contingent"	"left"	0.79	2.809	235.539	233.542
236.146	"Contingent"	"right"	0.654	2.808	238.929	236.8
239.79	"Contingent"	"left"	1.041	2.808	242.57	240.831
245.24	"NonContingent"	"right"	1.299	2.808	248.035	246.539
248.834	"NonContingent"	"right"	1.195	2.808	251.626	250.029
252.378	"Contingent"	"left"	0.984	2.808	255.167	253.362
255.922	"NonContingent"	"right"	0.974	2.808	258.707	256.896
259.265	"NonContingent"	"right"	1.127	2.792	262.046	260.392
262.842	"Contingent"	"right"	0.93	2.809	265.637	263.772
266.286	"Contingent"	"left"	0.792	2.808	269.077	267.078
269.88	"NonContingent"	"right"	1.141	2.808	272.668	271.021
273.173	"Contingent"	"left"	0.738	2.808	275.957	273.911
276.717	"NonContingent"	"right"	1.179	2.792	279.497	277.896
280.344	"NonContingent"	"right"	1.041	2.809	283.138	281.385
283.638	"NonContingent"	"right"	1.268	2.808	286.427	284.906
287.282	"Contingent"	"right"	0.854	2.808	290.068	288.136
292.748	"NonContingent"	"right"	1.225	2.809	295.534	293.973
296.342	"NonContingent"	"right"	1.198	2.809	299.125	297.54
299.886	"NonContingent"	"right"	1.417	2.792	302.666	301.303
303.263	"Contingent"	"right"	1.823	2.808	306.055	305.086
306.907	"NonContingent"	"right"	1.101	2.809	309.696	308.008
310.301	"NonContingent"	"right"	1.334	2.808	313.086	311.635
313.895	"Contingent"	"right"	0.944	2.808	316.677	314.839
317.171	"NonContingent"	"right"	1.022	2.809	319.966	318.193
320.715	"Contingent"	"right"	1.351	2.808	323.506	322.066
324.309	"Contingent"	"right"	0.839	2.808	327.097	325.148
327.853	"Contingent"	"left"	0.826	2.808	330.637	328.679
331.246	"Contingent"	"right"	0.808	2.792	334.027	332.054
334.774	"NonContingent"	"right"	1.286	2.808	337.568	336.06
340.24	"NonContingent"	"left"	1.418	2.808	343.033	341.658
343.934	"Contingent"	"left"	0.839	2.809	346.724	344.773
347.278	"NonContingent"	"right"	1.212	2.808	350.063	348.49
350.872	"Contingent"	"right"	0.794	2.808	353.654	351.666
354.299	"Contingent"	"left"	0.827	2.808	357.094	355.126
357.692	"Contingent"	"left"	0.761	2.808	360.484	358.453
361.236	"Contingent"	"left"	0.759	2.808	364.024	361.995
364.88	"Contingent"	"left"	0.837	2.809	367.665	365.717
368.274	"Contingent"	"right"	0.747	2.791	371.055	369.021
371.801	"Contingent"	"right"	0.786	2.808	374.596	372.587
375.144	"NonContingent"	"right"	1.056	2.809	377.935	376.2
378.688	"NonContingent"	"right"	1.192	2.808	381.475	379.88
382.282	"Contingent"	"right"	0.938	2.809	385.066	383.22
387.949	"NonContingent"	"left"	1.051	2.808	390.733	389
391.242	"Contingent"	"left"	0.874	2.792	394.022	392.116
394.82	"NonContingent"	"right"	1.097	2.808	397.613	395.917
398.363	"Contingent"	"left"	0.782	2.809	401.154	399.145
401.757	"NonContingent"	"right"	1.001	2.808	404.543	402.758
405.401	"NonContingent"	"left"	1.433	2.809	408.184	406.834
408.678	"Contingent"	"left"	0.893	2.808	411.473	409.571
412.222	"NonContingent"	"left"	1.536	2.808	415.013	413.758
415.765	"Contingent"	"left"	0.891	2.809	418.554	416.656
419.309	"Contingent"	"right"	1.035	2.809	422.095	420.344
422.653	"NonContingent"	"right"	1.097	2.808	425.434	423.75
426.33	"NonContingent"	"right"	1.117	2.809	429.125	427.447
429.674	"NonContingent"	"right"	1.346	2.808	432.464	431.02
435.24	"Contingent"	"right"	0.862	2.809	438.031	436.102
438.834	"NonContingent"	"left"	1.217	2.809	441.622	440.051
442.378	"NonContingent"	"right"	1.589	2.809	445.163	443.967
445.772	"Contingent"	"right"	0.739	2.791	448.552	446.511
449.399	"NonContingent"	"left"	1.73	2.809	452.193	451.129
452.843	"Contingent"	"left"	0.791	2.808	455.633	453.634
456.186	"NonContingent"	"left"	1.347	2.809	458.972	457.533
459.78	"Contingent"	"left"	0.803	2.809	462.563	460.583
463.374	"NonContingent"	"left"	0.863	2.792	466.154	464.237
466.701	"NonContingent"	"right"	0.959	2.808	469.493	467.66
