onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.299	0.367	Contingent	NA	NA	10.641	NA
11.251	2.809	Contingent	left	1.967	14.031	13.218
14.929	2.808	Contingent	right	1.638	17.722	16.567
18.373	2.808	Contingent	left	0.762	21.162	19.135
21.766	2.808	Contingent	left	2.246	24.551	24.012
25.21	2.808	NonContingent	left	1.615	27.991	26.825
28.837	2.808	Contingent	left	1.154	31.632	29.991
32.381	2.808	Contingent	left	1.759	35.172	34.14
35.774	2.809	Contingent	left	0.842	38.562	36.616
39.218	2.808	NonContingent	left	1.067	42.002	40.285
42.662	2.808	Contingent	left	1.187	45.442	43.849
46.189	2.808	NonContingent	left	1.466	48.982	47.655
49.833	2.808	NonContingent	left	1.365	52.623	51.198
55.45	2.808	NonContingent	left	1.315	58.239	56.765
58.793	2.808	Contingent	left	1.118	61.578	59.911
62.337	2.808	NonContingent	left	1.559	65.119	63.896
65.714	2.808	NonContingent	right	1.529	68.509	67.243
69.358	2.808	Contingent	right	1.895	72.15	71.253
72.701	2.808	Contingent	left	1.53	75.489	74.231
76.295	2.808	Contingent	left	1.319	79.08	77.614
79.739	2.808	NonContingent	left	1.984	82.52	81.723
83.316	2.808	Contingent	left	1.903	86.111	85.219
86.86	2.808	NonContingent	right	1.57	89.651	88.43
90.153	2.808	Contingent	left	1.481	92.94	91.634
93.797	2.809	Contingent	left	1.681	96.581	95.478
97.241	2.791	Contingent	left	2.424	100.021	99.665
102.908	2.791	Contingent	left	2.067	105.688	104.975
106.335	2.808	Contingent	left	1.291	109.128	107.626
109.929	2.808	NonContingent	left	2.188	112.719	112.117
113.222	2.808	NonContingent	left	1.227	116.008	114.449
116.766	2.808	NonContingent	right	2.621	119.548	119.387
120.36	2.791	NonContingent	left	2.283	123.139	122.643
123.686	2.809	Contingent	left	1.367	126.478	125.053
127.28	2.809	Contingent	left	1.89	130.069	129.17
130.724	2.808	Contingent	left	2.405	133.509	133.129
134.368	2.808	NonContingent	left	2.262	137.15	136.63
137.695	2.808	Contingent	right	1.863	140.489	139.558
141.289	2.808	Contingent	right	2.097	144.08	143.386
144.833	2.808	NonContingent	right	1.548	147.62	146.381
150.399	2.808	Contingent	left	1.097	153.186	151.496
153.943	2.808	NonContingent	left	1.74	156.726	155.683
157.336	2.792	Contingent	left	2.243	160.116	159.579
160.713	2.809	NonContingent	left	2.259	163.506	162.972
164.257	2.808	NonContingent	left	1.747	167.046	166.004
167.801	2.808	NonContingent	right	1.044	170.587	168.845
171.395	2.808	NonContingent	right	1.654	174.178	173.049
174.722	2.808	NonContingent	left	1.671	177.517	176.393
178.316	2.808	Contingent	left	1.614	181.108	179.93
181.659	2.808	NonContingent	right	1.889	184.447	183.548
185.253	2.808	Contingent	left	0.972	188.038	186.225
188.847	2.808	Contingent	right	2.161	191.629	191.008
192.274	2.808	NonContingent	left	1.1	195.069	193.374
