"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
5.30500000000001	"Contingent"	NA	NA	0.301	5.59	NA
6.39100000000001	"Contingent"	"left"	0.682	2.809	9.181	7.07300000000001
9.735	"Contingent"	"left"	1.34	2.808	12.52	11.075
13.329	"Contingent"	"left"	0.848	2.808	16.111	14.177
16.923	"Contingent"	"right"	1.02	2.791	19.702	17.943
20.199	"NonContingent"	"right"	1.101	2.809	22.991	21.3
23.894	"Contingent"	"right"	1.022	2.808	26.682	24.916
27.337	"Contingent"	"right"	1.432	2.809	30.122	28.769
30.731	"Contingent"	"right"	0.933	2.791	33.511	31.664
34.258	"NonContingent"	"left"	1.108	2.808	37.052	35.366
37.651	"Contingent"	"right"	0.849	2.809	40.442	38.5
41.195	"NonContingent"	"left"	1.327	2.809	43.982	42.522
44.739	"NonContingent"	"right"	1.631	2.809	47.523	46.37
50.356	"NonContingent"	"right"	1.048	2.808	53.14	51.404
53.9	"Contingent"	"left"	1.903	2.792	56.681	55.803
57.427	"NonContingent"	"right"	1.574	2.809	60.221	59.001
60.77	"NonContingent"	"right"	1.225	2.809	63.56	61.995
64.214	"Contingent"	"right"	1.388	2.808	67	65.602
67.808	"Contingent"	"right"	0.986	2.808	70.591	68.794
71.352	"Contingent"	"left"	1.165	2.792	74.132	72.517
74.679	"NonContingent"	"left"	1.636	2.808	77.471	76.315
78.223	"Contingent"	"left"	1.532	2.808	81.011	79.755
81.867	"NonContingent"	"right"	1.406	2.808	84.652	83.273
85.16	"Contingent"	"right"	1.998	2.792	87.941	87.158
88.838	"Contingent"	"right"	0.926	2.808	91.632	89.764
92.181	"Contingent"	"right"	1.74	2.808	94.971	93.921
97.747	"Contingent"	"left"	1.245	2.809	100.538	98.992
101.291	"Contingent"	"left"	0.868	2.809	104.078	102.159
104.835	"NonContingent"	"right"	1.301	2.809	107.619	106.136
108.379	"NonContingent"	"right"	2.265	2.792	111.16	110.644
111.906	"NonContingent"	"left"	1.419	2.809	114.7	113.325
115.2	"NonContingent"	"right"	1.712	2.808	117.989	116.912
118.844	"Contingent"	"right"	0.931	2.808	121.63	119.775
122.237	"Contingent"	"right"	1.702	2.792	125.019	123.939
125.764	"Contingent"	"left"	0.876	2.809	128.56	126.64
129.359	"NonContingent"	"right"	1.347	2.808	132.151	130.706
132.702	"Contingent"	"left"	1.595	2.808	135.49	134.297
136.346	"Contingent"	"left"	0.978	2.809	139.131	137.324
139.79	"NonContingent"	"right"	1.123	2.808	142.571	140.913
145.306	"Contingent"	"left"	0.903	2.792	148.087	146.209
148.934	"NonContingent"	"right"	1.001	2.808	151.728	149.935
152.327	"Contingent"	"right"	1.28	2.809	155.118	153.607
155.721	"NonContingent"	"right"	1.271	2.808	158.508	156.992
159.365	"NonContingent"	"right"	1.565	2.808	162.149	160.93
162.808	"NonContingent"	"right"	1.099	2.792	165.589	163.907
166.336	"NonContingent"	"left"	1.704	2.808	169.13	168.04
169.88	"NonContingent"	"right"	1.466	2.808	172.67	171.346
173.223	"Contingent"	"right"	0.822	2.808	176.009	174.045
176.666	"NonContingent"	"right"	1.405	2.809	179.449	178.071
180.311	"Contingent"	"left"	0.825	2.791	183.09	181.136
183.838	"Contingent"	"right"	1.311	2.808	186.63	185.149
187.181	"NonContingent"	"right"	1.13	2.809	189.969	188.311
192.948	"Contingent"	"right"	1.656	2.809	195.737	194.604
196.342	"NonContingent"	"right"	1.096	2.808	199.127	197.438
199.786	"NonContingent"	"right"	1.315	2.791	202.567	201.101
203.363	"NonContingent"	"left"	1.728	2.808	206.158	205.091
206.706	"NonContingent"	"left"	1.621	2.809	209.497	208.327
210.35	"NonContingent"	"left"	1.846	2.809	213.138	212.196
213.694	"NonContingent"	"right"	1.31	2.808	216.477	215.004
217.388	"NonContingent"	"right"	1.944	2.792	220.168	219.332
220.765	"NonContingent"	"left"	1.131	2.808	223.558	221.896
224.208	"Contingent"	"left"	1.169	2.809	226.998	225.377
227.752	"Contingent"	"left"	0.79	2.809	230.539	228.542
231.146	"Contingent"	"right"	0.654	2.808	233.929	231.8
234.79	"Contingent"	"left"	1.041	2.808	237.57	235.831
240.24	"NonContingent"	"right"	1.299	2.808	243.035	241.539
243.834	"NonContingent"	"right"	1.195	2.808	246.626	245.029
247.378	"Contingent"	"left"	0.984	2.808	250.167	248.362
250.922	"NonContingent"	"right"	0.974	2.808	253.707	251.896
254.265	"NonContingent"	"right"	1.127	2.792	257.046	255.392
257.842	"Contingent"	"right"	0.93	2.809	260.637	258.772
261.286	"Contingent"	"left"	0.792	2.808	264.077	262.078
264.88	"NonContingent"	"right"	1.141	2.808	267.668	266.021
268.173	"Contingent"	"left"	0.738	2.808	270.957	268.911
271.717	"NonContingent"	"right"	1.179	2.792	274.497	272.896
