onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.95	1.789	Visual_Different	1	left	0.886	12.739	11.836
13.324	1.789	Visual_Same	1	right	0.983	15.113	14.307
15.765	1.788	Visual_Different	1	left	0.809	17.553	16.574
18.59	1.554	Visual_Lure	1	left	0.788	20.144	19.378
20.696	1.789	Visual_Lure	1	left	0.991	22.485	21.687
23.287	1.789	Visual_Same	1	right	0.824	25.076	24.111
30.943	1.789	Auditory_Lure	1	left	0.887	32.732	31.83
33.233	1.789	Auditory_Different	1	left	1.219	35.022	34.452
35.825	1.788	Auditory_Lure	1	left	1.246	37.613	37.071
38.365	1.772	Auditory_Same	1	right	1.115	40.137	39.48
40.739	1.789	Auditory_Same	1	right	1.248	42.528	41.987
43.18	1.788	Auditory_Different	1	left	1.116	44.968	44.296
50.736	1.788	Visual_Lure	1	left	0.826	52.524	51.562
53.377	1.789	Visual_Lure	1	left	1.262	55.166	54.639
55.918	1.789	Visual_Same	1	right	1.537	57.707	57.455
58.258	1.789	Visual_Lure	1	left	0.822	60.047	59.08
60.899	1.772	Visual_Different	1	left	0.869	62.671	61.768
68.439	1.788	Auditory_Lure	1	left	1.644	70.227	70.083
70.829	1.789	Auditory_Same	1	right	1.208	72.618	72.037
73.27	1.788	Auditory_Lure	1	left	1.103	75.058	74.373
75.861	1.789	Auditory_Different	1	left	1.022	77.65	76.883
78.385	1.789	Auditory_Different	1	left	1.081	80.174	79.466
80.725	1.789	Auditory_Same	1	right	1.076	82.514	81.801
83.266	1.789	Auditory_Same	1	right	1.492	85.055	84.758
90.839	1.789	Visual_Different	1	left	0.851	92.628	91.69
93.28	1.788	Visual_Different	1	left	1.092	95.068	94.372
95.871	1.788	Visual_Same	0	NA	NA	97.659	NA
98.211	1.789	Visual_Lure	1	left	0.695	100	98.906
100.835	1.789	Visual_Different	1	left	0.611	102.624	101.446
108.241	1.789	Auditory_Different	1	left	0.997	110.03	109.238
110.882	1.789	Auditory_Same	1	right	1.289	112.671	112.171
113.423	1.789	Auditory_Different	1	left	1.104	115.212	114.527
115.697	1.788	Auditory_Lure	1	left	1.088	117.485	116.785
118.288	1.788	Auditory_Lure	1	left	1.156	120.076	119.444
120.829	1.788	Auditory_Same	1	right	1.044	122.617	121.873
128.301	1.772	Visual_Lure	1	left	0.69	130.073	128.991
130.725	1.788	Visual_Different	1	left	0.654	132.513	131.379
133.416	1.789	Visual_Lure	1	left	0.812	135.205	134.228
135.807	1.788	Visual_Same	1	right	1.617	137.595	137.424
138.247	1.789	Visual_Same	0	NA	NA	140.036	NA
140.671	1.789	Visual_Different	1	left	0.596	142.46	141.267
148.294	1.789	Auditory_Different	1	left	1.099	150.083	149.393
150.835	1.789	Auditory_Same	1	right	1.18	152.624	152.015
153.409	1.789	Auditory_Lure	1	left	0.911	155.198	154.32
155.75	1.788	Auditory_Same	1	right	1.235	157.538	156.985
158.341	1.788	Auditory_Same	0	left	1.455	160.129	159.796
160.681	1.789	Auditory_Lure	1	left	1.15	162.47	161.831
163.222	1.789	Auditory_Lure	1	left	0.993	165.011	164.215
170.845	1.788	Visual_Same	0	NA	NA	172.633	NA
173.386	1.788	Visual_Same	1	right	1.579	175.174	174.965
175.91	1.789	Visual_Lure	1	left	0.681	177.699	176.591
178.25	1.789	Visual_Different	1	left	0.718	180.039	178.968
180.791	1.789	Visual_Same	0	left	1.616	182.58	182.407
188.447	1.789	Auditory_Same	1	right	1.262	190.236	189.709
190.821	1.789	Auditory_Same	0	NA	NA	192.61	NA
193.362	1.789	Auditory_Different	1	left	0.829	195.151	194.191
195.702	1.789	Auditory_Same	1	right	1.086	197.491	196.788
198.394	1.788	Auditory_Lure	1	left	0.886	200.182	199.28
205.95	1.772	Visual_Lure	1	left	0.825	207.722	206.775
208.373	1.789	Visual_Lure	1	left	0.624	210.162	208.997
210.714	1.788	Visual_Different	1	left	0.619	212.502	211.333
213.305	1.789	Visual_Same	0	left	1.322	215.094	214.627
215.896	1.789	Visual_Lure	1	left	0.988	217.685	216.884
223.285	1.788	Auditory_Lure	1	left	0.899	225.073	224.184
225.725	1.789	Auditory_Lure	1	left	0.683	227.514	226.408
228.367	1.788	Auditory_Same	1	right	0.801	230.155	229.168
230.807	1.789	Auditory_Lure	1	left	0.726	232.596	231.533
233.398	1.789	Auditory_Different	1	left	1.03	235.187	234.428
240.887	1.789	Visual_Same	0	left	1.585	242.676	242.472
243.228	1.788	Visual_Same	1	right	0.89	245.016	244.118
245.769	1.788	Visual_Different	1	left	0.511	247.557	246.28
248.41	1.772	Visual_Same	0	left	1.605	250.182	250.015
250.733	1.789	Visual_Lure	1	left	1.046	252.522	251.779
258.339	1.789	Auditory_Same	1	right	0.957	260.128	259.296
260.88	1.789	Auditory_Different	1	left	0.708	262.669	261.588
263.221	1.788	Auditory_Same	1	right	0.941	265.009	264.162
265.745	1.789	Auditory_Lure	1	left	1.067	267.534	266.812
268.386	1.789	Auditory_Lure	1	left	0.966	270.175	269.352
270.777	1.788	Auditory_Different	1	left	0.838	272.565	271.615
273.217	1.789	Auditory_Different	1	left	0.796	275.006	274.013
280.84	1.789	Visual_Different	1	left	0.568	282.629	281.408
283.231	1.788	Visual_Same	0	NA	NA	285.019	NA
285.872	1.788	Visual_Lure	1	left	0.801	287.66	286.673
288.245	1.789	Visual_Same	1	right	1.034	290.034	289.279
290.837	1.788	Visual_Same	0	left	1.474	292.625	292.311
293.277	1.789	Visual_Lure	1	left	0.973	295.066	294.25
295.868	1.789	Visual_Lure	1	left	1.15	297.657	297.018
303.24	1.789	Auditory_Same	1	right	1.102	305.029	304.342
305.882	1.788	Auditory_Lure	1	left	0.618	307.67	306.5
