"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.419	"recently_learned_faces_baseline"	0	NA	NA	0.017	"recently_learned_faces_baseline"	10.419	NA
11.288	"recently_learned_faces_baseline"	0	"left"	1.98	2.508	"recently_learned_faces_baseline"	13.777	13.268
14.832	"famous_faces_baseline"	0	"right"	0.925	2.508	"famous_faces_baseline"	17.316	15.757
18.426	"famous_faces_baseline"	1	"right"	1.553	2.508	"famous_faces_baseline"	20.905	19.979
21.853	"famous_faces_false_combination"	1	"right"	1.419	2.508	"famous_faces"	24.343	23.272
25.197	"famous_faces_correct_combination"	1	"left"	1.246	2.507	"famous_faces"	27.68	26.443
28.724	"recently_learned_faces_false_combination"	1	"right"	1.268	2.524	"recently_learned_faces"	31.218	29.992
32.318	"recently_learned_faces_false_combination"	1	"right"	1.653	2.507	"recently_learned_faces"	34.807	33.971
35.862	"famous_faces_false_combination"	1	"right"	1.748	2.507	"famous_faces"	38.345	37.61
39.239	"famous_faces_baseline"	0	"right"	0.92	2.524	"famous_faces_baseline"	41.733	40.159
42.632	"recently_learned_faces_baseline"	1	"left"	0.768	2.508	"recently_learned_faces_baseline"	45.121	43.4
46.276	"famous_faces_false_combination"	1	"right"	1.441	2.508	"famous_faces"	48.76	47.717
49.703	"famous_faces_baseline"	1	"right"	1.877	2.525	"famous_faces_baseline"	52.198	51.58
55.303	"famous_faces_baseline"	1	"right"	1.709	2.508	"famous_faces_baseline"	57.789	57.012
58.847	"recently_learned_faces_correct_combination"	1	"left"	1.394	2.508	"recently_learned_faces"	61.328	60.241
62.425	"recently_learned_faces_false_combination"	1	"right"	1.082	2.507	"recently_learned_faces"	64.917	63.507
65.718	"famous_faces_correct_combination"	1	"left"	1.461	2.507	"famous_faces"	68.204	67.179
69.362	"famous_faces_false_combination"	1	"right"	0.855	2.508	"famous_faces"	71.843	70.217
72.789	"recently_learned_faces_false_combination"	1	"right"	1.585	2.508	"recently_learned_faces"	75.281	74.374
76.233	"famous_faces_false_combination"	1	"right"	1.09	2.507	"famous_faces"	78.719	77.323
79.877	"recently_learned_faces_false_combination"	1	"right"	1.295	2.508	"recently_learned_faces"	82.358	81.172
83.154	"recently_learned_faces_false_combination"	0	"left"	1.575	2.524	"recently_learned_faces"	85.645	84.729
86.798	"famous_faces_baseline"	1	"right"	0.928	2.507	"famous_faces_baseline"	89.284	87.726
90.191	"famous_faces_baseline"	1	"right"	1.2	2.508	"famous_faces_baseline"	92.671	91.391
93.819	"famous_faces_false_combination"	1	"right"	1.296	2.507	"famous_faces"	96.31	95.115
97.262	"recently_learned_faces_false_combination"	1	"right"	1.122	2.508	"recently_learned_faces"	99.748	98.384
102.946	"recently_learned_faces_correct_combination"	1	"left"	1.636	2.524	"recently_learned_faces"	105.439	104.582
