onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.786	1.788	Visual_Lure	0	NA	NA	12.574	NA
13.226	1.789	Visual_Different	0	right	1.665	15.015	14.891
15.867	1.789	Visual_Same	0	NA	NA	17.656	NA
18.308	1.789	Visual_Different	0	NA	NA	20.097	NA
20.899	1.789	Visual_Different	0	NA	NA	22.688	NA
23.173	1.788	Visual_Same	0	left	0.819	24.961	23.992
25.814	1.789	Visual_Same	0	left	0.56	27.603	26.374
33.286	1.789	Auditory_Lure	0	right	1.368	35.075	34.654
35.928	1.788	Auditory_Different	0	NA	NA	37.716	NA
38.218	1.789	Auditory_Lure	1	left	1.365	40.007	39.583
40.809	1.789	Auditory_Same	1	right	1.626	42.598	42.435
43.35	1.789	Auditory_Same	0	NA	NA	45.139	NA
45.673	1.789	Auditory_Different	0	NA	NA	47.462	NA
53.346	1.789	Visual_Lure	0	NA	NA	55.135	NA
55.938	1.788	Visual_Different	0	right	1.372	57.726	57.31
58.261	1.789	Visual_Lure	0	NA	NA	60.05	NA
60.802	1.789	Visual_Same	1	right	1.182	62.591	61.984
63.243	1.788	Visual_Same	1	right	0.922	65.031	64.165
65.683	1.789	Visual_Different	0	NA	NA	67.472	NA
73.34	1.788	Auditory_Different	0	NA	NA	75.128	NA
75.931	1.789	Auditory_Same	1	right	1.267	77.72	77.198
78.271	1.789	Auditory_Different	0	NA	NA	80.06	NA
80.862	1.789	Auditory_Lure	1	left	0.034	82.651	80.896
83.186	1.789	Auditory_Lure	0	NA	NA	84.975	NA
85.877	1.789	Auditory_Same	1	right	1.24	87.666	87.117
93.4	1.789	Visual_Lure	0	right	1.623	95.189	95.023
95.924	1.789	Visual_Lure	1	left	1.301	97.713	97.225
98.315	1.788	Visual_Same	1	right	0.951	100.103	99.266
100.705	1.789	Visual_Different	0	NA	NA	102.494	NA
103.396	1.789	Visual_Different	0	NA	NA	105.185	NA
105.837	1.789	Visual_Lure	1	left	1.231	107.626	107.068
113.393	1.789	Auditory_Same	0	NA	NA	115.182	NA
115.834	1.788	Auditory_Lure	1	left	1.431	117.622	117.265
118.274	1.789	Auditory_Same	0	NA	NA	120.063	NA
120.698	1.789	Auditory_Different	0	NA	NA	122.487	NA
123.34	1.788	Auditory_Different	1	left	1.596	125.128	124.936
125.73	1.789	Auditory_Lure	1	left	1.474	127.519	127.204
133.286	1.789	Visual_Lure	1	left	1.128	135.075	134.414
135.927	1.789	Visual_Lure	0	NA	NA	137.716	NA
138.268	1.788	Visual_Same	1	right	1.742	140.056	140.01
140.708	1.789	Visual_Lure	1	left	1.129	142.497	141.837
143.35	1.771	Visual_Different	1	left	1.167	145.121	144.517
