onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
9.751	0.902	Contingent	NA	NA	10.641	NA
11.288	2.809	Contingent	NA	NA	14.081	NA
14.732	2.808	Contingent	NA	NA	17.521	NA
18.376	2.809	Contingent	NA	NA	21.162	NA
21.92	2.809	Contingent	NA	NA	24.702	NA
25.297	2.808	NonContingent	NA	NA	28.092	NA
28.69	2.809	Contingent	left	2.149	31.482	30.839
32.335	2.808	Contingent	NA	NA	35.123	NA
35.879	2.808	Contingent	left	0.934	38.663	36.813
39.222	2.792	NonContingent	NA	NA	42.002	NA
42.799	2.809	Contingent	left	1.382	45.593	44.181
46.143	2.808	NonContingent	NA	NA	48.932	NA
49.687	2.808	NonContingent	NA	NA	52.472	NA
55.454	2.808	NonContingent	NA	NA	58.24	NA
58.847	2.809	Contingent	left	2.134	61.63	60.981
62.291	2.792	NonContingent	right	2.112	65.07	64.403
65.718	2.808	NonContingent	right	1.237	68.51	66.955
69.362	2.809	Contingent	NA	NA	72.151	NA
72.756	2.808	Contingent	left	1.282	75.54	74.038
76.4	2.808	Contingent	right	2.059	79.181	78.459
79.777	2.808	NonContingent	right	2.238	82.571	82.015
83.17	2.808	Contingent	left	1.748	85.961	84.918
86.814	2.809	NonContingent	left	2.5	89.602	89.314
90.208	2.808	Contingent	right	1.668	92.991	91.876
93.852	2.792	Contingent	left	1.398	96.632	95.25
97.279	2.808	Contingent	right	2.276	100.072	99.555
102.896	2.808	Contingent	left	1.61	105.69	104.506
106.239	2.808	Contingent	left	2.786	109.029	109.025
109.783	2.808	NonContingent	left	2.536	112.569	112.319
113.327	2.808	NonContingent	right	1.999	116.11	115.326
116.921	2.792	NonContingent	right	2.092	119.701	119.013
120.348	2.808	NonContingent	left	2.261	123.141	122.609
123.792	2.808	Contingent	left	1.131	126.581	124.923
127.386	2.808	Contingent	NA	NA	130.172	NA
130.679	2.808	Contingent	left	1.323	133.461	132.002
134.206	2.808	NonContingent	left	2.228	137.001	136.434
137.65	2.808	Contingent	right	1.926	140.441	139.576
141.194	2.808	Contingent	left	1.674	143.981	142.868
144.738	2.808	NonContingent	right	1.549	147.522	146.287
150.304	2.809	Contingent	left	1.689	153.088	151.993
153.898	2.809	NonContingent	right	1.369	156.679	155.267
157.325	2.809	Contingent	right	2.102	160.119	159.427
160.919	2.809	NonContingent	right	1.767	163.71	162.686
164.212	2.809	NonContingent	left	1.998	166.999	166.21
167.807	2.808	NonContingent	right	1.194	170.59	169.001
171.2	2.792	NonContingent	right	1.459	173.98	172.659
174.828	2.808	NonContingent	NA	NA	177.621	NA
178.221	2.808	Contingent	left	2.631	181.01	180.852
181.865	2.809	NonContingent	right	1.859	184.651	183.724
185.259	2.808	Contingent	left	1.37	188.041	186.629
188.636	2.808	Contingent	NA	NA	191.431	NA
192.179	2.809	NonContingent	left	1.942	194.971	194.121
197.947	2.808	Contingent	NA	NA	200.738	NA
