"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
8.947	"Contingent"	NA	NA	1.671	10.59	NA
11.387	"Contingent"	"right"	0.815	2.809	14.181	12.202
14.931	"Contingent"	"left"	0.836	2.809	17.721	15.767
18.325	"Contingent"	"left"	0.953	2.808	21.111	19.278
21.718	"Contingent"	"right"	1.503	2.809	24.501	23.221
25.245	"NonContingent"	"left"	1.604	2.809	28.041	26.849
28.89	"Contingent"	"right"	0.879	2.808	31.682	29.769
32.333	"Contingent"	"right"	1.301	2.809	35.122	33.634
35.677	"Contingent"	"right"	0.83	2.808	38.461	36.507
39.271	"NonContingent"	"left"	1.667	2.808	42.052	40.938
42.798	"Contingent"	"right"	0.862	2.808	45.593	43.66
46.191	"NonContingent"	"right"	1.342	2.809	48.982	47.533
49.835	"NonContingent"	"right"	1.706	2.809	52.623	51.541
55.252	"NonContingent"	"right"	1.133	2.808	58.039	56.385
58.846	"Contingent"	"left"	0.856	2.808	61.63	59.702
62.44	"NonContingent"	"right"	1.629	2.791	65.221	64.069
65.766	"NonContingent"	"right"	2.223	2.809	68.56	67.989
69.36	"Contingent"	"left"	1.433	2.809	72.151	70.793
72.904	"Contingent"	"right"	2.339	2.809	75.691	75.243
76.197	"Contingent"	"left"	0.722	2.809	78.98	76.919
79.792	"NonContingent"	"left"	2.367	2.791	82.571	82.159
83.319	"Contingent"	"right"	1.334	2.808	86.112	84.653
86.712	"NonContingent"	"right"	1.32	2.809	89.501	88.032
90.306	"Contingent"	"right"	2.554	2.809	93.092	92.86
93.7	"Contingent"	"right"	1.35	2.791	96.481	95.05
97.327	"Contingent"	"left"	0.961	2.809	100.122	98.288
102.794	"Contingent"	"left"	1.084	2.808	105.588	103.878
106.438	"Contingent"	"left"	0.693	2.808	109.229	107.131
109.831	"NonContingent"	"left"	1.277	2.809	112.619	111.108
113.375	"NonContingent"	"right"	0.967	2.809	116.16	114.342
116.719	"NonContingent"	"right"	1.178	2.791	119.499	117.897
120.246	"NonContingent"	"left"	1.921	2.808	123.039	122.167
123.89	"Contingent"	"right"	1.203	2.808	126.68	125.093
127.283	"Contingent"	"left"	1.32	2.809	130.07	128.603
130.827	"Contingent"	"left"	0.658	2.809	133.611	131.485
134.171	"NonContingent"	"right"	1.098	2.791	136.95	135.269
137.798	"Contingent"	"left"	1.281	2.808	140.591	139.079
141.192	"Contingent"	"left"	0.797	2.808	143.98	141.989
144.735	"NonContingent"	"left"	2.516	2.809	147.521	147.251
150.352	"Contingent"	"left"	0.669	2.809	153.138	151.021
153.746	"NonContingent"	"right"	1.007	2.808	156.528	154.753
157.423	"Contingent"	"right"	1.341	2.809	160.219	158.764
160.867	"NonContingent"	"right"	1.487	2.808	163.659	162.354
164.26	"NonContingent"	"right"	1.349	2.809	167.048	165.609
167.804	"NonContingent"	"right"	1.335	2.809	170.589	169.139
171.348	"NonContingent"	"left"	2.596	2.809	174.13	173.944
174.675	"NonContingent"	"right"	1.092	2.808	177.469	175.767
178.219	"Contingent"	"right"	0.899	2.808	181.009	179.118
181.863	"NonContingent"	"right"	1.241	2.808	184.65	183.104
185.256	"Contingent"	"left"	0.692	2.809	188.04	185.948
188.851	"Contingent"	"right"	1.12	2.791	191.631	189.971
192.177	"NonContingent"	"left"	1.073	2.809	194.97	193.25
197.944	"Contingent"	"left"	0.872	2.809	200.737	198.816
201.238	"NonContingent"	"right"	1.19	2.808	204.026	202.428
204.781	"NonContingent"	"right"	1.22	2.809	207.566	206.001
208.376	"NonContingent"	"right"	1.337	2.808	211.157	209.713
211.802	"NonContingent"	"right"	1.268	2.809	214.597	213.07
215.396	"NonContingent"	"right"	1.72	2.809	218.188	217.116
218.69	"NonContingent"	"left"	1.636	2.808	221.477	220.326
222.334	"NonContingent"	"left"	1.519	2.808	225.118	223.853
225.727	"NonContingent"	"right"	1.14	2.792	228.507	226.867
229.255	"Contingent"	"left"	0.944	2.808	232.048	230.199
232.698	"Contingent"	"left"	0.701	2.809	235.488	233.399
236.242	"Contingent"	"right"	0.961	2.808	239.029	237.203
239.786	"Contingent"	"left"	0.906	2.808	242.57	240.692
245.453	"NonContingent"	"right"	1.116	2.808	248.236	246.569
248.896	"NonContingent"	"right"	1.019	2.809	251.676	249.915
252.273	"Contingent"	"left"	1.013	2.809	255.065	253.286
255.817	"NonContingent"	"right"	0.852	2.809	258.606	256.669
259.211	"NonContingent"	"left"	1.73	2.808	261.996	260.941
262.855	"Contingent"	"right"	0.88	2.808	265.637	263.735
266.181	"Contingent"	"left"	0.856	2.809	268.976	267.037
269.725	"NonContingent"	"left"	1.338	2.809	272.516	271.063
273.269	"Contingent"	"left"	0.806	2.809	276.057	274.075
276.863	"NonContingent"	"right"	1.183	2.809	279.648	278.046
280.257	"NonContingent"	"right"	1.341	2.791	283.038	281.598
283.634	"NonContingent"	"right"	1.026	2.808	286.428	284.66
287.278	"Contingent"	"right"	0.758	2.808	290.069	288.036
292.744	"NonContingent"	"right"	0.981	2.808	295.534	293.725
296.338	"NonContingent"	"right"	1.058	2.809	299.125	297.396
299.782	"NonContingent"	"left"	0.994	2.808	302.565	300.776
303.426	"Contingent"	"left"	0.972	2.792	306.206	304.398
306.853	"NonContingent"	"right"	1.369	2.808	309.646	308.222
310.196	"NonContingent"	"left"	1.243	2.809	312.985	311.439
313.79	"Contingent"	"right"	1.112	2.809	316.576	314.902
317.384	"NonContingent"	"left"	1.36	2.809	320.167	318.744
320.711	"Contingent"	"left"	0.726	2.808	323.506	321.437
324.305	"Contingent"	"right"	0.64	2.808	327.097	324.945
327.849	"Contingent"	"left"	0.86	2.808	330.637	328.709
331.192	"Contingent"	"right"	0.733	2.809	333.976	331.925
334.736	"NonContingent"	"left"	1.483	2.809	337.517	336.219
340.253	"NonContingent"	"left"	1.329	2.791	343.033	341.582
343.88	"Contingent"	"left"	0.84	2.808	346.674	344.72
