onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.79	1.788	Visual_Lure	0	NA	NA	12.578	NA
13.331	1.788	Visual_Lure	1	left	1.053	15.119	14.384
15.922	1.788	Visual_Different	1	left	0.614	17.71	16.536
18.362	1.789	Visual_Same	0	left	0.296	20.151	18.658
20.686	1.788	Visual_Lure	1	left	1.184	22.474	21.87
28.242	1.788	Auditory_Lure	0	right	1.682	30.03	29.924
30.883	1.789	Auditory_Different	1	left	1.085	32.672	31.968
33.424	1.788	Auditory_Same	1	right	0.905	35.212	34.329
35.747	1.789	Auditory_Different	1	left	0.856	37.536	36.603
38.288	1.789	Auditory_Different	1	left	1.477	40.077	39.765
40.679	1.788	Auditory_Same	1	right	1.383	42.467	42.062
43.32	1.789	Auditory_Same	1	right	1.269	45.109	44.589
50.792	1.789	Visual_Different	1	left	1.268	52.581	52.06
53.333	1.789	Visual_Same	1	right	1.554	55.122	54.887
55.924	1.789	Visual_Different	1	left	0.695	57.713	56.619
58.198	1.788	Visual_Lure	1	left	1.085	59.986	59.283
60.839	1.788	Visual_Lure	1	left	1.297	62.627	62.136
63.279	1.789	Visual_Same	1	right	0.789	65.068	64.068
70.835	1.789	Auditory_Different	1	left	1.262	72.624	72.097
73.426	1.789	Auditory_Same	1	right	1.046	75.215	74.472
75.767	1.788	Auditory_Lure	0	right	0.994	77.555	76.761
78.308	1.788	Auditory_Same	1	right	0.892	80.096	79.2
80.698	1.789	Auditory_Same	1	right	0.848	82.487	81.546
83.322	1.789	Auditory_Lure	1	left	0.952	85.111	84.274
85.713	1.789	Auditory_Lure	1	left	0.955	87.502	86.668
93.235	1.789	Visual_Lure	1	left	1.043	95.024	94.278
95.877	1.788	Visual_Lure	1	left	0.911	97.665	96.788
98.267	1.789	Visual_Same	1	right	0.764	100.056	99.031
100.908	1.789	Visual_Lure	1	left	0.619	102.697	101.527
103.232	1.788	Visual_Different	1	left	0.926	105.02	104.158
110.938	1.789	Auditory_Lure	1	left	1.718	112.727	112.656
113.329	1.788	Auditory_Different	1	left	1.33	115.117	114.659
115.92	1.788	Auditory_Lure	1	left	1.125	117.708	117.045
118.26	1.789	Auditory_Same	1	right	0.877	120.049	119.137
120.684	1.788	Auditory_Same	1	right	0.758	122.472	121.442
123.325	1.789	Auditory_Different	1	left	1.094	125.114	124.419
130.898	1.788	Visual_Different	1	left	0.939	132.686	131.837
133.422	1.788	Visual_Same	1	right	0.848	135.21	134.27
135.812	1.789	Visual_Lure	1	left	0.711	137.601	136.523
138.203	1.788	Visual_Same	1	right	1.082	139.991	139.285
140.894	1.789	Visual_Same	1	right	0.799	142.683	141.693
143.285	1.771	Visual_Lure	1	left	0.696	145.056	143.981
145.708	1.789	Visual_Lure	1	left	0.822	147.497	146.53
153.431	1.789	Auditory_Same	1	right	0.921	155.22	154.352
155.772	1.788	Auditory_Lure	1	left	0.947	157.56	156.719
158.363	1.788	Auditory_Different	1	left	1.046	160.151	159.409
160.703	1.789	Auditory_Lure	1	left	1.28	162.492	161.983
163.294	1.789	Auditory_Lure	1	left	1.553	165.083	164.847
165.868	1.789	Auditory_Different	1	left	1.11	167.657	166.978
168.309	1.789	Auditory_Different	1	left	1.146	170.098	169.455
175.882	1.788	Visual_Lure	1	left	0.794	177.67	176.676
178.222	1.789	Visual_Same	1	right	0.725	180.011	178.947
180.913	1.789	Visual_Lure	1	left	0.656	182.702	181.569
183.354	1.789	Visual_Different	1	left	0.587	185.143	183.941
185.795	1.788	Visual_Different	1	left	0.999	187.583	186.794
188.168	1.789	Visual_Same	1	right	0.793	189.957	188.961
190.709	1.789	Visual_Same	1	right	1.09	192.498	191.799
198.232	1.788	Auditory_Lure	0	right	1.463	200.02	199.695
200.772	1.789	Auditory_Lure	1	left	1.393	202.561	202.165
203.313	1.789	Auditory_Same	1	right	1.122	205.102	204.435
205.754	1.789	Auditory_Lure	1	left	1.221	207.543	206.975
208.395	1.789	Auditory_Different	1	left	1.521	210.184	209.916
215.934	1.789	Visual_Same	1	right	0.762	217.723	216.696
218.224	1.789	Visual_Lure	1	left	1.096	220.013	219.32
220.765	1.789	Visual_Different	1	left	0.777	222.554	221.542
223.306	1.789	Visual_Lure	1	left	0.678	225.095	223.984
225.83	1.789	Visual_Lure	1	left	0.687	227.619	226.517
228.371	1.789	Visual_Different	1	left	0.683	230.16	229.054
230.762	1.788	Visual_Different	1	left	0.848	232.55	231.61
238.385	1.788	Auditory_Same	1	right	1.083	240.173	239.468
240.825	1.789	Auditory_Same	1	right	0.89	242.614	241.715
243.216	1.788	Auditory_Lure	1	left	0.9	245.004	244.116
245.907	1.789	Auditory_Different	1	left	1.142	247.696	247.049
248.281	1.788	Auditory_Same	1	right	1.126	250.069	249.407
255.736	1.789	Visual_Lure	1	left	0.892	257.525	256.628
258.377	1.789	Visual_Different	1	left	1.15	260.166	259.527
260.768	1.772	Visual_Lure	0	right	0.768	262.54	261.536
263.342	1.789	Visual_Same	0	left	0.758	265.131	264.1
265.883	1.789	Visual_Same	0	left	1.424	267.672	267.307
268.223	1.789	Visual_Different	1	left	1.007	270.012	269.23
275.88	1.788	Auditory_Same	1	right	1.163	277.668	277.043
278.27	1.789	Auditory_Same	1	right	0.842	280.059	279.112
280.711	1.788	Auditory_Different	1	left	0.729	282.499	281.44
283.252	1.788	Auditory_Same	1	right	0.978	285.04	284.23
285.792	1.772	Auditory_Lure	1	left	1.487	287.564	287.279
293.332	1.788	Visual_Same	1	right	1.156	295.12	294.488
295.722	1.789	Visual_Same	1	right	0.858	297.511	296.58
298.313	1.789	Visual_Different	1	left	0.564	300.102	298.877
300.854	1.789	Visual_Lure	1	left	0.936	302.643	301.79
303.178	1.788	Visual_Lure	1	left	0.932	304.966	304.11
305.718	1.789	Visual_Same	1	right	1.279	307.507	306.997
313.391	1.789	Auditory_Different	1	left	1.233	315.18	314.624
315.715	1.789	Auditory_Different	1	left	1.518	317.504	317.233
318.406	1.789	Auditory_Lure	1	left	1.316	320.195	319.722
320.747	1.788	Auditory_Different	1	left	1.079	322.535	321.826
323.338	1.788	Auditory_Same	1	right	1.171	325.126	324.509
330.927	1.789	Visual_Same	1	right	0.916	332.716	331.843
333.267	1.789	Visual_Same	1	right	0.763	335.056	334.03
335.908	1.789	Visual_Different	1	left	0.582	337.697	336.49
338.199	1.788	Visual_Same	1	right	0.634	339.987	338.833
340.84	1.788	Visual_Lure	1	left	0.899	342.628	341.739
348.329	1.788	Auditory_Different	1	left	0.978	350.117	349.307
350.92	1.788	Auditory_Lure	1	left	1.411	352.708	352.331
353.21	1.789	Auditory_Different	1	left	1.324	354.999	354.534
355.851	1.789	Auditory_Same	1	right	0.913	357.64	356.764
358.375	1.789	Auditory_Same	1	right	0.975	360.164	359.35
360.766	1.788	Auditory_Lure	1	left	0.913	362.554	361.679
363.156	1.789	Auditory_Lure	1	left	1.113	364.945	364.269
370.829	1.789	Visual_Lure	1	left	1.239	372.618	372.068
373.42	1.789	Visual_Lure	1	left	0.749	375.209	374.169
375.811	1.788	Visual_Same	1	right	0.824	377.599	376.635
378.352	1.788	Visual_Different	1	left	0.955	380.14	379.307
380.725	1.789	Visual_Different	1	left	0.95	382.514	381.675
383.166	1.789	Visual_Lure	1	left	1.05	384.955	384.216
390.789	1.788	Auditory_Same	1	right	0.976	392.577	391.765
393.363	1.789	Auditory_Different	1	left	0.667	395.152	394.03
395.904	1.788	Auditory_Same	1	right	0.981	397.692	396.885
398.194	1.789	Auditory_Lure	1	left	1.24	399.983	399.434
400.735	1.789	Auditory_Lure	1	left	0.983	402.524	401.718
403.276	1.772	Auditory_Different	0	right	1.179	405.048	404.455
405.65	1.788	Auditory_Different	1	left	1.353	407.438	407.003
413.289	1.789	Visual_Different	1	left	0.841	415.078	414.13
415.813	1.789	Visual_Different	1	left	0.864	417.602	416.677
418.204	1.788	Visual_Lure	1	left	0.835	419.992	419.039
420.895	1.789	Visual_Same	1	right	0.829	422.684	421.724
423.336	1.788	Visual_Same	1	right	0.645	425.124	423.981
425.676	1.772	Visual_Different	1	left	0.588	427.448	426.264
433.332	1.789	Auditory_Different	1	left	1.001	435.121	434.333
435.923	1.789	Auditory_Different	1	left	1.077	437.712	437
438.263	1.772	Auditory_Same	1	right	0.949	440.035	439.212
440.838	1.788	Auditory_Lure	1	left	0.947	442.626	441.785
443.228	1.789	Auditory_Different	1	left	1.135	445.017	444.363
450.784	1.789	Visual_Different	1	left	1.48	452.573	452.264
453.425	1.789	Visual_Lure	1	left	1.108	455.214	454.533
455.799	1.789	Visual_Different	1	left	1.133	457.588	456.932
458.34	1.789	Visual_Same	1	right	1.217	460.129	459.557
460.68	1.789	Visual_Same	1	right	0.847	462.469	461.527
463.371	1.789	Visual_Lure	1	left	0.537	465.16	463.908
465.795	1.789	Visual_Lure	1	left	0.712	467.584	466.507
