onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.319	0.351	Contingent	NA	NA	10.641	NA
11.238	2.809	Contingent	NA	NA	14.031	NA
14.883	2.808	Contingent	left	1.977	17.672	16.86
18.427	2.808	Contingent	right	1.902	21.212	20.329
21.77	2.792	Contingent	left	2.542	24.551	24.312
25.297	2.808	NonContingent	NA	NA	28.092	NA
28.841	2.808	Contingent	left	2.414	31.633	31.255
32.234	2.809	Contingent	right	1.931	35.022	34.165
35.678	2.809	Contingent	NA	NA	38.462	NA
39.373	2.791	NonContingent	right	0.224	42.153	39.597
42.799	2.809	Contingent	left	1.367	45.593	44.166
46.143	2.808	NonContingent	left	2.015	48.932	48.158
49.737	2.808	NonContingent	right	1.613	52.523	51.35
55.454	2.808	NonContingent	right	1.828	58.24	57.282
58.847	2.809	Contingent	left	2.561	61.63	61.408
62.241	2.792	NonContingent	right	2.013	65.02	64.254
65.868	2.809	NonContingent	left	2.265	68.661	68.133
69.262	2.808	Contingent	right	2.105	72.05	71.367
72.856	2.808	Contingent	left	1.074	75.641	73.93
76.3	2.808	Contingent	left	2.381	79.081	78.681
79.877	2.808	NonContingent	left	2.46	82.672	82.337
83.22	2.809	Contingent	right	1.525	86.011	84.745
86.664	2.808	NonContingent	left	2.449	89.451	89.113
90.208	2.808	Contingent	left	2.591	92.991	92.799
93.852	2.792	Contingent	left	0.857	96.632	94.709
97.279	2.808	Contingent	right	2.237	100.072	99.516
102.896	2.808	Contingent	right	2.256	105.689	105.152
106.44	2.808	Contingent	left	1.907	109.229	108.347
109.833	2.809	NonContingent	right	1.532	112.619	111.365
113.277	2.808	NonContingent	left	2.726	116.059	116.003
116.704	2.808	NonContingent	left	1.452	119.499	118.156
120.298	2.808	NonContingent	right	2.064	123.09	122.362
123.741	2.809	Contingent	left	1.174	126.53	124.915
127.386	2.808	Contingent	right	1.24	130.171	128.626
130.829	2.792	Contingent	left	1.34	133.611	132.169
134.156	2.808	NonContingent	right	1.786	136.95	135.942
137.7	2.808	Contingent	right	2.37	140.49	140.07
141.344	2.808	Contingent	right	1.513	144.131	142.857
144.637	2.809	NonContingent	right	1.562	147.42	146.199
150.304	2.809	Contingent	left	0.836	153.087	151.14
153.848	2.792	NonContingent	right	2.689	156.628	156.537
157.375	2.809	Contingent	right	1.493	160.169	158.868
160.719	2.808	NonContingent	right	2.149	163.508	162.868
164.413	2.808	NonContingent	left	2.05	167.199	166.463
167.706	2.809	NonContingent	right	1.287	170.488	168.993
171.233	2.809	NonContingent	right	2.365	174.028	173.598
174.827	2.809	NonContingent	left	1.715	177.619	176.542
178.371	2.809	Contingent	left	1.064	181.159	179.435
181.765	2.808	NonContingent	right	2.115	184.549	183.88
185.309	2.791	Contingent	left	0.834	188.09	186.143
188.635	2.809	Contingent	right	1.756	191.429	190.391
192.179	2.809	NonContingent	right	1.681	194.969	193.86
197.796	2.809	Contingent	right	1.271	200.587	199.067
201.39	2.809	NonContingent	left	1.871	204.178	203.261
204.934	2.809	NonContingent	left	2.154	207.718	207.088
208.328	2.791	NonContingent	right	2.093	211.108	210.421
