"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
8.87700000000001	"recently_learned_faces_baseline"	1	"right"	1.263	1.588	"recently_learned_faces_baseline"	10.441	10.14
11.401	"recently_learned_faces_baseline"	1	"right"	1.464	2.507	"recently_learned_faces_baseline"	13.879	12.865
14.778	"famous_faces_baseline"	1	"left"	0.969	2.507	"famous_faces_baseline"	17.266	15.747
18.221	"famous_faces_baseline"	1	"right"	0.973	2.508	"famous_faces_baseline"	20.704	19.194
21.799	"famous_faces_false_combination"	1	"right"	0.959	2.524	"famous_faces"	24.293	22.758
25.242	"famous_faces_correct_combination"	1	"left"	0.81	2.508	"famous_faces"	27.731	26.052
28.786	"recently_learned_faces_false_combination"	1	"right"	1.14	2.508	"recently_learned_faces"	31.27	29.926
32.38	"recently_learned_faces_false_combination"	1	"right"	0.758	2.508	"recently_learned_faces"	34.859	33.138
35.807	"famous_faces_false_combination"	1	"right"	0.789	2.508	"famous_faces"	38.297	36.596
39.15	"famous_faces_baseline"	0	"right"	0.651	2.508	"famous_faces_baseline"	41.634	39.801
42.678	"recently_learned_faces_baseline"	1	"left"	0.917	2.524	"recently_learned_faces_baseline"	45.172	43.595
46.322	"famous_faces_false_combination"	1	"right"	1.234	2.507	"famous_faces"	48.811	47.556
49.765	"famous_faces_baseline"	1	"right"	1.063	2.508	"famous_faces_baseline"	52.249	50.828
55.248	"famous_faces_baseline"	1	"right"	0.679	2.508	"famous_faces_baseline"	57.739	55.927
58.893	"recently_learned_faces_correct_combination"	1	"left"	1.668	2.507	"recently_learned_faces"	61.378	60.561
62.336	"recently_learned_faces_false_combination"	1	"right"	0.74	2.508	"recently_learned_faces"	64.816	63.076
65.914	"famous_faces_correct_combination"	1	"left"	0.758	2.507	"famous_faces"	68.405	66.672
69.257	"famous_faces_false_combination"	1	"right"	0.91	2.507	"famous_faces"	71.742	70.167
72.901	"recently_learned_faces_false_combination"	1	"right"	1.058	2.508	"recently_learned_faces"	75.381	73.959
76.278	"famous_faces_false_combination"	1	"right"	0.926	2.507	"famous_faces"	78.769	77.204
79.722	"recently_learned_faces_false_combination"	1	"right"	0.828	2.507	"recently_learned_faces"	82.207	80.55
83.316	"recently_learned_faces_false_combination"	1	"right"	0.81	2.507	"recently_learned_faces"	85.796	84.126
86.642	"famous_faces_baseline"	1	"right"	0.924	2.508	"famous_faces_baseline"	89.133	87.566
90.186	"famous_faces_baseline"	1	"right"	0.656	2.508	"famous_faces_baseline"	92.671	90.842
93.73	"famous_faces_false_combination"	1	"right"	0.777	2.508	"famous_faces"	96.21	94.507
97.257	"recently_learned_faces_false_combination"	0	"left"	2.019	2.508	"recently_learned_faces"	99.749	99.276
102.958	"recently_learned_faces_correct_combination"	1	"left"	1.301	2.507	"recently_learned_faces"	105.438	104.259
106.334	"famous_faces_correct_combination"	1	"left"	0.82	2.508	"famous_faces"	108.826	107.154
109.878	"recently_learned_faces_correct_combination"	1	"left"	0.857	2.508	"recently_learned_faces"	112.365	110.735
113.272	"recently_learned_faces_false_combination"	0	"left"	1.658	2.507	"recently_learned_faces"	115.752	114.93
116.699	"recently_learned_faces_correct_combination"	1	"left"	0.705	2.507	"recently_learned_faces"	119.19	117.404
120.393	"famous_faces_correct_combination"	1	"left"	0.769	2.507	"famous_faces"	122.879	121.162
123.686	"famous_faces_correct_combination"	1	"left"	1.182	2.508	"famous_faces"	126.166	124.868
127.263	"recently_learned_faces_correct_combination"	1	"left"	0.719	2.508	"recently_learned_faces"	129.755	127.982
130.807	"famous_faces_baseline"	1	"left"	0.996	2.508	"famous_faces_baseline"	133.294	131.803
134.201	"recently_learned_faces_baseline"	1	"right"	0.914	2.507	"recently_learned_faces_baseline"	136.681	135.115
137.728	"famous_faces_baseline"	1	"left"	1.019	2.508	"famous_faces_baseline"	140.22	138.747
141.322	"famous_faces_correct_combination"	1	"left"	0.803	2.508	"famous_faces"	143.809	142.125
144.615	"recently_learned_faces_correct_combination"	1	"left"	0.984	2.508	"recently_learned_faces"	147.096	145.599
150.449	"famous_faces_baseline"	1	"right"	0.794	2.508	"famous_faces_baseline"	152.937	151.243
153.743	"famous_faces_correct_combination"	1	"left"	0.929	2.507	"famous_faces"	156.224	154.672
157.27	"famous_faces_baseline"	1	"right"	0.688	2.507	"famous_faces_baseline"	159.762	157.958
160.814	"recently_learned_faces_correct_combination"	1	"left"	0.605	2.507	"recently_learned_faces"	163.301	161.419
164.358	"recently_learned_faces_baseline"	1	"left"	0.931	2.507	"recently_learned_faces_baseline"	166.84	165.289
167.784	"recently_learned_faces_correct_combination"	1	"left"	0.618	2.508	"recently_learned_faces"	170.278	168.402
171.228	"recently_learned_faces_correct_combination"	1	"left"	1.183	2.508	"recently_learned_faces"	173.716	172.411
