onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.945	1.788	Visual_Different	1	left	0.389	12.733	11.334
13.235	1.789	Visual_Same	1	right	0.575	15.024	13.81
15.826	1.789	Visual_Different	1	left	0.958	17.615	16.784
18.35	1.789	Visual_Lure	1	left	0.637	20.139	18.987
20.741	1.788	Visual_Lure	1	left	1.099	22.529	21.84
23.382	1.789	Visual_Same	1	right	0.568	25.171	23.95
30.737	1.789	Auditory_Different	1	left	0.766	32.526	31.503
33.278	1.789	Auditory_Different	1	left	0.718	35.067	33.996
35.869	1.789	Auditory_Lure	1	left	0.586	37.658	36.455
38.41	1.789	Auditory_Different	1	left	0.525	40.199	38.935
40.801	1.788	Auditory_Same	1	right	0.691	42.589	41.492
48.29	1.788	Visual_Same	1	right	0.931	50.078	49.221
50.881	1.789	Visual_Different	1	left	0.364	52.67	51.245
53.221	1.789	Visual_Same	1	right	0.827	55.01	54.048
55.812	1.789	Visual_Lure	1	left	0.885	57.601	56.697
58.236	1.789	Visual_Lure	1	left	0.71	60.025	58.946
60.777	1.789	Visual_Different	1	left	0.597	62.566	61.374
63.318	1.789	Visual_Different	1	left	0.502	65.107	63.82
70.891	1.788	Auditory_Same	0	left	0.868	72.679	71.759
73.281	1.789	Auditory_Different	1	left	1.182	75.07	74.463
75.722	1.788	Auditory_Same	1	right	0.808	77.51	76.53
78.313	1.772	Auditory_Lure	1	left	1.507	80.085	79.82
80.887	1.789	Auditory_Lure	1	left	0.825	82.676	81.712
83.328	1.788	Auditory_Different	1	left	1.217	85.116	84.545
85.768	1.789	Auditory_Different	1	left	0.641	87.557	86.409
93.241	1.788	Visual_Lure	1	left	0.631	95.029	93.872
95.932	1.789	Visual_Same	1	right	0.523	97.721	96.455
98.272	1.789	Visual_Lure	1	left	0.458	100.061	98.73
100.797	1.788	Visual_Different	1	left	0.473	102.585	101.27
103.338	1.788	Visual_Different	1	left	0.444	105.126	103.782
105.678	1.789	Visual_Same	1	right	0.656	107.467	106.334
108.369	1.789	Visual_Same	1	right	0.606	110.158	108.975
115.741	1.789	Auditory_Lure	1	left	0.873	117.53	116.614
118.433	1.788	Auditory_Lure	1	left	0.71	120.221	119.143
