"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.233	"recently_learned_faces_baseline"	0	NA	NA	0.234	"recently_learned_faces_baseline"	10.44	NA
11.236	"recently_learned_faces_baseline"	1	"right"	1.54	2.507	"recently_learned_faces_baseline"	13.727	12.776
14.78	"famous_faces_baseline"	0	"right"	1.612	2.507	"famous_faces_baseline"	17.265	16.392
18.324	"famous_faces_baseline"	0	NA	NA	2.507	"famous_faces_baseline"	20.804	NA
21.851	"famous_faces_false_combination"	1	"right"	1.931	2.507	"famous_faces"	24.343	23.782
25.294	"famous_faces_correct_combination"	1	"left"	0.993	2.508	"famous_faces"	27.781	26.287
28.888	"recently_learned_faces_false_combination"	1	"right"	1.575	2.508	"recently_learned_faces"	31.37	30.463
32.165	"recently_learned_faces_false_combination"	1	"right"	1.3	2.507	"recently_learned_faces"	34.657	33.465
35.709	"famous_faces_false_combination"	1	"right"	1.403	2.507	"famous_faces"	38.195	37.112
39.303	"famous_faces_baseline"	0	"right"	0.907	2.507	"famous_faces_baseline"	41.784	40.21
42.629	"recently_learned_faces_baseline"	1	"left"	1.481	2.508	"recently_learned_faces_baseline"	45.121	44.11
46.324	"famous_faces_false_combination"	1	"right"	1.408	2.507	"famous_faces"	48.81	47.732
49.667	"famous_faces_baseline"	1	"right"	2.209	2.508	"famous_faces_baseline"	52.147	51.876
55.451	"famous_faces_baseline"	1	"right"	1.29	2.507	"famous_faces_baseline"	57.939	56.741
58.794	"recently_learned_faces_correct_combination"	1	"left"	1.061	2.508	"recently_learned_faces"	61.276	59.855
62.372	"recently_learned_faces_false_combination"	1	"right"	1.141	2.524	"recently_learned_faces"	64.865	63.513
65.815	"famous_faces_correct_combination"	1	"left"	1.372	2.508	"famous_faces"	68.303	67.187
69.209	"famous_faces_false_combination"	1	"right"	1.259	2.507	"famous_faces"	71.691	70.468
72.886	"recently_learned_faces_false_combination"	0	"left"	1.43	2.508	"recently_learned_faces"	75.38	74.316
76.28	"famous_faces_false_combination"	1	"right"	1.437	2.507	"famous_faces"	78.768	77.717
79.723	"recently_learned_faces_false_combination"	1	"right"	1.244	2.508	"recently_learned_faces"	82.206	80.967
83.15	"recently_learned_faces_false_combination"	1	"right"	1.558	2.524	"recently_learned_faces"	85.644	84.708
86.794	"famous_faces_baseline"	1	"right"	1.645	2.508	"famous_faces_baseline"	89.283	88.439
90.238	"famous_faces_baseline"	1	"right"	1.365	2.507	"famous_faces_baseline"	92.721	91.603
93.665	"famous_faces_false_combination"	1	"right"	1.046	2.507	"famous_faces"	96.159	94.711
97.259	"recently_learned_faces_false_combination"	1	"right"	1.327	2.507	"recently_learned_faces"	99.748	98.586
102.859	"recently_learned_faces_correct_combination"	1	"left"	1.408	2.507	"recently_learned_faces"	105.338	104.267
106.236	"famous_faces_correct_combination"	1	"left"	1.191	2.507	"famous_faces"	108.726	107.427
109.78	"recently_learned_faces_correct_combination"	1	"left"	1.607	2.507	"recently_learned_faces"	112.264	111.387
113.374	"recently_learned_faces_false_combination"	1	"right"	2.264	2.507	"recently_learned_faces"	115.853	115.638
116.901	"recently_learned_faces_correct_combination"	1	"left"	1.437	2.507	"recently_learned_faces"	119.391	118.338
