"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
8.523	"recently_learned_faces_baseline"	1	"right"	1.63	1.789	"recently_learned_faces_baseline"	10.289	10.153
11.349	"recently_learned_faces_baseline"	1	"right"	0.878	2.507	"recently_learned_faces_baseline"	13.828	12.227
14.926	"famous_faces_baseline"	1	"left"	1.158	2.507	"famous_faces_baseline"	17.417	16.084
18.37	"famous_faces_baseline"	1	"right"	1.045	2.507	"famous_faces_baseline"	20.855	19.415
21.713	"famous_faces_false_combination"	0	"left"	1.83	2.507	"famous_faces"	24.192	23.543
25.34	"famous_faces_correct_combination"	1	"left"	1.151	2.508	"famous_faces"	27.831	26.491
28.884	"recently_learned_faces_false_combination"	0	NA	NA	2.508	"recently_learned_faces"	31.369	NA
32.228	"recently_learned_faces_false_combination"	1	"right"	2.357	2.507	"recently_learned_faces"	34.706	34.585
35.655	"famous_faces_false_combination"	1	"right"	1.765	2.507	"famous_faces"	38.144	37.42
39.249	"famous_faces_baseline"	1	"left"	1.655	2.507	"famous_faces_baseline"	41.733	40.904
42.793	"recently_learned_faces_baseline"	1	"left"	1.269	2.507	"recently_learned_faces_baseline"	45.272	44.062
46.119	"famous_faces_false_combination"	1	"right"	1.425	2.508	"famous_faces"	48.609	47.544
49.813	"famous_faces_baseline"	1	"right"	1.495	2.508	"famous_faces_baseline"	52.298	51.308
55.297	"famous_faces_baseline"	1	"right"	1.386	2.507	"famous_faces_baseline"	57.788	56.683
58.941	"recently_learned_faces_correct_combination"	1	"left"	2.096	2.507	"recently_learned_faces"	61.427	61.037
62.234	"recently_learned_faces_false_combination"	1	"right"	1.446	2.507	"recently_learned_faces"	64.714	63.68
65.811	"famous_faces_correct_combination"	1	"left"	1.023	2.508	"famous_faces"	68.303	66.834
69.355	"famous_faces_false_combination"	1	"right"	0.913	2.508	"famous_faces"	71.842	70.268
72.698	"recently_learned_faces_false_combination"	0	"left"	1.573	2.508	"recently_learned_faces"	75.179	74.271
76.276	"famous_faces_false_combination"	0	"left"	2.145	2.507	"famous_faces"	78.768	78.421
79.82	"recently_learned_faces_false_combination"	1	"right"	1.861	2.507	"recently_learned_faces"	82.307	81.681
83.364	"recently_learned_faces_false_combination"	0	"left"	1.494	2.507	"recently_learned_faces"	85.845	84.858
86.69	"famous_faces_baseline"	1	"right"	1.243	2.508	"famous_faces_baseline"	89.182	87.933
90.134	"famous_faces_baseline"	0	"left"	1.44	2.507	"famous_faces_baseline"	92.62	91.574
93.678	"famous_faces_false_combination"	0	NA	NA	2.507	"famous_faces"	96.158	NA
97.255	"recently_learned_faces_false_combination"	0	"left"	2.106	2.524	"recently_learned_faces"	99.747	99.361
102.905	"recently_learned_faces_correct_combination"	1	"left"	1.59	2.508	"recently_learned_faces"	105.388	104.495
106.282	"famous_faces_correct_combination"	1	"left"	1.228	2.508	"famous_faces"	108.775	107.51
109.726	"recently_learned_faces_correct_combination"	1	"left"	1.636	2.507	"recently_learned_faces"	112.213	111.362
113.32	"recently_learned_faces_false_combination"	0	"left"	1.65	2.507	"recently_learned_faces"	115.802	114.97
116.897	"recently_learned_faces_correct_combination"	1	"left"	1.465	2.524	"recently_learned_faces"	119.391	118.362
120.291	"famous_faces_correct_combination"	1	"left"	1.643	2.507	"famous_faces"	122.779	121.934
123.885	"famous_faces_correct_combination"	1	"left"	1.06	2.507	"famous_faces"	126.368	124.945
127.161	"recently_learned_faces_correct_combination"	1	"left"	1.043	2.524	"recently_learned_faces"	129.655	128.204
130.805	"famous_faces_baseline"	1	"left"	1.435	2.508	"famous_faces_baseline"	133.294	132.24
134.199	"recently_learned_faces_baseline"	0	"left"	1.429	2.507	"recently_learned_faces_baseline"	136.681	135.628
137.626	"famous_faces_baseline"	1	"left"	1.288	2.524	"famous_faces_baseline"	140.119	138.914
141.22	"famous_faces_correct_combination"	1	"left"	1.243	2.507	"famous_faces"	143.708	142.463
