onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.216	0.451	Contingent	NA	NA	10.641	NA
11.453	2.808	Contingent	NA	NA	14.232	NA
14.729	2.809	Contingent	left	1.693	17.521	16.422
18.273	2.808	Contingent	left	1.941	21.061	20.214
21.867	2.809	Contingent	left	1.064	24.652	22.931
25.311	2.791	NonContingent	right	1.986	28.092	27.297
28.888	2.808	Contingent	left	1.278	31.683	30.166
32.231	2.809	Contingent	left	1.962	35.022	34.193
35.826	2.808	Contingent	left	1.037	38.613	36.863
39.169	2.808	NonContingent	left	2.267	41.952	41.436
42.713	2.791	Contingent	left	1.144	45.492	43.857
46.29	2.809	NonContingent	right	1.391	49.083	47.681
49.734	2.808	NonContingent	right	1.53	52.523	51.264
55.401	2.808	NonContingent	right	1.599	58.19	57
58.744	2.808	Contingent	left	1.102	61.529	59.846
62.338	2.809	NonContingent	left	1.674	65.12	64.012
65.765	2.808	NonContingent	left	1.79	68.56	67.555
69.409	2.809	Contingent	right	2.057	72.201	71.466
72.853	2.808	Contingent	left	0.818	75.641	73.671
76.397	2.808	Contingent	left	0.753	79.181	77.15
79.79	2.792	NonContingent	left	1.519	82.571	81.309
83.167	2.808	Contingent	right	1.675	85.961	84.842
86.711	2.808	NonContingent	right	2.056	89.501	88.767
90.255	2.808	Contingent	left	2.146	93.042	92.401
93.648	2.809	Contingent	left	0.762	96.432	94.41
97.293	2.791	Contingent	right	2.609	100.073	99.902
102.96	2.791	Contingent	right	2.51	105.739	105.47
106.387	2.808	Contingent	left	0.757	109.179	107.144
109.83	2.809	NonContingent	right	1.266	112.619	111.096
113.224	2.808	NonContingent	right	1.416	116.009	114.64
116.768	2.808	NonContingent	left	1.912	119.549	118.68
120.295	2.808	NonContingent	right	1.738	123.09	122.033
123.889	2.808	Contingent	left	0.744	126.681	124.633
127.182	2.808	Contingent	right	2.026	129.97	129.208
130.826	2.809	Contingent	left	0.701	133.611	131.527
134.22	2.791	NonContingent	right	1.891	137	136.111
137.797	2.809	Contingent	left	1.525	140.591	139.322
141.241	2.808	Contingent	left	0.604	144.031	141.845
144.835	2.808	NonContingent	right	1.371	147.622	146.206
150.301	2.809	Contingent	left	0.892	153.087	151.193
153.745	2.808	NonContingent	left	1.598	156.527	155.343
157.423	2.808	Contingent	left	1.677	160.218	159.1
160.866	2.809	NonContingent	right	1.176	163.658	162.042
164.31	2.808	NonContingent	left	1.804	167.098	166.114
167.703	2.809	NonContingent	right	1.141	170.488	168.844
171.347	2.792	NonContingent	right	1.365	174.129	172.712
174.774	2.809	NonContingent	right	1.297	177.569	176.071
178.368	2.809	Contingent	left	0.765	181.16	179.133
181.712	2.808	NonContingent	left	1.499	184.499	183.211
185.306	2.808	Contingent	left	0.614	188.09	185.92
188.75	2.791	Contingent	right	1.788	191.53	190.538
192.176	2.809	NonContingent	left	1.611	194.97	193.787
197.944	2.808	Contingent	right	1.894	200.737	199.838
201.387	2.809	NonContingent	right	1.167	204.177	202.554
204.731	2.808	NonContingent	right	1.905	207.516	206.636
208.275	2.791	NonContingent	right	1.854	211.056	210.129
211.802	2.808	NonContingent	left	1.52	214.597	213.322
215.396	2.808	NonContingent	left	1.093	218.188	216.489
218.789	2.809	NonContingent	right	1.337	221.578	220.126
222.183	2.808	NonContingent	right	1.529	224.968	223.712
225.727	2.791	NonContingent	right	1.779	228.508	227.506
229.304	2.809	Contingent	right	1.214	232.099	230.518
232.698	2.808	Contingent	left	0.903	235.488	233.601
236.292	2.808	Contingent	left	1.079	239.079	237.371
239.635	2.808	Contingent	right	1.999	242.418	241.634
245.352	2.809	NonContingent	left	1.172	248.137	246.524
248.746	2.791	NonContingent	right	2.36	251.527	251.106
252.273	2.808	Contingent	right	1.811	255.067	254.084
255.917	2.808	NonContingent	left	1.285	258.708	257.202
259.361	2.808	NonContingent	right	1.681	262.148	261.042
262.754	2.809	Contingent	right	1.404	265.537	264.158
266.198	2.791	Contingent	right	1.72	268.977	267.918
269.825	2.809	NonContingent	left	1.67	272.618	271.495
273.369	2.809	Contingent	right	1.938	276.158	275.307
276.763	2.808	NonContingent	left	1.064	279.548	277.827
280.307	2.808	NonContingent	left	1.208	283.089	281.515
283.683	2.809	NonContingent	right	0.728	286.478	284.411
287.227	2.809	Contingent	left	0.677	290.019	287.904
292.844	2.809	NonContingent	right	1.714	295.636	294.558
296.238	2.808	NonContingent	right	1.38	299.026	297.618
299.882	2.808	NonContingent	right	1.086	302.667	300.968
303.275	2.792	Contingent	right	1.12	306.056	304.395
306.903	2.808	NonContingent	right	1.33	309.697	308.233
310.196	2.808	NonContingent	left	1.177	312.986	311.373
313.79	2.808	Contingent	right	1.125	316.577	314.915
317.384	2.809	NonContingent	right	0.949	320.168	318.333
320.728	2.791	Contingent	right	1.19	323.507	321.918
324.305	2.808	Contingent	right	1.127	327.098	325.432
327.849	2.808	Contingent	right	1.237	330.638	329.086
331.192	2.809	Contingent	left	0.688	333.977	331.88
334.736	2.808	NonContingent	left	1.46	337.518	336.196
340.253	2.791	NonContingent	right	1.565	343.034	341.818
343.78	2.808	Contingent	left	0.696	346.574	344.476
347.424	2.808	NonContingent	right	1.55	350.215	348.974
350.868	2.808	Contingent	left	0.691	353.655	351.559
354.311	2.809	Contingent	right	1.055	357.095	355.366
357.855	2.792	Contingent	right	0.909	360.636	358.764
361.282	2.809	Contingent	right	0.584	364.076	361.866
364.676	2.808	Contingent	right	0.499	367.466	365.175
368.37	2.808	Contingent	right	1.125	371.157	369.495
371.713	2.809	Contingent	left	0.653	374.496	372.366
375.257	2.792	NonContingent	left	2.221	378.037	377.478
378.634	2.808	NonContingent	left	1.123	381.427	379.757
382.278	2.809	Contingent	right	0.93	385.068	383.208
387.795	2.808	NonContingent	right	1.911	390.583	389.706
391.439	2.808	Contingent	right	0.72	394.224	392.159
394.883	2.791	NonContingent	right	1.36	397.664	396.243
398.209	2.809	Contingent	right	1.02	401.003	399.229
401.803	2.809	NonContingent	right	1.304	404.594	403.107
405.397	2.809	NonContingent	right	1.19	408.185	406.587
408.791	2.808	Contingent	right	0.931	411.575	409.722
412.235	2.808	NonContingent	left	1.61	415.015	413.845
415.661	2.809	Contingent	left	0.795	418.455	416.456
419.306	2.808	Contingent	right	0.845	422.096	420.151
422.85	2.808	NonContingent	right	1.26	425.636	424.11
426.193	2.808	NonContingent	left	1.449	428.975	427.642
429.737	2.792	NonContingent	right	0.833	432.516	430.57
435.354	2.791	Contingent	right	1.038	438.133	436.392
438.881	2.808	NonContingent	left	1.098	441.674	439.979
442.224	2.809	NonContingent	left	1.555	445.013	443.779
445.919	2.808	Contingent	right	1.803	448.704	447.722
449.262	2.792	NonContingent	right	1.211	452.043	450.473
452.839	2.809	Contingent	right	0.752	455.634	453.591
456.183	2.808	NonContingent	right	0.955	458.973	457.138
459.877	2.808	Contingent	right	0.662	462.664	460.539
463.27	2.809	NonContingent	right	1.146	466.054	464.416
466.714	2.792	NonContingent	right	0.983	469.494	467.697
470.342	2.808	NonContingent	left	1.429	473.135	471.771
473.785	2.809	NonContingent	left	1.585	476.575	475.37
477.229	2.808	Contingent	right	1.042	480.015	478.271
482.846	2.808	Contingent	right	0.87	485.632	483.716
486.39	2.808	Contingent	right	1.234	489.173	487.624
489.766	2.809	Contingent	right	1.079	492.562	490.845
493.21	2.808	NonContingent	right	1.178	496.002	494.388
496.904	2.809	NonContingent	left	2.281	499.693	499.185
500.348	2.808	NonContingent	left	1.178	503.133	501.526
503.792	2.791	NonContingent	left	1.171	506.573	504.963
507.369	2.808	Contingent	left	0.745	510.164	508.114
510.712	2.809	Contingent	right	0.858	513.503	511.57
514.156	2.808	Contingent	right	0.77	516.943	514.926
517.85	2.809	NonContingent	left	1.257	520.634	519.107
521.143	2.792	Contingent	right	1.075	523.923	522.218
524.771	2.808	Contingent	left	0.689	527.564	525.46
530.388	2.808	NonContingent	right	1.519	533.182	531.907
