"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
225.661	"recently_learned_faces_baseline"	0	"left"	1.609	2.508	"recently_learned_faces_baseline"	228.14	227.27
229.339	"famous_faces_baseline"	1	"right"	1.073	2.507	"famous_faces_baseline"	231.829	230.412
232.732	"recently_learned_faces_baseline"	1	"left"	1.523	2.508	"recently_learned_faces_baseline"	235.217	234.255
236.126	"recently_learned_faces_baseline"	1	"right"	1.848	2.507	"recently_learned_faces_baseline"	238.605	237.974
239.803	"recently_learned_faces_false_combination"	0	"left"	1.753	2.508	"recently_learned_faces"	242.294	241.556
245.403	"recently_learned_faces_baseline"	1	"right"	1.136	2.508	"recently_learned_faces_baseline"	247.883	246.539
248.78	"famous_faces_correct_combination"	0	"right"	1.02	2.507	"famous_faces"	251.27	249.8
252.224	"famous_faces_correct_combination"	0	"right"	1.151	2.507	"famous_faces"	254.708	253.375
255.818	"famous_faces_baseline"	1	"right"	1.057	2.507	"famous_faces_baseline"	258.297	256.875
259.395	"recently_learned_faces_correct_combination"	1	"left"	1.232	2.507	"recently_learned_faces"	261.886	260.627
262.738	"recently_learned_faces_correct_combination"	1	"left"	1.021	2.508	"recently_learned_faces"	265.223	263.759
266.382	"famous_faces_correct_combination"	1	"left"	1.782	2.508	"famous_faces"	268.862	268.164
269.759	"famous_faces_false_combination"	1	"right"	1.275	2.508	"famous_faces"	272.25	271.034
273.153	"famous_faces_correct_combination"	0	"right"	1.504	2.507	"famous_faces"	275.638	274.657
276.797	"famous_faces_baseline"	1	"left"	1.393	2.507	"famous_faces_baseline"	279.277	278.19
280.324	"recently_learned_faces_correct_combination"	1	"left"	1.265	2.507	"recently_learned_faces"	282.815	281.589
283.617	"famous_faces_false_combination"	1	"right"	1.443	2.508	"famous_faces"	286.102	285.06
287.211	"recently_learned_faces_correct_combination"	0	"right"	1.272	2.508	"recently_learned_faces"	289.691	288.483
292.744	"recently_learned_faces_correct_combination"	0	NA	NA	2.508	"recently_learned_faces"	295.231	NA
296.388	"famous_faces_false_combination"	1	"right"	1.607	2.508	"famous_faces"	298.87	297.995
299.765	"famous_faces_false_combination"	1	"right"	1.059	2.508	"famous_faces"	302.257	300.824
303.309	"recently_learned_faces_baseline"	0	"left"	1.371	2.508	"recently_learned_faces_baseline"	305.796	304.68
306.903	"famous_faces_correct_combination"	0	"right"	1.573	2.508	"famous_faces"	309.385	308.476
310.18	"recently_learned_faces_baseline"	1	"left"	1.232	2.507	"recently_learned_faces_baseline"	312.672	311.412
313.824	"famous_faces_correct_combination"	1	"left"	1.988	2.507	"famous_faces"	316.311	315.812
317.267	"recently_learned_faces_correct_combination"	1	"left"	1.047	2.508	"recently_learned_faces"	319.749	318.314
320.694	"recently_learned_faces_false_combination"	1	"right"	1.304	2.508	"recently_learned_faces"	323.187	321.998
324.338	"recently_learned_faces_false_combination"	1	"right"	2.113	2.508	"recently_learned_faces"	326.826	326.451
327.732	"recently_learned_faces_correct_combination"	1	"left"	1.391	2.507	"recently_learned_faces"	330.214	329.123
331.109	"recently_learned_faces_baseline"	1	"right"	0.967	2.524	"recently_learned_faces_baseline"	333.602	332.076
334.753	"famous_faces_correct_combination"	1	"left"	1.558	2.507	"famous_faces"	337.241	336.311
340.286	"recently_learned_faces_baseline"	1	"left"	1.518	2.507	"recently_learned_faces_baseline"	342.779	341.804
343.729	"recently_learned_faces_baseline"	1	"right"	1.073	2.508	"recently_learned_faces_baseline"	346.217	344.802
347.424	"famous_faces_false_combination"	1	"right"	1.65	2.507	"famous_faces"	349.906	349.074
350.851	"recently_learned_faces_correct_combination"	0	"right"	1.811	2.507	"recently_learned_faces"	353.344	352.662
354.294	"famous_faces_false_combination"	1	"right"	1.22	2.508	"famous_faces"	356.782	355.514
357.888	"recently_learned_faces_baseline"	1	"right"	1.275	2.508	"recently_learned_faces_baseline"	360.371	359.163
361.315	"recently_learned_faces_baseline"	0	"right"	0.79	2.524	"recently_learned_faces_baseline"	363.809	362.105
364.658	"recently_learned_faces_false_combination"	0	"left"	1.942	2.508	"recently_learned_faces"	367.146	366.6
368.202	"famous_faces_false_combination"	1	"right"	1.496	2.508	"famous_faces"	370.684	369.698
371.729	"famous_faces_correct_combination"	1	"left"	0.913	2.525	"famous_faces"	374.223	372.642
375.324	"famous_faces_false_combination"	1	"right"	1.437	2.507	"famous_faces"	377.812	376.761
378.717	"recently_learned_faces_baseline"	1	"right"	1.582	2.507	"recently_learned_faces_baseline"	381.2	380.299
382.094	"recently_learned_faces_false_combination"	1	"right"	1.852	2.524	"recently_learned_faces"	384.588	383.946
387.794	"recently_learned_faces_baseline"	1	"left"	1.261	2.507	"recently_learned_faces_baseline"	390.278	389.055
391.388	"famous_faces_false_combination"	1	"right"	1.429	2.507	"famous_faces"	393.867	392.817
394.715	"famous_faces_correct_combination"	1	"left"	2.449	2.507	"famous_faces"	397.204	397.164
398.409	"recently_learned_faces_baseline"	0	"left"	1.372	2.507	"recently_learned_faces_baseline"	400.893	399.781
401.802	"recently_learned_faces_correct_combination"	0	"right"	1.387	2.508	"recently_learned_faces"	404.281	403.189
405.38	"famous_faces_correct_combination"	0	"right"	1.214	2.507	"famous_faces"	407.87	406.594
408.673	"recently_learned_faces_false_combination"	0	NA	NA	2.507	"recently_learned_faces"	411.157	NA
412.267	"famous_faces_correct_combination"	1	"left"	1.61	2.507	"famous_faces"	414.746	413.877
415.794	"famous_faces_false_combination"	1	"right"	1.457	2.507	"famous_faces"	418.285	417.251
419.187	"famous_faces_baseline"	0	"left"	1.6	2.508	"famous_faces_baseline"	421.672	420.787
422.832	"famous_faces_correct_combination"	1	"left"	1.652	2.507	"famous_faces"	425.311	424.484
426.158	"famous_faces_baseline"	0	"left"	1.561	2.508	"famous_faces_baseline"	428.648	427.719
429.602	"famous_faces_baseline"	1	"left"	2.204	2.507	"famous_faces_baseline"	432.086	431.806
435.235	"recently_learned_faces_baseline"	1	"left"	1.389	2.508	"recently_learned_faces_baseline"	437.726	436.624
438.93	"recently_learned_faces_false_combination"	1	"right"	1.389	2.507	"recently_learned_faces"	441.415	440.319
442.273	"recently_learned_faces_correct_combination"	1	"left"	2.409	2.507	"recently_learned_faces"	444.752	444.682
