"onset"	"trial_type"
11.238	"Contingent"
14.882	"Contingent"
18.426	"Contingent"
28.79	"Contingent"
32.184	"Contingent"
35.728	"Contingent"
42.849	"Contingent"
58.747	"Contingent"
69.412	"Contingent"
72.805	"Contingent"
76.199	"Contingent"
83.37	"Contingent"
90.257	"Contingent"
93.651	"Contingent"
97.329	"Contingent"
102.895	"Contingent"
106.339	"Contingent"
123.891	"Contingent"
127.235	"Contingent"
130.678	"Contingent"
137.8	"Contingent"
141.344	"Contingent"
150.254	"Contingent"
157.425	"Contingent"
178.221	"Contingent"
185.258	"Contingent"
188.685	"Contingent"
197.846	"Contingent"
229.357	"Contingent"
232.65	"Contingent"
236.194	"Contingent"
239.838	"Contingent"
252.426	"Contingent"
262.707	"Contingent"
266.384	"Contingent"
273.271	"Contingent"
287.23	"Contingent"
303.412	"Contingent"
313.893	"Contingent"
320.763	"Contingent"
324.157	"Contingent"
327.751	"Contingent"
331.345	"Contingent"
343.782	"Contingent"
350.82	"Contingent"
354.213	"Contingent"
357.741	"Contingent"
361.285	"Contingent"
364.879	"Contingent"
371.816	"Contingent"
382.18	"Contingent"
391.441	"Contingent"
398.262	"Contingent"
415.664	"Contingent"
419.258	"Contingent"
435.657	"Contingent"
445.921	"Contingent"
452.892	"Contingent"
459.829	"Contingent"
477.231	"Contingent"
482.798	"Contingent"
486.442	"Contingent"
489.819	"Contingent"
507.171	"Contingent"
510.865	"Contingent"
514.309	"Contingent"
521.23	"Contingent"
524.623	"Contingent"
39.322	"NonContingent"
46.293	"NonContingent"
49.686	"NonContingent"
55.353	"NonContingent"
62.391	"NonContingent"
65.768	"NonContingent"
79.726	"NonContingent"
86.814	"NonContingent"
109.933	"NonContingent"
113.276	"NonContingent"
116.703	"NonContingent"
120.347	"NonContingent"
134.256	"NonContingent"
144.687	"NonContingent"
153.898	"NonContingent"
160.818	"NonContingent"
164.262	"NonContingent"
167.906	"NonContingent"
171.283	"NonContingent"
174.827	"NonContingent"
181.664	"NonContingent"
192.279	"NonContingent"
201.39	"NonContingent"
204.934	"NonContingent"
208.277	"NonContingent"
211.704	"NonContingent"
215.298	"NonContingent"
218.742	"NonContingent"
222.185	"NonContingent"
225.83	"NonContingent"
245.355	"NonContingent"
248.782	"NonContingent"
255.719	"NonContingent"
259.363	"NonContingent"
269.828	"NonContingent"
276.715	"NonContingent"
280.343	"NonContingent"
283.636	"NonContingent"
292.897	"NonContingent"
296.34	"NonContingent"
299.784	"NonContingent"
306.705	"NonContingent"
310.349	"NonContingent"
317.22	"NonContingent"
334.622	"NonContingent"
340.389	"NonContingent"
347.426	"NonContingent"
375.343	"NonContingent"
378.737	"NonContingent"
387.747	"NonContingent"
394.868	"NonContingent"
401.806	"NonContingent"
405.35	"NonContingent"
412.22	"NonContingent"
422.852	"NonContingent"
426.179	"NonContingent"
429.773	"NonContingent"
438.783	"NonContingent"
442.227	"NonContingent"
449.365	"NonContingent"
456.185	"NonContingent"
463.223	"NonContingent"
466.75	"NonContingent"
470.294	"NonContingent"
473.838	"NonContingent"
493.363	"NonContingent"
496.706	"NonContingent"
500.3	"NonContingent"
503.744	"NonContingent"
517.853	"NonContingent"
530.24	"NonContingent"
