onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
7.961	2.809	Contingent	left	1.714	10.741	9.675
11.238	2.808	Contingent	right	1.436	14.03	12.674
14.882	2.808	Contingent	right	1.619	17.671	16.501
18.325	2.809	Contingent	right	1.227	21.111	19.552
21.769	2.808	Contingent	left	1	24.551	22.769
25.196	2.808	NonContingent	right	1.153	27.991	26.349
28.89	2.809	Contingent	left	1.139	31.682	30.029
32.234	2.808	Contingent	left	1.534	35.021	33.768
35.828	2.808	Contingent	left	1.337	38.612	37.165
39.271	2.792	NonContingent	left	1.146	42.052	40.417
42.648	2.808	Contingent	left	1.167	45.442	43.815
46.242	2.808	NonContingent	right	1.45	49.033	47.692
49.836	2.808	NonContingent	right	1.504	52.624	51.34
55.252	2.809	NonContingent	right	1.198	58.039	56.45
58.846	2.809	Contingent	right	1.58	61.63	60.426
62.39	2.792	NonContingent	right	1.108	65.171	63.498
65.767	2.808	NonContingent	left	1.629	68.56	67.396
69.411	2.808	Contingent	right	1.662	72.201	71.073
72.805	2.808	Contingent	left	0.926	75.591	73.731
76.399	2.808	Contingent	right	1.072	79.182	77.471
79.692	2.791	NonContingent	right	1.457	82.471	81.149
83.219	2.808	Contingent	left	1.019	86.011	84.238
86.813	2.808	NonContingent	right	1.06	89.602	87.873
90.257	2.808	Contingent	left	0.91	93.042	91.167
93.801	2.808	Contingent	left	0.917	96.583	94.718
97.177	2.809	Contingent	right	1.172	99.972	98.349
102.744	2.808	Contingent	right	1.307	105.538	104.051
106.288	2.808	Contingent	right	2.029	109.078	108.317
109.832	2.808	NonContingent	left	1.273	112.619	111.105
113.426	2.808	NonContingent	left	2.174	116.21	115.6
116.869	2.792	NonContingent	right	1.25	119.65	118.119
120.196	2.808	NonContingent	right	1.548	122.989	121.744
123.89	2.809	Contingent	left	1.082	126.68	124.972
127.284	2.808	Contingent	right	1.035	130.07	128.319
130.727	2.809	Contingent	right	1.119	133.51	131.846
134.321	2.792	NonContingent	right	1.175	137.101	135.496
137.748	2.809	Contingent	left	1.087	140.541	138.835
141.292	2.808	Contingent	left	1.127	144.082	142.419
144.686	2.808	NonContingent	left	1.603	147.471	146.289
150.302	2.809	Contingent	right	1.174	153.087	151.476
153.846	2.809	NonContingent	right	1.044	156.628	154.89
157.373	2.809	Contingent	left	0.931	160.169	158.304
160.717	2.808	NonContingent	right	1.232	163.508	161.949
164.411	2.808	NonContingent	left	1.204	167.199	165.615
167.855	2.808	NonContingent	right	1.166	170.639	169.021
171.398	2.792	NonContingent	right	2.285	174.179	173.683
174.725	2.808	NonContingent	right	1.313	177.518	176.038
178.269	2.808	Contingent	left	0.938	181.059	179.207
181.662	2.809	NonContingent	right	0.932	184.449	182.594
185.206	2.809	Contingent	right	0.871	187.989	186.077
188.8	2.792	Contingent	left	0.758	191.58	189.558
192.328	2.808	NonContingent	left	1.024	195.12	193.352
197.944	2.809	Contingent	right	1.143	200.736	199.087
201.288	2.808	NonContingent	right	0.926	204.075	202.214
204.731	2.809	NonContingent	right	1.065	207.515	205.796
208.325	2.792	NonContingent	right	1.095	211.106	209.42
211.852	2.809	NonContingent	right	1	214.647	212.852
215.246	2.808	NonContingent	right	1.156	218.036	216.402
218.69	2.808	NonContingent	right	1.059	221.476	219.749
222.284	2.808	NonContingent	left	1.249	225.067	223.533
225.827	2.809	NonContingent	left	1.658	228.608	227.485
229.355	2.808	Contingent	left	1.273	232.148	230.628
232.698	2.808	Contingent	right	0.885	235.487	233.583
236.292	2.808	Contingent	left	0.822	239.078	237.114
239.635	2.809	Contingent	left	0.959	242.417	240.594
245.402	2.809	NonContingent	right	1.089	248.185	246.491
248.729	2.808	NonContingent	right	1.105	251.524	249.834
252.423	2.809	Contingent	right	1.337	255.215	253.76
255.767	2.808	NonContingent	right	0.941	258.554	256.708
259.311	2.808	NonContingent	left	1.115	262.095	260.426
262.905	2.791	Contingent	left	0.923	265.686	263.828
266.332	2.808	Contingent	left	1.337	269.126	267.669
269.725	2.808	NonContingent	left	1.098	272.515	270.823
273.269	2.808	Contingent	left	0.77	276.056	274.039
276.662	2.809	NonContingent	left	1.589	279.446	278.251
280.256	2.792	NonContingent	right	1.457	283.037	281.713
283.683	2.809	NonContingent	right	1.213	286.477	284.896
287.127	2.808	Contingent	left	0.951	289.917	288.078
292.944	2.809	NonContingent	right	0.92	295.734	293.864
296.288	2.808	NonContingent	right	1.029	299.073	297.317
299.831	2.809	NonContingent	left	0.913	302.614	300.744
303.225	2.792	Contingent	right	1.014	306.004	304.239
306.852	2.809	NonContingent	right	1.464	309.645	308.316
310.196	2.808	NonContingent	left	1.388	312.984	311.584
313.89	2.808	Contingent	left	1.096	316.675	314.986
317.283	2.809	NonContingent	right	1.089	320.065	318.372
320.71	2.809	Contingent	right	1.084	323.505	321.794
324.304	2.809	Contingent	left	1.433	327.096	325.737
327.648	2.808	Contingent	left	2.362	330.435	330.01
331.192	2.808	Contingent	left	0.923	333.975	332.115
334.735	2.792	NonContingent	right	1.182	337.516	335.917
340.252	2.792	NonContingent	left	0.886	343.031	341.138
343.879	2.809	Contingent	right	1.075	346.672	344.954
347.323	2.808	NonContingent	left	1.069	350.112	348.392
350.917	2.808	Contingent	right	1.421	353.703	352.338
354.26	2.809	Contingent	left	0.827	357.042	355.087
357.838	2.808	Contingent	left	1.695	360.633	359.533
361.181	2.808	Contingent	left	1.11	363.972	362.291
364.725	2.808	Contingent	left	0.746	367.512	365.471
368.369	2.808	Contingent	left	0.801	371.153	369.17
371.763	2.791	Contingent	left	1.162	374.543	372.925
375.139	2.809	NonContingent	left	1.094	377.933	376.233
378.683	2.808	NonContingent	left	1.481	381.473	380.164
382.327	2.809	Contingent	right	1.018	385.114	383.345
387.743	2.809	NonContingent	left	1.36	390.53	389.103
391.287	2.809	Contingent	left	0.887	394.07	392.174
394.881	2.792	NonContingent	right	1.518	397.661	396.399
398.308	2.809	Contingent	left	1.709	401.101	400.017
401.902	2.809	NonContingent	right	1.152	404.692	403.054
405.296	2.808	NonContingent	left	1.176	408.082	406.472
408.689	2.809	Contingent	left	1.482	411.472	410.171
412.333	2.792	NonContingent	left	1.265	415.113	413.598
415.861	2.808	Contingent	right	1.683	418.653	417.544
419.204	2.808	Contingent	right	1.23	421.992	420.434
422.848	2.808	NonContingent	right	0.914	425.633	423.762
426.292	2.791	NonContingent	left	1.617	429.073	427.909
429.719	2.808	NonContingent	right	1.424	432.513	431.143
435.285	2.809	Contingent	right	1.401	438.079	436.686
438.829	2.808	NonContingent	right	1.217	441.62	440.046
442.223	2.808	NonContingent	left	1.331	445.01	443.554
445.867	2.808	Contingent	right	1.034	448.651	446.901
449.411	2.791	NonContingent	left	1.152	452.191	450.563
452.787	2.809	Contingent	left	2.22	455.581	455.007
456.381	2.809	NonContingent	left	1.072	459.172	457.453
459.725	2.808	Contingent	left	0.859	462.511	460.584
463.319	2.808	NonContingent	left	1.112	466.102	464.431
466.645	2.809	NonContingent	right	1.026	469.441	467.671
470.29	2.808	NonContingent	left	0.938	473.082	471.228
473.683	2.808	NonContingent	left	1.006	476.471	474.689
477.227	2.808	Contingent	left	0.935	480.012	478.162
482.793	2.809	Contingent	right	2.612	485.578	485.405
486.237	2.792	Contingent	left	0.84	489.018	487.077
489.814	2.809	Contingent	left	1.177	492.609	490.991
493.358	2.809	NonContingent	left	1.263	496.15	494.621
496.902	2.809	NonContingent	left	1.006	499.69	497.908
500.195	2.809	NonContingent	left	1.699	502.979	501.894
503.89	2.791	NonContingent	right	1.102	506.67	504.992
507.266	2.809	Contingent	right	0.984	510.06	508.25
510.81	2.809	Contingent	right	1.01	513.601	511.82
514.204	2.808	Contingent	left	0.975	516.99	515.179
517.848	2.808	NonContingent	left	1.117	520.631	518.965
521.241	2.792	Contingent	left	0.747	524.021	521.988
524.769	2.808	Contingent	right	1.432	527.562	526.201
530.285	2.808	NonContingent	right	0.826	533.077	531.111
