"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.752	"Visual_Lure"	1	"left"	0.796	1.772	12.524	11.548
13.276	"Visual_Lure"	1	"left"	0.645	1.788	15.064	13.921
15.867	"Visual_Different"	1	"left"	0.808	1.788	17.655	16.675
18.408	"Visual_Same"	1	"right"	0.616	1.788	20.196	19.024
20.798	"Visual_Lure"	1	"left"	1.142	1.789	22.587	21.94
28.237	"Auditory_Same"	1	"right"	0.986	1.789	30.026	29.223
30.828	"Auditory_Different"	1	"left"	0.774	1.789	32.617	31.602
33.419	"Auditory_Same"	1	"right"	0.846	1.789	35.208	34.265
35.86	"Auditory_Lure"	1	"left"	1.21	1.788	37.648	37.07
38.25	"Auditory_Lure"	1	"left"	0.907	1.789	40.039	39.157
40.824	"Auditory_Different"	1	"left"	0.919	1.789	42.613	41.743
43.165	"Auditory_Different"	1	"left"	1.07	1.788	44.953	44.235
50.938	"Visual_Same"	1	"right"	0.747	1.789	52.727	51.685
53.228	"Visual_Same"	1	"right"	0.628	1.789	55.017	53.856
55.869	"Visual_Different"	1	"left"	0.748	1.789	57.658	56.617
58.31	"Visual_Same"	1	"right"	0.764	1.789	60.099	59.074
60.734	"Visual_Lure"	1	"left"	0.988	1.788	62.522	61.722
68.34	"Auditory_Same"	1	"right"	0.976	1.788	70.128	69.316
70.931	"Auditory_Same"	1	"right"	0.939	1.788	72.719	71.87
73.271	"Auditory_Different"	1	"left"	0.757	1.789	75.06	74.028
75.912	"Auditory_Same"	1	"right"	0.933	1.789	77.701	76.845
78.286	"Auditory_Lure"	1	"left"	1.354	1.789	80.075	79.64
85.842	"Visual_Same"	1	"right"	0.755	1.789	87.631	86.597
88.383	"Visual_Lure"	1	"left"	0.714	1.788	90.171	89.097
90.773	"Visual_Same"	1	"right"	0.888	1.789	92.562	91.661
93.398	"Visual_Different"	1	"left"	0.641	1.788	95.186	94.039
95.688	"Visual_Different"	1	"left"	0.713	1.789	97.477	96.401
98.329	"Visual_Lure"	1	"left"	0.876	1.789	100.118	99.205
105.734	"Auditory_Same"	1	"right"	0.732	1.789	107.523	106.466
108.275	"Auditory_Lure"	1	"left"	0.949	1.789	110.064	109.224
110.866	"Auditory_Different"	1	"left"	0.777	1.789	112.655	111.643
113.257	"Auditory_Lure"	1	"left"	1.056	1.789	115.046	114.313
115.898	"Auditory_Lure"	1	"left"	1.284	1.772	117.67	117.182
118.272	"Auditory_Different"	1	"left"	0.801	1.788	120.06	119.073
120.813	"Auditory_Different"	1	"left"	0.776	1.788	122.601	121.589
128.235	"Visual_Different"	1	"left"	0.584	1.788	130.023	128.819
130.776	"Visual_Different"	1	"left"	0.686	1.788	132.564	131.462
133.417	"Visual_Lure"	1	"left"	1.13	1.789	135.206	134.547
